"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"arcade","Arcade","Arkada",,"1",,"11:49 05/09/2022"
"alley","Alley","Ulicka",,"1",,"11:49 05/09/2022"
"branch","Branch","Pobocka",,"1",,"11:49 05/09/2022"
"brook","Brook","Potok",,"1",,"11:49 05/09/2022"
"byway","Byway","Objizdna trasa",,"1",,"11:49 05/09/2022"
"camp","Camp","Tabor",,"1",,"11:49 05/09/2022"
"center","Center","Stredisko",,"1",,"11:49 05/09/2022"
"club","Club","Klub",,"1",,"11:49 05/09/2022"
"common","Common","Spolecne",,"1",,"11:49 05/09/2022"
"corner","Corner","Rohove stranky",,"1",,"11:49 05/09/2022"
"course","Course","Kurz",,"1",,"11:49 05/09/2022"
"dale","Dale","Dale",,"1",,"11:49 05/09/2022"
"divide","Divide","Rozdelit",,"1",,"11:49 05/09/2022"
"drive","Drive","Disk",,"1",,"11:49 05/09/2022"
"estate","Estate","Pozustalost",,"1",,"11:49 05/09/2022"
"flat","Flat","Ploche",,"1",,"11:49 05/09/2022"
"forge","Forge","Kovarna",,"1",,"11:49 05/09/2022"
"fork","Fork","Vidlice",,"1",,"11:49 05/09/2022"
"fort","Fort","Pevnost",,"1",,"11:49 05/09/2022"
"gate","Gate","Brana",,"1",,"11:49 05/09/2022"
"gateway","Gateway","Brana",,"1",,"11:49 05/09/2022"
"haven","Haven","Haven",,"1",,"11:49 05/09/2022"
"heights","Heights","Vysky",,"1",,"11:49 05/09/2022"
"hollow","Hollow","Povinnost",,"1",,"11:49 05/09/2022"
"key","Key","Klic",,"1",,"11:49 05/09/2022"
"landing","Landing","Pristani",,"1",,"11:49 05/09/2022"
"lane","Lane","Pruh",,"1",,"11:49 05/09/2022"
"light","Light","Svetlo",,"1",,"11:49 05/09/2022"
"loaf","Loaf","Bochnik",,"1",,"11:49 05/09/2022"
"lock","Lock","Zamek",,"1",,"11:49 05/09/2022"
"lodge","Lodge","Lodge",,"1",,"11:49 05/09/2022"
"manor","Manor","Panstvi",,"1",,"11:49 05/09/2022"
"mews","Mews","Mews",,"1",,"11:49 05/09/2022"
"mill","Mill","Mlyn",,"1",,"11:49 05/09/2022"
"mission","Mission","Mise",,"1",,"11:49 05/09/2022"
"neck","Neck","Krk",,"1",,"11:49 05/09/2022"
"orchard","Orchard","Ovocny sad",,"1",,"11:49 05/09/2022"
"passage","Passage","Pasaz",,"1",,"11:49 05/09/2022"
"path","Path","Cesta",,"1",,"11:49 05/09/2022"
"pathway","Pathway","Cesta",,"1",,"11:49 05/09/2022"
"rest","Rest","Odpocinek",,"1",,"11:49 05/09/2022"
"route","Route","Trasa",,"1",,"11:49 05/09/2022"
"row","Row","Radek",,"1",,"11:49 05/09/2022"
"rue","Rue","Rue",,"1",,"11:49 05/09/2022"
"run","Run","Spustit",,"1",,"11:49 05/09/2022"
"terrace","Terrace","Terasa",,"1",,"11:49 05/09/2022"
"throughway","Throughway","Prujezd",,"1",,"11:49 05/09/2022"
"trace","Trace","Stopa",,"1",,"11:49 05/09/2022"
"track","Track","Trat",,"1",,"11:49 05/09/2022"
"trail","Trail","Stezka",,"1",,"11:49 05/09/2022"
"trailer","Trailer","Prives",,"1",,"11:49 05/09/2022"
"view","View","Zobrazit",,"1",,"11:49 05/09/2022"
"village","Village","Vesnice",,"1",,"11:49 05/09/2022"
"ville","Ville","Ville",,"1",,"11:49 05/09/2022"
"walk","Walk","Prochazka",,"1",,"11:49 05/09/2022"
"wall","Wall","Stena",,"1",,"11:49 05/09/2022"
"way","Way","Cesta",,"1",,"11:49 05/09/2022"
"well","Well","Dobre",,"1",,"11:49 05/09/2022"
"wynd",,"Uzka ulicka",,"1",,"11:49 05/09/2022"
"court",,"Soud",,"1",,"11:49 05/09/2022"
"place",,"Misto",,"1",,"11:49 05/09/2022"
