"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"ba",,"Ba",,"10",,"11:48 05/09/2022"
"bah",,"Bah",,"8",,"11:48 05/09/2022"
"ballo",,"Ballo",,"5",,"11:48 05/09/2022"
"cisse",,"Cisse",,"3",,"11:48 05/09/2022"
"contee",,"Contee",,"8",,"11:48 05/09/2022"
"conteh",,"Conteh",,"5",,"11:48 05/09/2022"
"diallo",,"Diallo",,"4",,"11:48 05/09/2022"
"fall",,"Fall",,"6",,"11:48 05/09/2022"
"kone",,"Kone",,"8",,"11:48 05/09/2022"
"mensah",,"Mensah",,"5",,"11:48 05/09/2022"
"ndiaye",,"Ndiaye",,"1",,"11:48 05/09/2022"
"nwosu",,"Nwosu",,"1",,"11:48 05/09/2022"
"okafor",,"Okafor",,"4",,"11:48 05/09/2022"
"okeke",,"Okeke",,"4",,"11:48 05/09/2022"
"okoro",,"Okoro",,"4",,"11:48 05/09/2022"
"osei",,"Osei",,"3",,"11:48 05/09/2022"
"owusu",,"Owusu",,"1",,"11:48 05/09/2022"
"sall",,"Sall",,"5",,"11:48 05/09/2022"
"sane",,"Sane",,"5",,"11:48 05/09/2022"
"sarr",,"Sarr",,"5",,"11:48 05/09/2022"
"sesay",,"Sesay",,"6",,"11:48 05/09/2022"
"sow",,"Sow",,"4",,"11:48 05/09/2022"
"sy",,"Sy",,"6",,"11:48 05/09/2022"
"toure",,"Toure",,"5",,"11:48 05/09/2022"
"traore",,"Traore",,"3",,"11:48 05/09/2022"
"turay",,"Turay",,"6",,"11:48 05/09/2022"
"yeboah",,"Yeboah",,"3",,"11:48 05/09/2022"
"abanda",,"Abanda",,"4",,"11:48 05/09/2022"
"abega",,"Abega",,"2",,"11:48 05/09/2022"
"aberra",,"Aberra",,"1",,"11:48 05/09/2022"
"aderemi",,"Aderemi",,"1",,"11:48 05/09/2022"
"alolo",,"Alolo",,"4",,"11:48 05/09/2022"
"amenu",,"Amenu",,"1",,"11:48 05/09/2022"
"anosike",,"Anosike",,"3",,"11:48 05/09/2022"
"asante",,"Asante",,"8",,"11:48 05/09/2022"
"ateak",,"Ateak",,"5",,"11:48 05/09/2022"
"baruti",,"Baruti",,"3",,"11:48 05/09/2022"
"berhe",,"Berhe",,"4",,"11:48 05/09/2022"
"bockarie",,"Bockarie",,"3",,"11:48 05/09/2022"
"boumal",,"Boumal",,"2",,"11:48 05/09/2022"
"cissé",,"Cisse",,"1",,"11:48 05/09/2022"
"conde",,"Conde",,"2",,"11:48 05/09/2022"
"daramy",,"Daramy",,"3",,"11:48 05/09/2022"
"dembélé",,"Dembele",,"3",,"11:48 05/09/2022"
"diabaté",,"Diabate",,"4",,"11:48 05/09/2022"
"diaw",,"Diaw",,"3",,"11:48 05/09/2022"
"diawara",,"Diawara",,"1",,"11:48 05/09/2022"
"emeagwali",,"Emeagwali",,"1",,"11:48 05/09/2022"
"ibaka",,"Ibaka",,"5",,"11:48 05/09/2022"
"ibekwe",,"Ibekwe",,"2",,"11:48 05/09/2022"
"jawara",,"Jawara",,"2",,"11:48 05/09/2022"
"kabbah",,"Kabbah",,"1",,"11:48 05/09/2022"
"kamara",,"Kamara",,"8",,"11:48 05/09/2022"
"kambanda",,"Kambanda",,"5",,"11:48 05/09/2022"
"kamga",,"Kamga",,"3",,"11:48 05/09/2022"
"kanu",,"Kanu",,"4",,"11:48 05/09/2022"
"kenyatta",,"Kenyatta",,"6",,"11:48 05/09/2022"
"koroma",,"Koroma",,"4",,"11:48 05/09/2022"
"laouali",,"Laouali",,"3",,"11:48 05/09/2022"
"mahama",,"Mahama",,"5",,"11:48 05/09/2022"
"malewezi",,"Malewezi",,"2",,"11:48 05/09/2022"
"mamani",,"Mamani",,"4",,"11:48 05/09/2022"
"mbye",,"Mbye",,"2",,"11:48 05/09/2022"
"mofu",,"Mofu",,"3",,"11:48 05/09/2022"
"moloi",,"Moloi",,"4",,"11:48 05/09/2022"
"nweke",,"Nweke",,"2",,"11:48 05/09/2022"
"oliha",,"Oliha",,"4",,"11:48 05/09/2022"
"orakpo",,"Orakpo",,"2",,"11:48 05/09/2022"
"osabutey",,"Osabutey",,"2",,"11:48 05/09/2022"
"osuigwe",,"Osuigwe",,"1",,"11:48 05/09/2022"
"ouedraogo",,"Ouedraogo",,"1",,"11:48 05/09/2022"
"owiti",,"Owiti",,"1",,"11:48 05/09/2022"
"oyekan",,"Oyekan",,"1",,"11:48 05/09/2022"
"saleeby",,"Saleeby",,"3",,"11:48 05/09/2022"
"teklehaimanot",,"Teklehaimanot",,"1",,"11:48 05/09/2022"
"touré",,"Toure",,"1",,"11:48 05/09/2022"
"traoré",,"Traore",,"1",,"11:48 05/09/2022"
"udoka",,"Udoka",,"1",,"11:48 05/09/2022"
"ukah",,"Ukah",,"1",,"11:48 05/09/2022"
"uzoh",,"Uzoh",,"1",,"11:48 05/09/2022"
"zambo",,"Zambo",,"3",,"11:48 05/09/2022"
"zeine",,"Zeine",,"3",,"11:48 05/09/2022"
"zoungrana",,"Zoungrana",,"1",,"11:48 05/09/2022"
"zuri",,"Zuri",,"8",,"11:48 05/09/2022"
"adama",,"Adama",,"8",,"11:48 05/09/2022"
"ahidjo",,"Ahidjo",,"4",,"11:48 05/09/2022"
"alfa",,"Alfa",,"1",,"11:48 05/09/2022"
"bâ",,"Ba",,"1",,"11:48 05/09/2022"
"biro",,"Biro",,"1",,"11:48 05/09/2022"
"gwadabe",,"Gwadabe",,"1",,"11:48 05/09/2022"
"jiba",,"Jiba",,"1",,"11:48 05/09/2022"
"kane",,"Kane",,"9",,"11:48 05/09/2022"
"kibiya",,"Kibiya",,"4",,"11:48 05/09/2022"
"konaré",,"Konare",,"1",,"11:48 05/09/2022"
"niane",,"Niane",,"7",,"11:48 05/09/2022"
"sanusi",,"Sanusi",,"7",,"11:48 05/09/2022"
"saraki",,"Saraki",,"4",,"11:48 05/09/2022"
"sukai",,"Sukai",,"3",,"11:48 05/09/2022"
"garanganga",,"Garanganga",,"1",,"11:48 05/09/2022"
"hatendi",,"Hatendi",,"1",,"11:48 05/09/2022"
"kachingwe",,"Kachingwe",,"1",,"11:48 05/09/2022"
"mabuwa",,"Mabuwa",,"4",,"11:48 05/09/2022"
"mangwende",,"Mangwende",,"1",,"11:48 05/09/2022"
"manyuchi",,"Manyuchi",,"1",,"11:48 05/09/2022"
"mapfumo",,"Mapfumo",,"1",,"11:48 05/09/2022"
"mariga",,"Mariga",,"4",,"11:48 05/09/2022"
"mnangagwa",,"Mnangagwa",,"1",,"11:48 05/09/2022"
"mupfumira",,"Mupfumira",,"1",,"11:48 05/09/2022"
"musambasi",,"Musambasi",,"1",,"11:48 05/09/2022"
"ndandarika",,"Ndandarika",,"1",,"11:48 05/09/2022"
"nyakasikana",,"Nyakasikana",,"1",,"11:48 05/09/2022"
"nyandoro",,"Nyandoro",,"1",,"11:48 05/09/2022"
"nyathi",,"Nyathi",,"1",,"11:48 05/09/2022"
"tongofa",,"Tongofa",,"1",,"11:48 05/09/2022"
"leballo",,"Leballo",,"1",,"11:48 05/09/2022"
"lebusa",,"Lebusa",,"1",,"11:48 05/09/2022"
"lekoelea",,"Lekoelea",,"1",,"11:48 05/09/2022"
"lekota",,"Lekota",,"1",,"11:48 05/09/2022"
"mahao",,"Mahao",,"1",,"11:48 05/09/2022"
"mahlasela",,"Mahlasela",,"1",,"11:48 05/09/2022"
"majoro",,"Majoro",,"1",,"11:48 05/09/2022"
"makwetla",,"Makwetla",,"1",,"11:48 05/09/2022"
"mangoaela",,"Mangoaela",,"1",,"11:48 05/09/2022"
"mbeki",,"Mbeki",,"1",,"11:48 05/09/2022"
"modise",,"Modise",,"1",,"11:48 05/09/2022"
"moeketsi",,"Moeketsi",,"1",,"11:48 05/09/2022"
"mohapi",,"Mohapi",,"1",,"11:48 05/09/2022"
"mokitimi",,"Mokitimi",,"1",,"11:48 05/09/2022"
"mokoena",,"Mokoena",,"1",,"11:48 05/09/2022"
"mopeli",,"Mopeli",,"1",,"11:48 05/09/2022"
"mothopeng",,"Mothopeng",,"1",,"11:48 05/09/2022"
"mutsi",,"Mutsi",,"3",,"11:48 05/09/2022"
"ngoepe",,"Ngoepe",,"1",,"11:48 05/09/2022"
"nkoli",,"Nkoli",,"1",,"11:48 05/09/2022"
"tsutsulupa",,"Tsutsulupa",,"1",,"11:48 05/09/2022"
"tutu",,"Tutu",,"1",,"11:48 05/09/2022"
