"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"corbyn",,"Corbyn",,"1",,"11:48 05/09/2022"
"smith",,"Smith",,"7",,"11:48 05/09/2022"
"jones",,"Jones",,"8",,"11:48 05/09/2022"
"williams",,"Williams",,"7",,"11:48 05/09/2022"
"brown",,"Brown",,"5",,"11:48 05/09/2022"
"wilson",,"Wilson",,"2",,"11:48 05/09/2022"
"taylor",,"Taylor",,"4",,"11:48 05/09/2022"
"johnson",,"Johnson",,"5",,"11:48 05/09/2022"
"white",,"White",,"5",,"11:48 05/09/2022"
"martin",,"Martin",,"5",,"11:48 05/09/2022"
"anderson",,"Anderson",,"5",,"11:48 05/09/2022"
"thompson",,"Thompson",,"6",,"11:48 05/09/2022"
"nguyen",,"Nguyen",,"3",,"11:48 05/09/2022"
"thomas",,"Thomas",,"6",,"11:48 05/09/2022"
"walker",,"Walker",,"6",,"11:48 05/09/2022"
"harris",,"Harris",,"6",,"11:48 05/09/2022"
"lee",,"Lee",,"6",,"11:48 05/09/2022"
"ryan",,"Ryan",,"5",,"11:48 05/09/2022"
"robinson",,"Robinson",,"9",,"11:48 05/09/2022"
"kelly",,"Kelly",,"6",,"11:48 05/09/2022"
"king",,"King",,"7",,"11:48 05/09/2022"
"campbell",,"Campbell",,"8",,"11:48 05/09/2022"
"davis",,"Davis",,"7",,"11:48 05/09/2022"
"roberts",,"Roberts",,"6",,"11:48 05/09/2022"
"hall",,"Hall",,"7",,"11:48 05/09/2022"
"edwards",,"Edwards",,"7",,"11:48 05/09/2022"
"evans",,"Evans",,"7",,"11:48 05/09/2022"
"wright",,"Wright",,"5",,"11:48 05/09/2022"
"young",,"Young",,"7",,"11:48 05/09/2022"
"miller",,"Miller",,"7",,"11:48 05/09/2022"
"scott",,"Scott",,"6",,"11:48 05/09/2022"
"clark",,"Clark",,"7",,"11:48 05/09/2022"
"moore",,"Moore",,"6",,"11:48 05/09/2022"
"mitchell",,"Mitchell",,"7",,"11:48 05/09/2022"
"turner",,"Turner",,"7",,"11:48 05/09/2022"
"baker",,"Baker",,"6",,"11:48 05/09/2022"
"green",,"Green",,"5",,"11:48 05/09/2022"
"clarke",,"Clarke",,"6",,"11:48 05/09/2022"
"hill",,"Hill",,"5",,"11:48 05/09/2022"
"mcdonald",,"McDonald",,"6",,"11:48 05/09/2022"
"watson",,"Watson",,"6",,"11:48 05/09/2022"
"stewart",,"Stewart",,"5",,"11:48 05/09/2022"
"jackson",,"Jackson",,"6",,"11:48 05/09/2022"
"cooper",,"Cooper",,"5",,"11:48 05/09/2022"
"murphy",,"Murphy",,"5",,"11:48 05/09/2022"
"collins",,"Collins",,"5",,"11:48 05/09/2022"
"davies",,"Davies",,"5",,"11:48 05/09/2022"
"lewis",,"Lewis",,"5",,"11:48 05/09/2022"
"bell",,"Bell",,"5",,"11:48 05/09/2022"
"wood",,"Wood",,"5",,"11:48 05/09/2022"
"phillips",,"Phillips",,"5",,"11:48 05/09/2022"
"allen",,"Allen",,"5",,"11:48 05/09/2022"
"cook",,"Cook",,"1",,"11:48 05/09/2022"
"ward",,"Ward",,"5",,"11:48 05/09/2022"
"hughes",,"Hughes",,"6",,"11:48 05/09/2022"
"morris",,"Morris",,"5",,"11:48 05/09/2022"
"james",,"James",,"6",,"11:48 05/09/2022"
"murray",,"Murray",,"6",,"11:48 05/09/2022"
"tran",,"Tran",,"3",,"11:48 05/09/2022"
"bennett",,"Bennett",,"5",,"11:48 05/09/2022"
"gray",,"Gray",,"5",,"11:48 05/09/2022"
"parker",,"Parker",,"6",,"11:48 05/09/2022"
"johnston",,"Johnston",,"6",,"11:48 05/09/2022"
"robertson",,"Robertson",,"6",,"11:48 05/09/2022"
"russell",,"Russell",,"6",,"11:48 05/09/2022"
"adams",,"Adams",,"6",,"11:48 05/09/2022"
"graham",,"Graham",,"6",,"11:48 05/09/2022"
"morgan",,"Morgan",,"6",,"11:48 05/09/2022"
"simpson",,"Simpson",,"7",,"11:48 05/09/2022"
"cox",,"Cox",,"7",,"11:48 05/09/2022"
"kennedy",,"Kennedy",,"6",,"11:48 05/09/2022"
"carter",,"Carter",,"7",,"11:48 05/09/2022"
"marshall",,"Marshall",,"7",,"11:48 05/09/2022"
"harrison",,"Harrison",,"6",,"11:48 05/09/2022"
"reid",,"Reid",,"6",,"11:48 05/09/2022"
"richardson",,"Richardson",,"7",,"11:48 05/09/2022"
"richards",,"Richards",,"7",,"11:48 05/09/2022"
"walsh",,"Walsh",,"6",,"11:48 05/09/2022"
"ross",,"Ross",,"7",,"11:48 05/09/2022"
"bailey",,"Bailey",,"7",,"11:48 05/09/2022"
"rogers",,"Rogers",,"6",,"11:48 05/09/2022"
"matthews",,"Matthews",,"8",,"11:48 05/09/2022"
"cameron",,"Cameron",,"8",,"11:48 05/09/2022"
"stevens",,"Stevens",,"6",,"11:48 05/09/2022"
"chapman",,"Chapman",,"7",,"11:48 05/09/2022"
"webb",,"Webb",,"6",,"11:48 05/09/2022"
"shaw",,"Shaw",,"6",,"11:48 05/09/2022"
"harvey",,"Harvey",,"7",,"11:48 05/09/2022"
"fisher",,"Fisher",,"6",,"11:48 05/09/2022"
"mills",,"Mills",,"6",,"11:48 05/09/2022"
"ellis",,"Ellis",,"7",,"11:48 05/09/2022"
"butler",,"Butler",,"6",,"11:48 05/09/2022"
"thomson",,"Thomson",,"7",,"11:48 05/09/2022"
"price",,"Price",,"7",,"11:48 05/09/2022"
"hamilton",,"Hamilton",,"9",,"11:48 05/09/2022"
"pearce",,"Pearce",,"6",,"11:48 05/09/2022"
"gibson",,"Gibson",,"4",,"11:48 05/09/2022"
"elliott",,"Elliott",,"8",,"11:48 05/09/2022"
"mason",,"Mason",,"2",,"11:48 05/09/2022"
"knight",,"Knight",,"7",,"11:48 05/09/2022"
"hunt",,"Hunt",,"8",,"11:48 05/09/2022"
"grant",,"Grant",,"6",,"11:48 05/09/2022"
"mckenzie",,"McKenzie",,"8",,"11:48 05/09/2022"
"wong",,"Wong",,"3",,"11:48 05/09/2022"
"armstrong",,"Armstrong",,"7",,"11:48 05/09/2022"
"barnes",,"Barnes",,"7",,"11:48 05/09/2022"
"dunn",,"Dunn",,"6",,"11:48 05/09/2022"
"henderson",,"Henderson",,"5",,"11:48 05/09/2022"
"hayes",,"Hayes",,"3",,"11:48 05/09/2022"
"foster",,"Foster",,"6",,"11:48 05/09/2022"
"howard",,"Howard",,"6",,"11:48 05/09/2022"
"ferguson",,"Ferguson",,"7",,"11:48 05/09/2022"
"fraser",,"Fraser",,"4",,"11:48 05/09/2022"
"sullivan",,"Sullivan",,"6",,"11:48 05/09/2022"
"hunter",,"Hunter",,"7",,"11:48 05/09/2022"
"ford",,"Ford",,"7",,"11:48 05/09/2022"
"wallace",,"Wallace",,"6",,"11:48 05/09/2022"
"palmer",,"Palmer",,"6",,"11:48 05/09/2022"
"andrews",,"Andrews",,"5",,"11:48 05/09/2022"
"woods",,"Woods",,"6",,"11:48 05/09/2022"
"burns",,"Burns",,"5",,"11:48 05/09/2022"
"griffiths",,"Griffiths",,"6",,"11:48 05/09/2022"
"chan",,"Chan",,"5",,"11:48 05/09/2022"
"reynolds",,"Reynolds",,"9",,"11:48 05/09/2022"
"gordon",,"Gordon",,"5",,"11:48 05/09/2022"
"west",,"Zapadni",,"7",,"11:48 05/09/2022"
"mclean",,"McLean",,"4",,"11:48 05/09/2022"
"holmes",,"Holmes",,"8",,"11:48 05/09/2022"
"dawson",,"Dawson",,"6",,"11:48 05/09/2022"
"jenkins",,"Jenkins",,"6",,"11:48 05/09/2022"
"powell",,"Powell",,"6",,"11:48 05/09/2022"
"day",,"Day",,"6",,"11:48 05/09/2022"
"morrison",,"Morrison",,"8",,"11:48 05/09/2022"
"payne",,"Payne",,"6",,"11:48 05/09/2022"
"saunders",,"Saunders",,"8",,"11:48 05/09/2022"
"mccarthy",,"McCarthy",,"9",,"11:48 05/09/2022"
"rose",,"Ruze",,"7",,"11:48 05/09/2022"
"dixon",,"Dixon",,"6",,"11:48 05/09/2022"
"davidson",,"Davidson",,"6",,"11:48 05/09/2022"
"watts",,"Watts",,"6",,"11:48 05/09/2022"
"burgess",,"Burgess",,"5",,"11:48 05/09/2022"
"black",,"Black",,"6",,"11:48 05/09/2022"
"rowe",,"Rowe",,"5",,"11:48 05/09/2022"
"nelson",,"Nelson",,"6",,"11:48 05/09/2022"
"perry",,"Perry",,"7",,"11:48 05/09/2022"
"fletcher",,"Fletcher",,"7",,"11:48 05/09/2022"
"byrne",,"Byrne",,"7",,"11:48 05/09/2022"
"carroll",,"Carroll",,"8",,"11:48 05/09/2022"
"lynch",,"Lynch",,"6",,"11:48 05/09/2022"
"wells",,"Wells",,"7",,"11:48 05/09/2022"
"brooks",,"Brooks",,"6",,"11:48 05/09/2022"
"wilkinson",,"Wilkinson",,"7",,"11:48 05/09/2022"
"williamson",,"Williamson",,"6",,"11:48 05/09/2022"
"lawrence",,"Lawrence",,"6",,"11:48 05/09/2022"
"fitzgerald",,"Fitzgerald",,"9",,"11:48 05/09/2022"
"cole",,"Cole",,"7",,"11:48 05/09/2022"
"porter",,"Porter",,"6",,"11:48 05/09/2022"
"lane",,"Lane",,"6",,"11:48 05/09/2022"
"doyle",,"Doyle",,"7",,"11:48 05/09/2022"
"kerr",,"Kerr",,"6",,"11:48 05/09/2022"
"stone",,"Stone",,"4",,"11:48 05/09/2022"
"macdonald",,"MacDonald",,"8",,"11:48 05/09/2022"
"barker",,"Barker",,"5",,"11:48 05/09/2022"
"stephens",,"Stephens",,"4",,"11:48 05/09/2022"
"duncan",,"Duncan",,"5",,"11:48 05/09/2022"
"hart",,"Hart",,"5",,"11:48 05/09/2022"
"francis",,"Francis",,"6",,"11:48 05/09/2022"
"burke",,"Burke",,"4",,"11:48 05/09/2022"
"newman",,"Newman",,"8",,"11:48 05/09/2022"
"pearson",,"Pearson",,"3",,"11:48 05/09/2022"
"lloyd",,"Lloyd",,"7",,"11:48 05/09/2022"
"peters",,"Peters",,"6",,"11:48 05/09/2022"
"fox",,"Fox",,"7",,"11:48 05/09/2022"
"mcmahon",,"McMahon",,"3",,"11:48 05/09/2022"
"webster",,"Webster",,"3",,"11:48 05/09/2022"
"coleman",,"Coleman",,"7",,"11:48 05/09/2022"
"freeman",,"Freeman",,"9",,"11:48 05/09/2022"
"lowe",,"Lowe",,"5",,"11:48 05/09/2022"
"spencer",,"Spencer",,"5",,"11:48 05/09/2022"
"dean",,"Dean",,"5",,"11:48 05/09/2022"
"douglas",,"Douglas",,"6",,"11:48 05/09/2022"
"page",,"Page",,"6",,"11:48 05/09/2022"
"barrett",,"Barrett",,"7",,"11:48 05/09/2022"
"warren",,"Warren",,"8",,"11:48 05/09/2022"
"mcgrath",,"McGrath",,"4",,"11:48 05/09/2022"
"crawford",,"Crawford",,"7",,"11:48 05/09/2022"
"mckay",,"McKay",,"4",,"11:48 05/09/2022"
"quinn",,"Quinn",,"4",,"11:48 05/09/2022"
"patterson",,"Patterson",,"7",,"11:48 05/09/2022"
"george",,"George",,"4",,"11:48 05/09/2022"
"brennan",,"Brennan",,"5",,"11:48 05/09/2022"
"boyd",,"Boyd",,"4",,"11:48 05/09/2022"
"alexander",,"Alexander",,"5",,"11:48 05/09/2022"
"long",,"Long",,"5",,"11:48 05/09/2022"
"sutton",,"Sutton",,"5",,"11:48 05/09/2022"
"riley",,"Riley",,"6",,"11:48 05/09/2022"
"hansen",,"Hansen",,"7",,"11:48 05/09/2022"
"hudson",,"Hudson",,"8",,"11:48 05/09/2022"
"parsons",,"Parsons",,"9",,"11:48 05/09/2022"
"oliver",,"Oliver",,"5",,"11:48 05/09/2022"
"atkinson",,"Atkinson",,"8",,"11:48 05/09/2022"
"lucas",,"Lucas",,"6",,"11:48 05/09/2022"
"cross",,"Cross",,"6",,"11:48 05/09/2022"
"newton",,"Newton",,"5",,"11:48 05/09/2022"
"hogan",,"Hogan",,"6",,"11:48 05/09/2022"
"carr",,"Carr",,"5",,"11:48 05/09/2022"
"burton",,"Burton",,"5",,"11:48 05/09/2022"
"may",,"May",,"6",,"11:48 05/09/2022"
"gill",,"Gill",,"5",,"11:48 05/09/2022"
"mcleod",,"McLeod",,"6",,"11:48 05/09/2022"
"nicholls",,"Nicholls",,"6",,"11:48 05/09/2022"
"hawkins",,"Hawkins",,"7",,"11:48 05/09/2022"
"stevenson",,"Stevenson",,"6",,"11:48 05/09/2022"
"shepherd",,"Shepherd",,"7",,"11:48 05/09/2022"
"sinclair",,"Sinclair",,"8",,"11:48 05/09/2022"
"berry",,"Berry",,"8",,"11:48 05/09/2022"
"bourke",,"Bourke",,"5",,"11:48 05/09/2022"
"bishop",,"Bishop",,"8",,"11:48 05/09/2022"
"higgins",,"Higgins",,"5",,"11:48 05/09/2022"
"cunningham",,"Cunningham",,"8",,"11:48 05/09/2022"
"dwyer",,"Dwyer",,"4",,"11:48 05/09/2022"
"curtis",,"Curtis",,"5",,"11:48 05/09/2022"
