"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"ah cy",,"Ah Cy",,"1",,"11:48 05/09/2022"
"ah kum",,"Ah Kum",,"1",,"11:48 05/09/2022"
"ah lam",,"Ah Lam",,"1",,"11:48 05/09/2022"
"ai",,"Ai",,"5",,"11:48 05/09/2022"
"an",,"An",,"6",,"11:48 05/09/2022"
"baozhai",,"Baozhai",,"1",,"11:48 05/09/2022"
"bik",,"Bik",,"1",,"11:48 05/09/2022"
"biyu",,"Biyu",,"1",,"11:48 05/09/2022"
"bo",,"Bo",,"4",,"11:48 05/09/2022"
"changchang",,"Changchang",,"2",,"11:48 05/09/2022"
"changying",,"Changying",,"6",,"11:48 05/09/2022"
"chenguang",,"Chenguang",,"3",,"11:48 05/09/2022"
"chow",,"Chow",,"5",,"11:48 05/09/2022"
"chu hua",,"Chu Hua",,"2",,"11:48 05/09/2022"
"chun",,"Chun",,"5",,"11:48 05/09/2022"
"chunhua",,"Chunhua",,"1",,"11:48 05/09/2022"
"chuntao",,"Chuntao",,"2",,"11:48 05/09/2022"
"chyou",,"Chyou",,"2",,"11:48 05/09/2022"
"cuifen",,"Cuifen",,"1",,"11:48 05/09/2022"
"da chun",,"Da Chun",,"6",,"11:48 05/09/2022"
"daiyu",,"Daiyu",,"1",,"11:48 05/09/2022"
"dandan",,"Dandan",,"1",,"11:48 05/09/2022"
"da-xia",,"Da-Xia",,"1",,"11:48 05/09/2022"
"dongmei",,"Dongmei",,"3",,"11:48 05/09/2022"
"fang",,"Fang",,"5",,"11:48 05/09/2022"
"far",,"Far",,"4",,"11:48 05/09/2022"
"fenfang",,"Fenfang",,"1",,"11:48 05/09/2022"
"fung",,"Fung",,"1",,"11:48 05/09/2022"
"howin",,"Howin",,"1",,"11:48 05/09/2022"
"hu",,"Hu",,"3",,"11:48 05/09/2022"
"hua",,"Hua",,"3",,"11:48 05/09/2022"
"hualing",,"Hualing",,"2",,"11:48 05/09/2022"
"huan",,"Huan",,"3",,"11:48 05/09/2022"
"huian",,"Huian",,"2",,"11:48 05/09/2022"
"huidai",,"Huidai",,"1",,"11:48 05/09/2022"
"huifang",,"Huifang",,"1",,"11:48 05/09/2022"
"huifen",,"Huifen",,"1",,"11:48 05/09/2022"
"huilang",,"Huilang",,"1",,"11:48 05/09/2022"
"huiliang",,"Huiliang",,"1",,"11:48 05/09/2022"
"huiqing",,"Huiqing",,"1",,"11:48 05/09/2022"
"huizhong",,"Huizhong",,"1",,"11:48 05/09/2022"
"jia",,"Jia",,"3",,"11:48 05/09/2022"
"jiahui",,"Jiahui",,"3",,"11:48 05/09/2022"
"jiao",,"Jiao",,"5",,"11:48 05/09/2022"
"jiayi",,"Jiayi",,"4",,"11:48 05/09/2022"
"jiaying",,"Jiaying",,"4",,"11:48 05/09/2022"
"jie",,"Jie",,"5",,"11:48 05/09/2022"
"jingfei",,"Jingfei",,"5",,"11:48 05/09/2022"
"jinghua",,"Jinghua",,"5",,"11:48 05/09/2022"
"ju",,"Ju",,"6",,"11:48 05/09/2022"
"juan",,"Juan",,"3",,"11:48 05/09/2022"
"jun",,"Jun",,"8",,"11:48 05/09/2022"
"kuai hua",,"Kuai Hua",,"2",,"11:48 05/09/2022"
"kue ching",,"Kue Ching",,"4",,"11:48 05/09/2022"
"kwong",,"Kwong",,"6",,"11:48 05/09/2022"
"lan",,"Lan",,"6",,"11:48 05/09/2022"
"lanfen",,"Lanfen",,"7",,"11:48 05/09/2022"
"lanying",,"Lanying",,"8",,"11:48 05/09/2022"
"lee",,"Lee",,"4",,"11:48 05/09/2022"
"li",,"Li",,"7",,"11:48 05/09/2022"
"lian",,"Lian",,"8",,"11:48 05/09/2022"
"lien",,"Lien",,"5",,"11:48 05/09/2022"
"lien hua",,"Lien Hua",,"4",,"11:48 05/09/2022"
"lifen",,"Lifen",,"2",,"11:48 05/09/2022"
"lihua",,"Lihua",,"1",,"11:48 05/09/2022"
"lihwa",,"Lihwa",,"1",,"11:48 05/09/2022"
"lijuan",,"Lijuan",,"1",,"11:48 05/09/2022"
"liling",,"Liling",,"1",,"11:48 05/09/2022"
"lin",,"Lin",,"10",,"11:48 05/09/2022"
"ling",,"Ling",,"7",,"11:48 05/09/2022"
"linqin",,"Linqin",,"3",,"11:48 05/09/2022"
"liqiu",,"Liqiu",,"3",,"11:48 05/09/2022"
"liu",,"Liu",,"6",,"11:48 05/09/2022"
"luli",,"Luli",,"3",,"11:48 05/09/2022"
"mei",,"Mei",,"10",,"11:48 05/09/2022"
"meifen",,"Meifen",,"2",,"11:48 05/09/2022"
"meifeng",,"Meifeng",,"2",,"11:48 05/09/2022"
"meihui",,"Meihui",,"1",,"11:48 05/09/2022"
"meili",,"Meili",,"1",,"11:48 05/09/2022"
"meilin",,"Meilin",,"1",,"11:48 05/09/2022"
"meirong",,"Meirong",,"4",,"11:48 05/09/2022"
"meixiang",,"Meixiang",,"1",,"11:48 05/09/2022"
"meixiu",,"Meixiu",,"1",,"11:48 05/09/2022"
"meiying",,"Meiying",,"1",,"11:48 05/09/2022"
"meizhen",,"Meizhen",,"1",,"11:48 05/09/2022"
"mingxia",,"Mingxia",,"1",,"11:48 05/09/2022"
"mingyu",,"Mingyu",,"1",,"11:48 05/09/2022"
"mingzhu",,"Mingzhu",,"1",,"11:48 05/09/2022"
"mu lan",,"Mu Lan",,"5",,"11:48 05/09/2022"
"mu tan",,"Mu Tan",,"5",,"11:48 05/09/2022"
"ning",,"Ning",,"5",,"11:48 05/09/2022"
"ninghong",,"Ninghong",,"2",,"11:48 05/09/2022"
"niu",,"Niu",,"4",,"11:48 05/09/2022"
"nuo",,"Nuo",,"4",,"11:48 05/09/2022"
"nuwa",,"Nuwa",,"6",,"11:48 05/09/2022"
"peijing",,"Peijing",,"3",,"11:48 05/09/2022"
"peizhi",,"Peizhi",,"6",,"11:48 05/09/2022"
"ping",,"Ping",,"3",,"11:48 05/09/2022"
"qiao",,"Qiao",,"6",,"11:48 05/09/2022"
"qiaohui",,"Qiaohui",,"3",,"11:48 05/09/2022"
"qiaolian",,"Qiaolian",,"4",,"11:48 05/09/2022"
"qing",,"Qing",,"1",,"11:48 05/09/2022"
"qingge",,"Qingge",,"1",,"11:48 05/09/2022"
"qingling",,"Qingling",,"1",,"11:48 05/09/2022"
"qingzhao",,"Qingzhao",,"1",,"11:48 05/09/2022"
"qiu",,"Qiu",,"1",,"11:48 05/09/2022"
"qiuyue",,"Qiuyue",,"1",,"11:48 05/09/2022"
"renxiang",,"Renxiang",,"1",,"11:48 05/09/2022"
"rong",,"Rong",,"1",,"11:48 05/09/2022"
"rou",,"Rou",,"6",,"11:48 05/09/2022"
"ruiling",,"Ruiling",,"1",,"11:48 05/09/2022"
"ruolan",,"Ruolan",,"1",,"11:48 05/09/2022"
"ruomei",,"Ruomei",,"1",,"11:48 05/09/2022"
"shaoqing",,"Shaoqing",,"1",,"11:48 05/09/2022"
"shihong",,"Shihong",,"1",,"11:48 05/09/2022"
"shu",,"Shu",,"4",,"11:48 05/09/2022"
"shuang",,"Shuang",,"6",,"11:48 05/09/2022"
"shuchun",,"Shuchun",,"8",,"11:48 05/09/2022"
"shun",,"Shun",,"6",,"11:48 05/09/2022"
"song",,"Song",,"9",,"11:48 05/09/2022"
"suyin",,"Suyin",,"3",,"11:48 05/09/2022"
"sying",,"Sying",,"3",,"11:48 05/09/2022"
"tao",,"Tao",,"5",,"11:48 05/09/2022"
"ting",,"Ting",,"6",,"11:48 05/09/2022"
"tu",,"Tu",,"5",,"11:48 05/09/2022"
"ushi",,"Ushi",,"1",,"11:48 05/09/2022"
"weici",,"Weici",,"1",,"11:48 05/09/2022"
"wen",,"Wen",,"8",,"11:48 05/09/2022"
"wenling",,"Wenling",,"4",,"11:48 05/09/2022"
"wenquian",,"Wenquian",,"1",,"11:48 05/09/2022"
"xia",,"Xia",,"1",,"11:48 05/09/2022"
"xiaodan",,"Xiaodan",,"1",,"11:48 05/09/2022"
"xiaofan",,"Xiaofan",,"1",,"11:48 05/09/2022"
"xiaohui",,"Xiaohui",,"1",,"11:48 05/09/2022"
"xiaojian",,"Xiaojian",,"1",,"11:48 05/09/2022"
"xiaojing",,"Xiaojing",,"1",,"11:48 05/09/2022"
"xiaoli",,"Xiaoli",,"1",,"11:48 05/09/2022"
"xiaolian",,"Xiaolian",,"1",,"11:48 05/09/2022"
"xiaoling",,"Xiaoling",,"1",,"11:48 05/09/2022"
"xiaoqing",,"Xiaoqing",,"1",,"11:48 05/09/2022"
"xiaosheng",,"Xiaosheng",,"1",,"11:48 05/09/2022"
"xiaotong",,"Xiaotong",,"1",,"11:48 05/09/2022"
"xiaozhi",,"Xiaozhi",,"3",,"11:48 05/09/2022"
"xifeng",,"Xifeng",,"2",,"11:48 05/09/2022"
"xiu mei",,"Xiu Mei",,"4",,"11:48 05/09/2022"
"xiulan",,"Xiulan",,"1",,"11:48 05/09/2022"
"xiurong",,"Xiurong",,"1",,"11:48 05/09/2022"
"xiuying",,"Xiuying",,"1",,"11:48 05/09/2022"
"xueman",,"Xueman",,"1",,"11:48 05/09/2022"
"yang",,"Yang",,"7",,"11:48 05/09/2022"
"yin",,"Yin",,"9",,"11:48 05/09/2022"
"ya",,"Ya",,"5",,"11:48 05/09/2022"
"yan",,"Yan",,"3",,"11:48 05/09/2022"
"yanmei",,"Yanmei",,"4",,"11:48 05/09/2022"
"yanyu",,"Yanyu",,"3",,"11:48 05/09/2022"
"yet kwai",,"Yet Kwai",,"3",,"11:48 05/09/2022"
"ying",,"Ying",,"5",,"11:48 05/09/2022"
"yingtai",,"Yingtai",,"6",,"11:48 05/09/2022"
"yow",,"Yow",,"6",,"11:48 05/09/2022"
"yu",,"Yu",,"6",,"11:48 05/09/2022"
"yuehai",,"Yuehai",,"3",,"11:48 05/09/2022"
"yueqin",,"Yueqin",,"5",,"11:48 05/09/2022"
"yuan",,"Yuan",,"6",,"11:48 05/09/2022"
"yubi",,"Yubi",,"7",,"11:48 05/09/2022"
"yue",,"Yue",,"8",,"11:48 05/09/2022"
"yuet",,"Yuet",,"7",,"11:48 05/09/2022"
"yu-jun",,"Yu-jun",,"8",,"11:48 05/09/2022"
"yuk",,"Yuk",,"1",,"11:48 05/09/2022"
"yuke",,"Yuke",,"1",,"11:48 05/09/2022"
"yuming",,"Yuming",,"1",,"11:48 05/09/2022"
"yun",,"Yun",,"5",,"11:48 05/09/2022"
"yunru",,"Yunru",,"2",,"11:48 05/09/2022"
"yusheng",,"Yusheng",,"3",,"11:48 05/09/2022"
"zhaohui",,"Zhaohui",,"6",,"11:48 05/09/2022"
"zhenzhen",,"Zhenzhen",,"3",,"11:48 05/09/2022"
"zhilan",,"Zhilan",,"1",,"11:48 05/09/2022"
"zhu",,"Zhu",,"1",,"11:48 05/09/2022"
"zongying",,"Zongying",,"1",,"11:48 05/09/2022"
"hui yin",,"Hui Yin",,"1",,"11:48 05/09/2022"
"ying yue",,"Ying Yue",,"4",,"11:48 05/09/2022"
"wang shu",,"Wang Shu",,"1",,"11:48 05/09/2022"
"feng mian",,"Feng Mian",,"1",,"11:48 05/09/2022"
"mo chou",,"Mo Chou",,"1",,"11:48 05/09/2022"
"fei hong",,"Fei Hong",,"5",,"11:48 05/09/2022"
"nian zhen",,"Nian Zhen",,"1",,"11:48 05/09/2022"
"ru shi",,"Ru Shi",,"7",,"11:48 05/09/2022"
"bai",,"Bai",,"8",,"11:48 05/09/2022"
"bao",,"Bao",,"9",,"11:48 05/09/2022"
"chen",,"Chen",,"8",,"11:48 05/09/2022"
"lei",,"Lei",,"9",,"11:48 05/09/2022"
"liang",,"Liang",,"9",,"11:48 05/09/2022"
"lim",,"Lim",,"9",,"11:48 05/09/2022"
"ming",,"Ming",,"5",,"11:48 05/09/2022"
"ru",,"Ru",,"8",,"11:48 05/09/2022"
"shi",,"Shi",,"8",,"11:48 05/09/2022"
"su",,"Su",,"7",,"11:48 05/09/2022"
"tai",,"Tai",,"9",,"11:48 05/09/2022"
"wei",,"Wei",,"9",,"11:48 05/09/2022"
"xiu",,"Xiu",,"5",,"11:48 05/09/2022"
"zheng",,"Zheng",,"8",,"11:48 05/09/2022"
"fen",,"Fen",,"9",,"11:48 05/09/2022"
"min",,"Min",,"8",,"11:48 05/09/2022"
"li na",,"Li Na",,"9",,"11:48 05/09/2022"
"li jing",,"Li Jing",,"8",,"11:48 05/09/2022"
"zhang li",,"Zhang Li",,"9",,"11:48 05/09/2022"
"wang jing",,"Wang Jing",,"9",,"11:48 05/09/2022"
"wang li",,"Wang Li",,"9",,"11:48 05/09/2022"
"li min",,"Li Min",,"8",,"11:48 05/09/2022"
"wang min",,"Wang Min",,"9",,"11:48 05/09/2022"
"li jun",,"Li Jun",,"9",,"11:48 05/09/2022"
"li juan",,"Li Juan",,"8",,"11:48 05/09/2022"
"wang yan",,"Wang Yan",,"8",,"11:48 05/09/2022"
"li yan",,"Li Yan",,"8",,"11:48 05/09/2022"
"li xia",,"Li Xia",,"6",,"11:48 05/09/2022"
