"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"sofia",,"Sofia",,"1",,"11:48 05/09/2022"
"anna",,"Anna",,"1",,"11:48 05/09/2022"
"anastasia",,"Anastasia",,"1",,"11:48 05/09/2022"
"viktoria",,"Viktoria",,"1",,"11:48 05/09/2022"
"veronika",,"Veronika",,"1",,"11:48 05/09/2022"
"maria",,"Maria",,"1",,"11:48 05/09/2022"
"zlata",,"Zlata",,"1",,"11:48 05/09/2022"
"solomia",,"Solomia",,"1",,"11:48 05/09/2022"
"yana",,"Yana",,"1",,"11:48 05/09/2022"
"angelina",,"Angelina",,"1",,"11:48 05/09/2022"
"marta",,"Marta",,"1",,"11:48 05/09/2022"
"diana",,"Diana",,"1",,"11:48 05/09/2022"
"darina",,"Darina",,"1",,"11:48 05/09/2022"
"yulia",,"Yulia",,"1",,"11:48 05/09/2022"
"xristina",,"Xristina",,"1",,"11:48 05/09/2022"
"sofija",,"Sofija",,"1",,"11:48 05/09/2022"
"emilija",,"Emilija",,"1",,"11:48 05/09/2022"
"alise",,"Alise",,"1",,"11:48 05/09/2022"
"viktorija",,"Viktorija",,"1",,"11:48 05/09/2022"
"elizabete",,"Elizabete",,"1",,"11:48 05/09/2022"
"estere",,"Estere",,"1",,"11:48 05/09/2022"
"anastasija",,"Anastasija",,"1",,"11:48 05/09/2022"
"paula",,"Paula",,"1",,"11:48 05/09/2022"
"mariam",,"Mariam",,"1",,"11:48 05/09/2022"
"barbare",,"Barbare",,"1",,"11:48 05/09/2022"
"elene",,"Elene",,"1",,"11:48 05/09/2022"
"nino",,"Nino",,"1",,"11:48 05/09/2022"
"nia",,"Nia",,"1",,"11:48 05/09/2022"
"ana",,"Ana",,"1",,"11:48 05/09/2022"
"lizi",,"Lizi",,"1",,"11:48 05/09/2022"
"polina",,"Polina",,"1",,"11:48 05/09/2022"
"darya",,"Darya",,"1",,"11:48 05/09/2022"
"ksenia",,"Ksenia",,"1",,"11:48 05/09/2022"
"elizabeta",,"Elizabeta",,"1",,"11:48 05/09/2022"
"alisa",,"Alisa",,"1",,"11:48 05/09/2022"
"aleksandra",,"Aleksandra",,"1",,"11:48 05/09/2022"
"varvara",,"Varvara",,"1",,"11:48 05/09/2022"
"ekaterina",,"Ekaterina",,"1",,"11:48 05/09/2022"
"arina",,"Arina",,"1",,"11:48 05/09/2022"
"vasilisa",,"Vasilisa",,"1",,"11:48 05/09/2022"
"valeria",,"Valeria",,"1",,"11:48 05/09/2022"
"milana",,"Milana",,"1",,"11:48 05/09/2022"
"eva",,"Eva",,"1",,"11:48 05/09/2022"
"ulyana",,"Ulyana",,"1",,"11:48 05/09/2022"
"kira",,"Kira",,"1",,"11:48 05/09/2022"
"vera",,"Vera",,"1",,"11:48 05/09/2022"
"margarita",,"Margarita",,"1",,"11:48 05/09/2022"
"alyona",,"Alyona",,"1",,"11:48 05/09/2022"
"taisia",,"Taisia",,"1",,"11:48 05/09/2022"
"kristina",,"Kristina",,"1",,"11:48 05/09/2022"
"alina",,"Alina",,"1",,"11:48 05/09/2022"
"olga",,"Olga",,"1",,"11:48 05/09/2022"
"vilte",,"Vilte",,"1",,"11:48 05/09/2022"
"ema",,"Ema",,"1",,"11:48 05/09/2022"
"gabija",,"Gabija",,"1",,"11:48 05/09/2022"
"austeja",,"Austeja",,"1",,"11:48 05/09/2022"
"kamile",,"Kamile",,"1",,"11:48 05/09/2022"
"ugne",,"Ugne",,"1",,"11:48 05/09/2022"
"leja",,"Leja",,"1",,"11:48 05/09/2022"
"lukne",,"Lukne",,"1",,"11:48 05/09/2022"
"amelija",,"Amelija",,"1",,"11:48 05/09/2022"
"liepa",,"Liepa",,"1",,"11:48 05/09/2022"
"rugile",,"Rugile",,"1",,"11:48 05/09/2022"
"elija",,"Elija",,"1",,"11:48 05/09/2022"
"ieva",,"Ieva",,"1",,"11:48 05/09/2022"
"gabriele",,"Gabriele",,"1",,"11:48 05/09/2022"
"kotryna",,"Kotryna",,"1",,"11:48 05/09/2022"
"smilte",,"Smilte",,"1",,"11:48 05/09/2022"
"goda",,"Goda",,"1",,"11:48 05/09/2022"
"urte",,"Urte",,"1",,"11:48 05/09/2022"
"eliise",,"Eliise",,"1",,"11:48 05/09/2022"
"sandra",,"Sandra",,"1",,"11:48 05/09/2022"
"laura",,"Laura",,"1",,"11:48 05/09/2022"
"mia",,"Mia",,"1",,"11:48 05/09/2022"
"lenna",,"Lenna",,"1",,"11:48 05/09/2022"
"liisa",,"Liisa",,"1",,"11:48 05/09/2022"
"emiliav",,"Emiliav",,"1",,"11:48 05/09/2022"
"elisabeth",,"Elisabeth",,"1",,"11:48 05/09/2022"
"mirtel",,"Mirtel",,"1",,"11:48 05/09/2022"
"emily",,"Emily",,"1",,"11:48 05/09/2022"
"emmav",,"Emmav",,"1",,"11:48 05/09/2022"
"lisandra",,"Lisandra",,"1",,"11:48 05/09/2022"
"marty",,"Marty",,"1",,"11:48 05/09/2022"
"loore",,"Loore",,"1",,"11:48 05/09/2022"
"zahra",,"Zahra",,"1",,"11:48 05/09/2022"
"nuray",,"Nuray",,"1",,"11:48 05/09/2022"
"fatima",,"Fatima",,"1",,"11:48 05/09/2022"
"zeynab",,"Zeynab",,"1",,"11:48 05/09/2022"
"aylin",,"Aylin",,"1",,"11:48 05/09/2022"
"maryam",,"Maryam",,"1",,"11:48 05/09/2022"
"ayan",,"Ayan",,"1",,"11:48 05/09/2022"
"melek",,"Melek",,"1",,"11:48 05/09/2022"
"madina",,"Madina",,"1",,"11:48 05/09/2022"
"sama",,"Sama",,"1",,"11:48 05/09/2022"
"nare",,"Nare",,"1",,"11:48 05/09/2022"
"milena",,"Milena",,"1",,"11:48 05/09/2022"
"mary",,"Mary",,"1",,"11:48 05/09/2022"
"mane",,"Mane",,"1",,"11:48 05/09/2022"
"ani",,"Ani",,"1",,"11:48 05/09/2022"
"anahit",,"Anahit",,"1",,"11:48 05/09/2022"
"ellen",,"Ellen",,"1",,"11:48 05/09/2022"
"gayane",,"Gayane",,"1",,"11:48 05/09/2022"
"meri",,"Meri",,"1",,"11:48 05/09/2022"
"natalie",,"Natalie",,"1",,"11:48 05/09/2022"
"lilit",,"Lilit",,"1",,"11:48 05/09/2022"
"gohar",,"Gohar",,"1",,"11:48 05/09/2022"
"sona",,"Sona",,"1",,"11:48 05/09/2022"
"susanna",,"Susanna",,"1",,"11:48 05/09/2022"
"hasmik",,"Hasmik",,"1",,"11:48 05/09/2022"
"karine",,"Karine",,"1",,"11:48 05/09/2022"
"sofi",,"Sofi",,"1",,"11:48 05/09/2022"
"lili",,"Lili",,"1",,"11:48 05/09/2022"
"elina",,"Elina",,"1",,"11:48 05/09/2022"
"ruzanna",,"Ruzanna",,"1",,"11:48 05/09/2022"
"arevik",,"Arevik",,"1",,"11:48 05/09/2022"
"anush",,"Anush",,"1",,"11:48 05/09/2022"
"lusine",,"Lusine",,"1",,"11:48 05/09/2022"
"karina",,"Karina",,"1",,"11:48 05/09/2022"
"arpi",,"Arpi",,"1",,"11:48 05/09/2022"
"sara",,"Sara",,"1",,"11:48 05/09/2022"
"liana",,"Liana",,"1",,"11:48 05/09/2022"
"lusy",,"Lusy",,"1",,"11:48 05/09/2022"
"monika",,"Monika",,"1",,"11:48 05/09/2022"
"nane",,"Nane",,"1",,"11:48 05/09/2022"
"narine",,"Narine",,"1",,"11:48 05/09/2022"
"lia",,"Lia",,"1",,"11:48 05/09/2022"
"suzanna",,"Suzanna",,"1",,"11:48 05/09/2022"
"armine",,"Armine",,"1",,"11:48 05/09/2022"
"marianna",,"Marianna",,"1",,"11:48 05/09/2022"
"seda",,"Seda",,"1",,"11:48 05/09/2022"
"zuzanna",,"Zuzanna",,"1",,"11:48 05/09/2022"
"lena",,"Lena",,"1",,"11:48 05/09/2022"
"julia",,"Julia",,"1",,"11:48 05/09/2022"
"maja",,"Maja",,"1",,"11:48 05/09/2022"
"zofia",,"Zofia",,"1",,"11:48 05/09/2022"
"hanna",,"Hanna",,"1",,"11:48 05/09/2022"
"amelia",,"Amelia",,"1",,"11:48 05/09/2022"
"alicja",,"Alicja",,"1",,"11:48 05/09/2022"
"natalia",,"Natalia",,"1",,"11:48 05/09/2022"
"wiktoria",,"Wiktoria",,"1",,"11:48 05/09/2022"
"oliwia",,"Oliwia",,"1",,"11:48 05/09/2022"
"emilia",,"Emilia",,"1",,"11:48 05/09/2022"
"nikola",,"Nikola",,"1",,"11:48 05/09/2022"
"liliana",,"Liliana",,"1",,"11:48 05/09/2022"
"antonina",,"Antonina",,"1",,"11:48 05/09/2022"
"nadia",,"Nadia",,"1",,"11:48 05/09/2022"
"gabriela",,"Gabriela",,"1",,"11:48 05/09/2022"
"iga",,"Iga",,"1",,"11:48 05/09/2022"
"martyna",,"Martyna",,"1",,"11:48 05/09/2022"
"pola",,"Pola",,"1",,"11:48 05/09/2022"
"kornelia",,"Kornelia",,"1",,"11:48 05/09/2022"
"magdalena",,"Magdalena",,"1",,"11:48 05/09/2022"
"karolina",,"Karolina",,"1",,"11:48 05/09/2022"
"michalina",,"Michalina",,"1",,"11:48 05/09/2022"
"weronika",,"Weronika",,"1",,"11:48 05/09/2022"
"marcelina",,"Marcelina",,"1",,"11:48 05/09/2022"
"agata",,"Agata",,"1",,"11:48 05/09/2022"
"jagoda",,"Jagoda",,"1",,"11:48 05/09/2022"
"helena",,"Helena",,"1",,"11:48 05/09/2022"
"nina",,"Nina",,"1",,"11:48 05/09/2022"
"barbara",,"Barbara",,"1",,"11:48 05/09/2022"
"blanka",,"Blanka",,"1",,"11:48 05/09/2022"
"kinga",,"Kinga",,"1",,"11:48 05/09/2022"
"paulina",,"Paulina",,"1",,"11:48 05/09/2022"
"lucja",,"Lucja",,"1",,"11:48 05/09/2022"
"joanna",,"Joanna",,"1",,"11:48 05/09/2022"
"kaja",,"Kaja",,"1",,"11:48 05/09/2022"
"malgorzata",,"Malgorzata",,"1",,"11:48 05/09/2022"
"patrycja",,"Patrycja",,"1",,"11:48 05/09/2022"
"katarzyna",,"Katarzyna",,"1",,"11:48 05/09/2022"
"anastazja",,"Anastazja",,"1",,"11:48 05/09/2022"
"dominika",,"Dominika",,"1",,"11:48 05/09/2022"
"klaudia",,"Klaudia",,"1",,"11:48 05/09/2022"
"lilianna",,"Lilianna",,"1",,"11:48 05/09/2022"
"aniela",,"Aniela",,"1",,"11:48 05/09/2022"
"klara",,"Klara",,"1",,"11:48 05/09/2022"
"nela",,"Nela",,"1",,"11:48 05/09/2022"
"izabela",,"Izabela",,"1",,"11:48 05/09/2022"
"ewa",,"Ewa",,"1",,"11:48 05/09/2022"
"eliza",,"Eliza",,"1",,"11:48 05/09/2022"
"kamila",,"Kamila",,"1",,"11:48 05/09/2022"
"matylda",,"Matylda",,"1",,"11:48 05/09/2022"
"kalina",,"Kalina",,"1",,"11:48 05/09/2022"
"urszula",,"Urszula",,"1",,"11:48 05/09/2022"
"daria",,"Daria",,"1",,"11:48 05/09/2022"
"adrianna",,"Adrianna",,"1",,"11:48 05/09/2022"
"malwina",,"Malwina",,"1",,"11:48 05/09/2022"
"roza",,"Roza",,"1",,"11:48 05/09/2022"
"dorota",,"Dorota",,"1",,"11:48 05/09/2022"
"lidia",,"Lidia",,"1",,"11:48 05/09/2022"
"bianka",,"Bianka",,"1",,"11:48 05/09/2022"
"liwia",,"Liwia",,"1",,"11:48 05/09/2022"
"roksana",,"Roksana",,"1",,"11:48 05/09/2022"
"rozalia",,"Rozalia",,"1",,"11:48 05/09/2022"
"marika",,"Marika",,"1",,"11:48 05/09/2022"
"justyna",,"Justyna",,"1",,"11:48 05/09/2022"
"natasza",,"Natasza",,"1",,"11:48 05/09/2022"
"aurelia",,"Aurelia",,"1",,"11:48 05/09/2022"
"ada",,"Ada",,"1",,"11:48 05/09/2022"
"nicola",,"Nicola",,"1",,"11:48 05/09/2022"
"vanessa",,"Vanessa",,"1",,"11:48 05/09/2022"
"agnieszka",,"Agnieszka",,"1",,"11:48 05/09/2022"
"inga",,"Inga",,"1",,"11:48 05/09/2022"
"olivia",,"Olivia",,"1",,"11:48 05/09/2022"
"emma",,"Emma",,"1",,"11:48 05/09/2022"
"jowita",,"Jowita",,"1",,"11:48 05/09/2022"
"marlena",,"Marlena",,"1",,"11:48 05/09/2022"
"melania",,"Melania",,"1",,"11:48 05/09/2022"
"elena",,"Elena",,"1",,"11:48 05/09/2022"
"dagmara",,"Dagmara",,"1",,"11:48 05/09/2022"
"victoria",,"Victoria",,"1",,"11:48 05/09/2022"
"julita",,"Julita",,"1",,"11:48 05/09/2022"
"nel",,"Nel",,"1",,"11:48 05/09/2022"
"apolonia",,"Apolonia",,"1",,"11:48 05/09/2022"
"luiza",,"Luiza",,"1",,"11:48 05/09/2022"
"sonia",,"Sonia",,"1",,"11:48 05/09/2022"
"ana-maria",,"Ana-Maria",,"1",,"11:48 05/09/2022"
"andreea",,"Andreea",,"1",,"11:48 05/09/2022"
"alexandra",,"Alexandra",,"1",,"11:48 05/09/2022"
