"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"mammadov",,"Mammadov",,"1",,"11:48 05/09/2022"
"aliyev",,"Aliyev",,"1",,"11:48 05/09/2022"
"hasanov",,"Hasanov",,"1",,"11:48 05/09/2022"
"huseynov",,"Huseynov",,"1",,"11:48 05/09/2022"
"guliyev",,"Guliyev",,"1",,"11:48 05/09/2022"
"hajiyev",,"Hajiyev",,"1",,"11:48 05/09/2022"
"rasulov",,"Rasulov",,"1",,"11:48 05/09/2022"
"suleymanov",,"Suleymanov",,"1",,"11:48 05/09/2022"
"musayev",,"Musayev",,"1",,"11:48 05/09/2022"
"abbasov",,"Abbasov",,"1",,"11:48 05/09/2022"
"babayev",,"Babayev",,"1",,"11:48 05/09/2022"
"valiyev",,"Valiyev",,"1",,"11:48 05/09/2022"
"orujov",,"Orujov",,"1",,"11:48 05/09/2022"
"ismayilov",,"Ismayilov",,"1",,"11:48 05/09/2022"
"ibrahimov",,"Ibrahimov",,"1",,"11:48 05/09/2022"
"ivanoŭ",,"Ivanou",,"1",,"11:48 05/09/2022"
"kazloŭ",,"Kazlou",,"1",,"11:48 05/09/2022"
"kavalioŭ",,"Kavaliou",,"1",,"11:48 05/09/2022"
"kazloŭski",,"Kazlouski",,"1",,"11:48 05/09/2022"
"novik",,"Novik",,"1",,"11:48 05/09/2022"
"kazlauskas",,"Kazlauskas",,"1",,"11:48 05/09/2022"
"jankauskas",,"Jankauskas",,"1",,"11:48 05/09/2022"
"petrauskas",,"Petrauskas",,"1",,"11:48 05/09/2022"
"stankevičius",,"Stankevicius",,"1",,"11:48 05/09/2022"
"vasiliauskas",,"Vasiliauskas",,"1",,"11:48 05/09/2022"
"butkus",,"Butkus",,"1",,"11:48 05/09/2022"
"žukauskas",,"Zukauskas",,"1",,"11:48 05/09/2022"
"paulauskas",,"Paulauskas",,"1",,"11:48 05/09/2022"
"urbonas",,"Urbonas",,"1",,"11:48 05/09/2022"
"kavaliauskas",,"Kavaliauskas",,"1",,"11:48 05/09/2022"
"nowak",,"Nowak",,"1",,"11:48 05/09/2022"
"kowalski",,"Kowalski",,"1",,"11:48 05/09/2022"
"wiśniewski",,"Wisniewski",,"1",,"11:48 05/09/2022"
"wójcik",,"Wojcik",,"1",,"11:48 05/09/2022"
"kowalczyk",,"Kowalczyk",,"1",,"11:48 05/09/2022"
"kamiński",,"Kaminski",,"1",,"11:48 05/09/2022"
"lewandowski",,"Lewandowski",,"1",,"11:48 05/09/2022"
"zieliński",,"Zielinski",,"1",,"11:48 05/09/2022"
"szymański",,"Szymanski",,"1",,"11:48 05/09/2022"
"woźniak",,"Wozniak",,"1",,"11:48 05/09/2022"
"dąbrowski",,"Dabrowski",,"1",,"11:48 05/09/2022"
"kozłowski",,"Kozłowski",,"1",,"11:48 05/09/2022"
"jankowski",,"Jankowski",,"1",,"11:48 05/09/2022"
"mazur",,"Mazur",,"1",,"11:48 05/09/2022"
"kwiatkowski",,"Kwiatkowski",,"1",,"11:48 05/09/2022"
"wojciechowski",,"Wojciechowski",,"1",,"11:48 05/09/2022"
"krawczyk",,"Krawczyk",,"1",,"11:48 05/09/2022"
"kaczmarek",,"Kaczmarek",,"1",,"11:48 05/09/2022"
"piotrowski",,"Piotrowski",,"1",,"11:48 05/09/2022"
"piecyk",,"Piecyk",,"1",,"11:48 05/09/2022"
"smirnov",,"Smirnov",,"1",,"11:48 05/09/2022"
"ivanov",,"Ivanov",,"1",,"11:48 05/09/2022"
"kuznetsov",,"Kuznetsov",,"1",,"11:48 05/09/2022"
"popov",,"Popov",,"1",,"11:48 05/09/2022"
"sokolov",,"Sokolov",,"1",,"11:48 05/09/2022"
"lebedev",,"Lebedev",,"1",,"11:48 05/09/2022"
"kozlov",,"Kozlov",,"1",,"11:48 05/09/2022"
"novikov",,"Novikov",,"1",,"11:48 05/09/2022"
"morozov",,"Morozov",,"1",,"11:48 05/09/2022"
"petrov",,"Petrov",,"1",,"11:48 05/09/2022"
"volkov",,"Volkov",,"1",,"11:48 05/09/2022"
"solovyov",,"Solovyov",,"1",,"11:48 05/09/2022"
"vasilyev",,"Vasilyev",,"1",,"11:48 05/09/2022"
"zaytsev",,"Zaytsev",,"1",,"11:48 05/09/2022"
"pavlov",,"Pavlov",,"1",,"11:48 05/09/2022"
"semyonov",,"Semyonov",,"1",,"11:48 05/09/2022"
"golubev",,"Golubev",,"1",,"11:48 05/09/2022"
"vinogradov",,"Vinogradov",,"1",,"11:48 05/09/2022"
"bogdanov",,"Bogdanov",,"1",,"11:48 05/09/2022"
"vorobyov",,"Vorobyov",,"1",,"11:48 05/09/2022"
"jovanović",,"Jovanovic",,"1",,"11:48 05/09/2022"
"petrović",,"Petrovic",,"1",,"11:48 05/09/2022"
"nikolić",,"Nikolic",,"1",,"11:48 05/09/2022"
"marković",,"Markovic",,"1",,"11:48 05/09/2022"
"đorđević",,"Đorđevic",,"1",,"11:48 05/09/2022"
"stojanović",,"Stojanovic",,"1",,"11:48 05/09/2022"
"ilić",,"Ilic",,"1",,"11:48 05/09/2022"
"stanković",,"Stankovic",,"1",,"11:48 05/09/2022"
"pavlović",,"Pavlovic",,"1",,"11:48 05/09/2022"
"milošević",,"Milosevic",,"1",,"11:48 05/09/2022"
"novak",,"Novak",,"1",,"11:48 05/09/2022"
"horvat",,"Horvat",,"1",,"11:48 05/09/2022"
"kovačič",,"Kovacic",,"1",,"11:48 05/09/2022"
"krajnc",,"Krajnc",,"1",,"11:48 05/09/2022"
"zupančič",,"Zupancic",,"1",,"11:48 05/09/2022"
"potočnik",,"Potocnik",,"1",,"11:48 05/09/2022"
"kovač",,"Kovac",,"1",,"11:48 05/09/2022"
"mlakar",,"Mlakar",,"1",,"11:48 05/09/2022"
"kos",,"Kos",,"1",,"11:48 05/09/2022"
"vidmar",,"Vidmar",,"1",,"11:48 05/09/2022"
"golob",,"Golob",,"1",,"11:48 05/09/2022"
"turk",,"Turk",,"1",,"11:48 05/09/2022"
"božič",,"Bozic",,"1",,"11:48 05/09/2022"
"kralj",,"Kralj",,"1",,"11:48 05/09/2022"
"korošec",,"Korosec",,"1",,"11:48 05/09/2022"
"zupan",,"Zupan",,"1",,"11:48 05/09/2022"
"bizjak",,"Bizjak",,"1",,"11:48 05/09/2022"
"hribar",,"Hribar",,"1",,"11:48 05/09/2022"
"kotnik",,"Kotnik",,"1",,"11:48 05/09/2022"
"kavčič",,"Kavcic",,"1",,"11:48 05/09/2022"
"rozman",,"Rozman",,"1",,"11:48 05/09/2022"
"kastelic",,"Kastelic",,"1",,"11:48 05/09/2022"
"oblak",,"Oblak",,"1",,"11:48 05/09/2022"
"žagar",,"Zagar",,"1",,"11:48 05/09/2022"
"petek",,"Petek",,"1",,"11:48 05/09/2022"
"hočevar",,"Hocevar",,"1",,"11:48 05/09/2022"
"kolar",,"Kolar",,"1",,"11:48 05/09/2022"
"košir",,"Kosir",,"1",,"11:48 05/09/2022"
"koren",,"Koren",,"1",,"11:48 05/09/2022"
"klemenčič",,"Klemencic",,"1",,"11:48 05/09/2022"
"horváth",,"Horvath",,"1",,"11:48 05/09/2022"
"kováč",,"Kovac",,"1",,"11:48 05/09/2022"
"varga",,"Varga",,"1",,"11:48 05/09/2022"
"tóth",,"Toth",,"1",,"11:48 05/09/2022"
"nagy",,"Nagy",,"1",,"11:48 05/09/2022"
"baláž",,"Balaz",,"1",,"11:48 05/09/2022"
"szabó",,"Szabo",,"1",,"11:48 05/09/2022"
"molnár",,"Molnar",,"1",,"11:48 05/09/2022"
"balog",,"Balog",,"1",,"11:48 05/09/2022"
"lukáč",,"Lukac",,"1",,"11:48 05/09/2022"
"melnyk",,"Melnyk",,"1",,"11:48 05/09/2022"
"shevchenko",,"Shevchenko",,"1",,"11:48 05/09/2022"
"boyko",,"Boyko",,"1",,"11:48 05/09/2022"
"kovalenko",,"Kovalenko",,"1",,"11:48 05/09/2022"
"bondarenko",,"Bondarenko",,"1",,"11:48 05/09/2022"
"tkachenko",,"Tkachenko",,"1",,"11:48 05/09/2022"
"kovalchuk",,"Kovalchuk",,"1",,"11:48 05/09/2022"
"kravchenko",,"Kravchenko",,"1",,"11:48 05/09/2022"
"oliynyk",,"Oliynyk",,"1",,"11:48 05/09/2022"
"shevchuk",,"Shevchuk",,"1",,"11:48 05/09/2022"
"koval",,"Koval",,"1",,"11:48 05/09/2022"
"polishchuk",,"Polishchuk",,"1",,"11:48 05/09/2022"
"bondar",,"Bondar",,"1",,"11:48 05/09/2022"
"tkachuk",,"Tkachuk",,"1",,"11:48 05/09/2022"
"moroz",,"Moroz",,"1",,"11:48 05/09/2022"
"marchenko",,"Marchenko",,"1",,"11:48 05/09/2022"
"lysenko",,"Lysenko",,"1",,"11:48 05/09/2022"
"rudenko",,"Rudenko",,"1",,"11:48 05/09/2022"
"savchenko",,"Savchenko",,"1",,"11:48 05/09/2022"
"petrenko",,"Petrenko",,"1",,"11:48 05/09/2022"
