"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"additri",,"Additri",,"1",,"11:48 05/09/2022"
"aaryahi",,"Aaryahi",,"1",,"11:48 05/09/2022"
"adah",,"Adah",,"1",,"11:48 05/09/2022"
"advika",,"Advika",,"1",,"11:48 05/09/2022"
"ahana",,"Ahana",,"1",,"11:48 05/09/2022"
"alisha",,"Alisha",,"1",,"11:48 05/09/2022"
"anaya",,"Anaya",,"1",,"11:48 05/09/2022"
"anika",,"Anika",,"1",,"11:48 05/09/2022"
"anvi",,"Anvi",,"1",,"11:48 05/09/2022"
"aradhya",,"Aradhya",,"1",,"11:48 05/09/2022"
"bhavya",,"Bhavya",,"1",,"11:48 05/09/2022"
"charvi",,"Charvi",,"1",,"11:48 05/09/2022"
"drishya",,"Drishya",,"1",,"11:48 05/09/2022"
"eva",,"Eva",,"1",,"11:48 05/09/2022"
"hrishita",,"Hrishita",,"1",,"11:48 05/09/2022"
"inaaya",,"Inaaya",,"1",,"11:48 05/09/2022"
"ira",,"Ira",,"1",,"11:48 05/09/2022"
"jivika",,"Jivika",,"1",,"11:48 05/09/2022"
"jiya",,"Jiya",,"1",,"11:48 05/09/2022"
"kashvi",,"Kashvi",,"1",,"11:48 05/09/2022"
"kavya",,"Kavya",,"1",,"11:48 05/09/2022"
"keya",,"Keya",,"1",,"11:48 05/09/2022"
"khushi",,"Khushi",,"1",,"11:48 05/09/2022"
"kiara",,"Kiara",,"1",,"11:48 05/09/2022"
"mahika",,"Mahika",,"1",,"11:48 05/09/2022"
"mishti",,"Mishti",,"1",,"11:48 05/09/2022"
"myra",,"Myra",,"1",,"11:48 05/09/2022"
"navya",,"Navya",,"1",,"11:48 05/09/2022"
"neysa",,"Neysa",,"1",,"11:48 05/09/2022"
"nitya",,"Nitya",,"1",,"11:48 05/09/2022"
"pari",,"Pari",,"1",,"11:48 05/09/2022"
"parinaaz",,"Parinaaz",,"1",,"11:48 05/09/2022"
"pihu",,"Pihu",,"1",,"11:48 05/09/2022"
"prisha",,"Prisha",,"1",,"11:48 05/09/2022"
"riya",,"Riya",,"1",,"11:48 05/09/2022"
"saanvi",,"Saanvi",,"1",,"11:48 05/09/2022"
"samaira",,"Samaira",,"1",,"11:48 05/09/2022"
"sana",,"Sana",,"1",,"11:48 05/09/2022"
"sara",,"Sara",,"1",,"11:48 05/09/2022"
"shanaya",,"Shanaya",,"1",,"11:48 05/09/2022"
"siya",,"Siya",,"1",,"11:48 05/09/2022"
"tanya",,"Tanya",,"1",,"11:48 05/09/2022"
"tara",,"Tara",,"1",,"11:48 05/09/2022"
"tiya",,"Tiya",,"1",,"11:48 05/09/2022"
"vanya",,"Vanya",,"1",,"11:48 05/09/2022"
"vardaniya",,"Vardaniya",,"1",,"11:48 05/09/2022"
"vedika",,"Vedika",,"1",,"11:48 05/09/2022"
"vritika",,"Vritika",,"1",,"11:48 05/09/2022"
"yashvi",,"Yashvi",,"1",,"11:48 05/09/2022"
"zara",,"Zara",,"1",,"11:48 05/09/2022"
"aadhya",,"Aadhya",,"1",,"11:48 05/09/2022"
"ananya",,"Ananya",,"1",,"11:48 05/09/2022"
"aaradhya",,"Aaradhya",,"1",,"11:48 05/09/2022"
"aanya",,"Aanya",,"1",,"11:48 05/09/2022"
"diya",,"Diya",,"1",,"11:48 05/09/2022"
"aarna",,"Aarna",,"1",,"11:48 05/09/2022"
"aditi",,"Aditi",,"1",,"11:48 05/09/2022"
"aahana",,"Aahana",,"1",,"11:48 05/09/2022"
"kyra",,"Kyra",,"1",,"11:48 05/09/2022"
"aalia",,"Aalia",,"1",,"11:48 05/09/2022"
"aarohi",,"Aarohi",,"1",,"11:48 05/09/2022"
"sai",,"Sai",,"1",,"11:48 05/09/2022"
"maryam",,"Maryam",,"1",,"11:48 05/09/2022"
"olivia",,"Olivia",,"1",,"11:48 05/09/2022"
"shreya",,"Shreya",,"1",,"11:48 05/09/2022"
"angel",,"Angel",,"1",,"11:48 05/09/2022"
"akshara",,"Akshara",,"1",,"11:48 05/09/2022"
"sarah",,"Sarah",,"1",,"11:48 05/09/2022"
"meera",,"Meera",,"1",,"11:48 05/09/2022"
"mishka",,"Mishka",,"1",,"11:48 05/09/2022"
"krisha",,"Krisha",,"1",,"11:48 05/09/2022"
"saumya",,"Saumya",,"1",,"11:48 05/09/2022"
"amaira",,"Amaira",,"1",,"11:48 05/09/2022"
"lakshmi",,"Lakshmi",,"1",,"11:48 05/09/2022"
"dhriti",,"Dhriti",,"1",,"11:48 05/09/2022"
"sahana",,"Sahana",,"1",,"11:48 05/09/2022"
"vedhika",,"Vedhika",,"1",,"11:48 05/09/2022"
"trisha",,"Trisha",,"1",,"11:48 05/09/2022"
"tanvi",,"Tanvi",,"1",,"11:48 05/09/2022"
"jhanvi",,"Jhanvi",,"1",,"11:48 05/09/2022"
"avni",,"Avni",,"1",,"11:48 05/09/2022"
"anaisha",,"Anaisha",,"1",,"11:48 05/09/2022"
"aria",,"Aria",,"1",,"11:48 05/09/2022"
"meher",,"Meher",,"1",,"11:48 05/09/2022"
"andrea",,"Andrea",,"1",,"11:48 05/09/2022"
"anushka",,"Anushka",,"1",,"11:48 05/09/2022"
"ishita",,"Ishita",,"1",,"11:48 05/09/2022"
"ishanvi",,"Ishanvi",,"1",,"11:48 05/09/2022"
"zoya",,"Zoya",,"1",,"11:48 05/09/2022"
"vaishnavi",,"Vaishnavi",,"1",,"11:48 05/09/2022"
"arunima",,"Arunima",,"1",,"11:48 05/09/2022"
"ridhi",,"Ridhi",,"1",,"11:48 05/09/2022"
"manya",,"Manya",,"1",,"11:48 05/09/2022"
"shravya",,"Shravya",,"1",,"11:48 05/09/2022"
"pratyusha",,"Pratyusha",,"1",,"11:48 05/09/2022"
"vansha",,"Vansha",,"1",,"11:48 05/09/2022"
"rachita",,"Rachita",,"1",,"11:48 05/09/2022"
"adya",,"Adya",,"1",,"11:48 05/09/2022"
"adweta",,"Adweta",,"1",,"11:48 05/09/2022"
"mitali",,"Mitali",,"1",,"11:48 05/09/2022"
"nisha",,"Nisha",,"1",,"11:48 05/09/2022"
"saira",,"Saira",,"1",,"11:48 05/09/2022"
"anya",,"Anya",,"1",,"11:48 05/09/2022"
"nitara",,"Nitara",,"1",,"11:48 05/09/2022"
"nayantara",,"Nayantara",,"1",,"11:48 05/09/2022"
"arya",,"Arya",,"1",,"11:48 05/09/2022"
"suhana",,"Suhana",,"1",,"11:48 05/09/2022"
"suhani",,"Suhani",,"1",,"11:48 05/09/2022"
"gauri",,"Gauri",,"1",,"11:48 05/09/2022"
"sneha",,"Sneha",,"1",,"11:48 05/09/2022"
"bhavna",,"Bhavna",,"1",,"11:48 05/09/2022"
"hiral",,"Hiral",,"1",,"11:48 05/09/2022"
"amrita",,"Amrita",,"1",,"11:48 05/09/2022"
"amruta",,"Amruta",,"1",,"11:48 05/09/2022"
"amaya",,"Amaya",,"1",,"11:48 05/09/2022"
"jasmine",,"Jasmine",,"1",,"11:48 05/09/2022"
"megha",,"Megha",,"1",,"11:48 05/09/2022"
"meghana",,"Meghana",,"1",,"11:48 05/09/2022"
"vinaya",,"Vinaya",,"1",,"11:48 05/09/2022"
"raveena",,"Raveena",,"1",,"11:48 05/09/2022"
"daksha",,"Daksha",,"1",,"11:48 05/09/2022"
"isha",,"Isha",,"1",,"11:48 05/09/2022"
"ishani",,"Ishani",,"1",,"11:48 05/09/2022"
"krishna",,"Krishna",,"1",,"11:48 05/09/2022"
"niharika",,"Niharika",,"1",,"11:48 05/09/2022"
"divya",,"Divya",,"1",,"11:48 05/09/2022"
"naira",,"Naira",,"1",,"11:48 05/09/2022"
