"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"alana",,"Alana",,"1",,"11:48 05/09/2022"
"hale",,"Hale",,"1",,"11:48 05/09/2022"
"hekekia",,"Hekekia",,"1",,"11:48 05/09/2022"
"iona",,"Iona",,"1",,"11:48 05/09/2022"
"iosua",,"Iosua",,"1",,"11:48 05/09/2022"
"kahale",,"Kahale",,"1",,"11:48 05/09/2022"
"kahananui",,"Kahananui",,"1",,"11:48 05/09/2022"
"kahele",,"Kahele",,"1",,"11:48 05/09/2022"
"kahue",,"Kahue",,"1",,"11:48 05/09/2022"
"kaiwi",,"Kaiwi",,"1",,"11:48 05/09/2022"
"kalama",,"Kalama",,"1",,"11:48 05/09/2022"
"kalani",,"Kalani",,"1",,"11:48 05/09/2022"
"kalawaia",,"Kalawaia",,"1",,"11:48 05/09/2022"
"kalili",,"Kalili",,"1",,"11:48 05/09/2022"
"kalua",,"Kalua",,"1",,"11:48 05/09/2022"
"kama",,"Kama",,"1",,"11:48 05/09/2022"
"kamaka",,"Kamaka",,"1",,"11:48 05/09/2022"
"kameāloha",,"Kamealoha",,"1",,"11:48 05/09/2022"
"kāne",,"Kane",,"1",,"11:48 05/09/2022"
"kapule",,"Kapule",,"1",,"11:48 05/09/2022"
"kawai",,"Kawai",,"1",,"11:48 05/09/2022"
"kaaukai",,"Kaʻaukai",,"1",,"11:48 05/09/2022"
"kauhane",,"Kaʻuhane",,"1",,"11:48 05/09/2022"
"keahi",,"Keahi",,"1",,"11:48 05/09/2022"
"kealoha",,"Kealoha",,"1",,"11:48 05/09/2022"
"keawe",,"Keawe",,"1",,"11:48 05/09/2022"
"kekoa",,"Kekoa",,"1",,"11:48 05/09/2022"
"kelekolio",,"Kelekolio",,"1",,"11:48 05/09/2022"
"kelii",,"Keliʻi",,"1",,"11:48 05/09/2022"
"mahelona",,"Mahelona",,"1",,"11:48 05/09/2022"
"mahiai",,"Mahiʻai",,"1",,"11:48 05/09/2022"
"māhoe",,"Mahoe",,"1",,"11:48 05/09/2022"
"palakiko",,"Palakiko",,"1",,"11:48 05/09/2022"
