"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"haruto",,"Haruto",,"1",,"11:48 05/09/2022"
"yuto",,"Yuto",,"1",,"11:48 05/09/2022"
"sota",,"Sota",,"1",,"11:48 05/09/2022"
"yuki",,"Yuki",,"1",,"11:48 05/09/2022"
"hayato",,"Hayato",,"1",,"11:48 05/09/2022"
"haruki",,"Haruki",,"1",,"11:48 05/09/2022"
"ryusei",,"Ryusei",,"1",,"11:48 05/09/2022"
"koki",,"Koki",,"1",,"11:48 05/09/2022"
"sora",,"Sora",,"1",,"11:48 05/09/2022"
"sosuke",,"Sosuke",,"1",,"11:48 05/09/2022"
"riku",,"Riku",,"1",,"11:48 05/09/2022"
"soma",,"Soma",,"1",,"11:48 05/09/2022"
"ryota",,"Ryota",,"1",,"11:48 05/09/2022"
"rui",,"Rui",,"1",,"11:48 05/09/2022"
"kaito",,"Kaito",,"1",,"11:48 05/09/2022"
"haru",,"Haru",,"1",,"11:48 05/09/2022"
"kota",,"Kota",,"1",,"11:48 05/09/2022"
"yusei",,"Yusei",,"1",,"11:48 05/09/2022"
"yuito",,"Yuito",,"1",,"11:48 05/09/2022"
"yuma",,"Yuma",,"1",,"11:48 05/09/2022"
"ren",,"Ren",,"1",,"11:48 05/09/2022"
"takumi",,"Takumi",,"1",,"11:48 05/09/2022"
"minato",,"Minato",,"1",,"11:48 05/09/2022"
"eita",,"Eita",,"1",,"11:48 05/09/2022"
"shota",,"Shota",,"1",,"11:48 05/09/2022"
"daiki",,"Daiki",,"1",,"11:48 05/09/2022"
"hiroto",,"Hiroto",,"1",,"11:48 05/09/2022"
"kosei",,"Kosei",,"1",,"11:48 05/09/2022"
"takeru",,"Takeru",,"1",,"11:48 05/09/2022"
"hinata",,"Hinata",,"1",,"11:48 05/09/2022"
"toma",,"Toma",,"1",,"11:48 05/09/2022"
"manato",,"Manato",,"1",,"11:48 05/09/2022"
"ryuki",,"Ryuki",,"1",,"11:48 05/09/2022"
"rikuto",,"Rikuto",,"1",,"11:48 05/09/2022"
"aoto",,"Aoto",,"1",,"11:48 05/09/2022"
"ibuki",,"Ibuki",,"1",,"11:48 05/09/2022"
"tatsuki",,"Tatsuki",,"1",,"11:48 05/09/2022"
"haruma",,"Haruma",,"1",,"11:48 05/09/2022"
"yamato",,"Yamato",,"1",,"11:48 05/09/2022"
"ryuto",,"Ryuto",,"1",,"11:48 05/09/2022"
"taisei",,"Taisei",,"1",,"11:48 05/09/2022"
"yuta",,"Yuta",,"1",,"11:48 05/09/2022"
"itsuki",,"Itsuki",,"1",,"11:48 05/09/2022"
"soshi",,"Soshi",,"1",,"11:48 05/09/2022"
"taiga",,"Taiga",,"1",,"11:48 05/09/2022"
"kosuke",,"Kosuke",,"1",,"11:48 05/09/2022"
"shoma",,"Shoma",,"1",,"11:48 05/09/2022"
"yushin",,"Yushin",,"1",,"11:48 05/09/2022"
"ryuga",,"Ryuga",,"1",,"11:48 05/09/2022"
"ryo",,"Ryo",,"1",,"11:48 05/09/2022"
"rento",,"Rento",,"1",,"11:48 05/09/2022"
