"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"russo",,"Russo",,"1",,"11:48 05/09/2022"
"ferrari",,"Ferrari",,"1",,"11:48 05/09/2022"
"esposito",,"Esposito",,"1",,"11:48 05/09/2022"
"bianchi",,"Bianchi",,"1",,"11:48 05/09/2022"
"romano",,"Romano",,"1",,"11:48 05/09/2022"
"colombo",,"Colombo",,"1",,"11:48 05/09/2022"
"bruno",,"Bruno",,"1",,"11:48 05/09/2022"
"ricci",,"Ricci",,"1",,"11:48 05/09/2022"
"greco",,"Greco",,"1",,"11:48 05/09/2022"
"marino",,"Marino",,"1",,"11:48 05/09/2022"
"gallo",,"Gallo",,"1",,"11:48 05/09/2022"
"de luca",,"De Luca",,"1",,"11:48 05/09/2022"
"conti",,"Conti",,"1",,"11:48 05/09/2022"
"costa",,"Costa",,"1",,"11:48 05/09/2022"
"mancini",,"Mancini",,"1",,"11:48 05/09/2022"
"giordano",,"Giordano",,"1",,"11:48 05/09/2022"
"rizzo",,"Rizzo",,"1",,"11:48 05/09/2022"
"lombardi",,"Lombardi",,"1",,"11:48 05/09/2022"
"barbieri",,"Barbieri",,"1",,"11:48 05/09/2022"
"moretti",,"Moretti",,"1",,"11:48 05/09/2022"
"fontana",,"Fontana",,"1",,"11:48 05/09/2022"
"caruso",,"Caruso",,"1",,"11:48 05/09/2022"
"mariani",,"Mariani",,"1",,"11:48 05/09/2022"
"ferrara",,"Ferrara",,"1",,"11:48 05/09/2022"
"santoro",,"Santoro",,"1",,"11:48 05/09/2022"
"rinaldi",,"Rinaldi",,"1",,"11:48 05/09/2022"
"leone",,"Leone",,"1",,"11:48 05/09/2022"
"dangelo",,"D'Angelo",,"1",,"11:48 05/09/2022"
"longo",,"Longo",,"1",,"11:48 05/09/2022"
"galli",,"Galli",,"1",,"11:48 05/09/2022"
"martini",,"Martini",,"1",,"11:48 05/09/2022"
"martinelli",,"Martinelli",,"1",,"11:48 05/09/2022"
"serra",,"Serra",,"1",,"11:48 05/09/2022"
"conte",,"Conte",,"1",,"11:48 05/09/2022"
"vitale",,"Vitale",,"1",,"11:48 05/09/2022"
"de santis",,"De Santis",,"1",,"11:48 05/09/2022"
"marchetti",,"Marchetti",,"1",,"11:48 05/09/2022"
"messina",,"Messina",,"1",,"11:48 05/09/2022"
"gentile",,"Gentile",,"1",,"11:48 05/09/2022"
"villa",,"Villa",,"1",,"11:48 05/09/2022"
"marini",,"Marini",,"1",,"11:48 05/09/2022"
"lombardo",,"Lombardo",,"1",,"11:48 05/09/2022"
"coppola",,"Coppola",,"1",,"11:48 05/09/2022"
"ferri",,"Ferri",,"1",,"11:48 05/09/2022"
"parisi",,"Parisi",,"1",,"11:48 05/09/2022"
"de angelis",,"De Angelis",,"1",,"11:48 05/09/2022"
"bianco",,"Bianco",,"1",,"11:48 05/09/2022"
"amato",,"Amato",,"1",,"11:48 05/09/2022"
"fabbri",,"Fabbri",,"1",,"11:48 05/09/2022"
"gatti",,"Gatti",,"1",,"11:48 05/09/2022"
"sala",,"Sala",,"1",,"11:48 05/09/2022"
"morelli",,"Morelli",,"1",,"11:48 05/09/2022"
"grasso",,"Grasso",,"1",,"11:48 05/09/2022"
"pellegrini",,"Pellegrini",,"1",,"11:48 05/09/2022"
"ferraro",,"Ferraro",,"1",,"11:48 05/09/2022"
"monti",,"Monti",,"1",,"11:48 05/09/2022"
"palumbo",,"Palumbo",,"1",,"11:48 05/09/2022"
"grassi",,"Grassi",,"1",,"11:48 05/09/2022"
"testa",,"Testa",,"1",,"11:48 05/09/2022"
"valentini",,"Valentini",,"1",,"11:48 05/09/2022"
"carbone",,"Carbone",,"1",,"11:48 05/09/2022"
"benedetti",,"Benedetti",,"1",,"11:48 05/09/2022"
"silvestri",,"Silvestri",,"1",,"11:48 05/09/2022"
"farina",,"Farina",,"1",,"11:48 05/09/2022"
"d'amico",,"D'Amico",,"1",,"11:48 05/09/2022"
"martino",,"Martino",,"1",,"11:48 05/09/2022"
"bernardi",,"Bernardi",,"1",,"11:48 05/09/2022"
"caputo",,"Caputo",,"1",,"11:48 05/09/2022"
"mazza",,"Mazza",,"1",,"11:48 05/09/2022"
"sanna",,"Sanna",,"1",,"11:48 05/09/2022"
"fiore",,"Fiore",,"1",,"11:48 05/09/2022"
"de rosa",,"De Rosa",,"1",,"11:48 05/09/2022"
"pellegrino",,"Pellegrino",,"1",,"11:48 05/09/2022"
"giuliani",,"Giuliani",,"1",,"11:48 05/09/2022"
"rizzi",,"Rizzi",,"1",,"11:48 05/09/2022"
"di stefano",,"Di Stefano",,"1",,"11:48 05/09/2022"
"cattaneo",,"Cattaneo",,"1",,"11:48 05/09/2022"
"rossetti",,"Rossetti",,"1",,"11:48 05/09/2022"
"orlando",,"Orlando",,"1",,"11:48 05/09/2022"
"basile",,"Basile",,"1",,"11:48 05/09/2022"
"neri",,"Neri",,"1",,"11:48 05/09/2022"
"barone",,"Barone",,"1",,"11:48 05/09/2022"
"palmieri",,"Palmieri",,"1",,"11:48 05/09/2022"
"riva",,"Riva",,"1",,"11:48 05/09/2022"
"romeo",,"Romeo",,"1",,"11:48 05/09/2022"
"franco",,"Franco",,"1",,"11:48 05/09/2022"
"sorrentino",,"Sorrentino",,"1",,"11:48 05/09/2022"
"pagano",,"Pagano",,"1",,"11:48 05/09/2022"
"dagostino",,"D'Agostino",,"1",,"11:48 05/09/2022"
"piras",,"Piras",,"1",,"11:48 05/09/2022"
"ruggiero",,"Ruggiero",,"1",,"11:48 05/09/2022"
"montanari",,"Montanari",,"1",,"11:48 05/09/2022"
"battaglia",,"Battaglia",,"1",,"11:48 05/09/2022"
"bellini",,"Bellini",,"1",,"11:48 05/09/2022"
"castelli",,"Castelli",,"1",,"11:48 05/09/2022"
"guerra",,"Guerra",,"1",,"11:48 05/09/2022"
"poli",,"Poli",,"1",,"11:48 05/09/2022"
"valente",,"Valente",,"1",,"11:48 05/09/2022"
"ferretti",,"Ferretti",,"1",,"11:48 05/09/2022"
"afroudakis",,"Afroudakis",,"1",,"11:48 05/09/2022"
"alafouzos",,"Alafouzos",,"1",,"11:48 05/09/2022"
"alexakis",,"Alexakis",,"1",,"11:48 05/09/2022"
"alexandris",,"Alexandris",,"1",,"11:48 05/09/2022"
"alexandrou",,"Alexandrou",,"1",,"11:48 05/09/2022"
"alexiadis",,"Alexiadis",,"1",,"11:48 05/09/2022"
"alexiou",,"Alexiou",,"1",,"11:48 05/09/2022"
"alexopoulos",,"Alexopoulos",,"1",,"11:48 05/09/2022"
"alexoudis",,"Alexoudis",,"1",,"11:48 05/09/2022"
"anastasiadis",,"Anastasiadis",,"1",,"11:48 05/09/2022"
"anastasopoulos",,"Anastasopoulos",,"1",,"11:48 05/09/2022"
"anastopoulos",,"Anastopoulos",,"1",,"11:48 05/09/2022"
"andreadis",,"Andreadis",,"1",,"11:48 05/09/2022"
"andreou",,"Andreou",,"1",,"11:48 05/09/2022"
"andrianopoulos",,"Andrianopoulos",,"1",,"11:48 05/09/2022"
"androulakis",,"Androulakis",,"1",,"11:48 05/09/2022"
"anestis",,"Anestis",,"1",,"11:48 05/09/2022"
"angelopoulos",,"Angelopoulos",,"1",,"11:48 05/09/2022"
"antoniadis",,"Antoniadis",,"1",,"11:48 05/09/2022"
"antoniou",,"Antoniou",,"1",,"11:48 05/09/2022"
"antonopoulos",,"Antonopoulos",,"1",,"11:48 05/09/2022"
"apostolidis",,"Apostolidis",,"1",,"11:48 05/09/2022"
"apostolou",,"Apostolou",,"1",,"11:48 05/09/2022"
"argyropoulos",,"Argyropoulos",,"1",,"11:48 05/09/2022"
"argyros",,"Argyros",,"1",,"11:48 05/09/2022"
"athanasiadis",,"Athanasiadis",,"1",,"11:48 05/09/2022"
"athanasoulas",,"Athanasoulas",,"1",,"11:48 05/09/2022"
"avramidis",,"Avramidis",,"1",,"11:48 05/09/2022"
"axiotis",,"Axiotis",,"1",,"11:48 05/09/2022"
"bakirtzis",,"Bakirtzis",,"1",,"11:48 05/09/2022"
"bakoyannis",,"Bakoyannis",,"1",,"11:48 05/09/2022"
"barlos",,"Barlos",,"1",,"11:48 05/09/2022"
"bernardakis",,"Bernardakis",,"1",,"11:48 05/09/2022"
"botsaris",,"Botsaris",,"1",,"11:48 05/09/2022"
"botsis",,"Botsis",,"1",,"11:48 05/09/2022"
"calathes",,"Calathes",,"1",,"11:48 05/09/2022"
"calazans",,"Calazans",,"1",,"11:48 05/09/2022"
"calligaris",,"Calligaris",,"1",,"11:48 05/09/2022"
"carras",,"Carras",,"1",,"11:48 05/09/2022"
"cassavetes",,"Cassavetes",,"1",,"11:48 05/09/2022"
"chalkias",,"Chalkias",,"1",,"11:48 05/09/2022"
"cholevas",,"Cholevas",,"1",,"11:48 05/09/2022"
"chondroyannos",,"Chondroyannos",,"1",,"11:48 05/09/2022"
"christakis",,"Christakis",,"1",,"11:48 05/09/2022"
"christodoulopoulos",,"Christodoulopoulos",,"1",,"11:48 05/09/2022"
"christodoulou",,"Christodoulou",,"1",,"11:48 05/09/2022"
"christopoulos",,"Christopoulos",,"1",,"11:48 05/09/2022"
"christos",,"Christos",,"1",,"11:48 05/09/2022"
"christou",,"Christou",,"1",,"11:48 05/09/2022"
"cirillo",,"Cirillo",,"1",,"11:48 05/09/2022"
"cora",,"Cora",,"1",,"11:48 05/09/2022"
"costas",,"Costas",,"1",,"11:48 05/09/2022"
"coumantaros",,"Coumantaros",,"1",,"11:48 05/09/2022"
"daskalakis",,"Daskalakis",,"1",,"11:48 05/09/2022"
"diamantopoulos",,"Diamantopoulos",,"1",,"11:48 05/09/2022"
"dimakos",,"Dimakos",,"1",,"11:48 05/09/2022"
"dimas",,"Dimas",,"1",,"11:48 05/09/2022"
"dimitriadis",,"Dimitriadis",,"1",,"11:48 05/09/2022"
"dimitriou",,"Dimitriou",,"1",,"11:48 05/09/2022"
"dimopoulos",,"Dimopoulos",,"1",,"11:48 05/09/2022"
"dousmanis",,"Dousmanis",,"1",,"11:48 05/09/2022"
"doxiadis",,"Doxiadis",,"1",,"11:48 05/09/2022"
"dragoumis",,"Dragoumis",,"1",,"11:48 05/09/2022"
"economides",,"Economides",,"1",,"11:48 05/09/2022"
"florakis",,"Florakis",,"1",,"11:48 05/09/2022"
"fotakis",,"Fotakis",,"1",,"11:48 05/09/2022"
"fotilas",,"Fotilas",,"1",,"11:48 05/09/2022"
"fotiou",,"Fotiou",,"1",,"11:48 05/09/2022"
"fotopoulos",,"Fotopoulos",,"1",,"11:48 05/09/2022"
"fourlis",,"Fourlis",,"1",,"11:48 05/09/2022"
"frangos",,"Frangos",,"1",,"11:48 05/09/2022"
"galifianakis",,"Galifianakis",,"1",,"11:48 05/09/2022"
"gavalas",,"Gavalas",,"1",,"11:48 05/09/2022"
"gavras",,"Gavras",,"1",,"11:48 05/09/2022"
"gazis",,"Gazis",,"1",,"11:48 05/09/2022"
"georgiadis",,"Georgiadis",,"1",,"11:48 05/09/2022"
"georgiou",,"Georgiou",,"1",,"11:48 05/09/2022"
"giakoumakis",,"Giakoumakis",,"1",,"11:48 05/09/2022"
"giannakopoulos",,"Giannakopoulos",,"1",,"11:48 05/09/2022"
"giannopoulos",,"Giannopoulos",,"1",,"11:48 05/09/2022"
"gikopoulos",,"Gikopoulos",,"1",,"11:48 05/09/2022"
"glezos",,"Glezos",,"1",,"11:48 05/09/2022"
"goulandris",,"Goulandris",,"1",,"11:48 05/09/2022"
"gounaris",,"Gounaris",,"1",,"11:48 05/09/2022"
"grammatikopoulou",,"Grammatikopoulou",,"1",,"11:48 05/09/2022"
"hatzi",,"Hatzi",,"1",,"11:48 05/09/2022"
"hatzidakis",,"Hatzidakis",,"1",,"11:48 05/09/2022"
"hatziioannou",,"Hatziioannou",,"1",,"11:48 05/09/2022"
"hatzimichalis",,"Hatzimichalis",,"1",,"11:48 05/09/2022"
"hatzis",,"Hatzis",,"1",,"11:48 05/09/2022"
"hrisoverghi",,"Hrisoverghi",,"1",,"11:48 05/09/2022"
"iakovou",,"Iakovou",,"1",,"11:48 05/09/2022"
"iliopoulos",,"Iliopoulos",,"1",,"11:48 05/09/2022"
"ioannidis",,"Ioannidis",,"1",,"11:48 05/09/2022"
"ioannou",,"Ioannou",,"1",,"11:48 05/09/2022"
"kafatos",,"Kafatos",,"1",,"11:48 05/09/2022"
"kaklamanis",,"Kaklamanis",,"1",,"11:48 05/09/2022"
"kalogeras",,"Kalogeras",,"1",,"11:48 05/09/2022"
"kalogeropoulos",,"Kalogeropoulos",,"1",,"11:48 05/09/2022"
"kanakaris",,"Kanakaris",,"1",,"11:48 05/09/2022"
"karakatsanis",,"Karakatsanis",,"1",,"11:48 05/09/2022"
"karas",,"Karas",,"1",,"11:48 05/09/2022"
"karras",,"Karras",,"1",,"11:48 05/09/2022"
"katechis",,"Katechis",,"1",,"11:48 05/09/2022"
"katrakis",,"Katrakis",,"1",,"11:48 05/09/2022"
"katsifaras",,"Katsifaras",,"1",,"11:48 05/09/2022"
