"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"santiago",,"Santiago",,"1",,"11:49 05/09/2022"
"mateo",,"Mateo",,"1",,"11:49 05/09/2022"
"juan",,"Juan",,"1",,"11:49 05/09/2022"
"matias",,"Matias",,"1",,"11:49 05/09/2022"
"nicolas",,"Nicolas",,"1",,"11:49 05/09/2022"
"benjamin",,"Benjamin",,"1",,"11:49 05/09/2022"
"pedro",,"Pedro",,"1",,"11:49 05/09/2022"
"tomas",,"Tomas",,"1",,"11:49 05/09/2022"
"thiago",,"Thiago",,"1",,"11:49 05/09/2022"
"santino",,"Santino",,"1",,"11:49 05/09/2022"
"juan carlos",,"Juan Carlos",,"1",,"11:49 05/09/2022"
"mario",,"Mario",,"1",,"11:49 05/09/2022"
"agustin",,"Agustin",,"1",,"11:49 05/09/2022"
"vicente",,"Vicente",,"1",,"11:49 05/09/2022"
"martin",,"Martin",,"1",,"11:49 05/09/2022"
"alonso",,"Alonso",,"1",,"11:49 05/09/2022"
"maximiliano",,"Maximiliano",,"1",,"11:49 05/09/2022"
"joaquin",,"Joaquin",,"1",,"11:49 05/09/2022"
"cristobal",,"Cristobal",,"1",,"11:49 05/09/2022"
"lucas",,"Lucas",,"1",,"11:49 05/09/2022"
"josé",,"Jose",,"1",,"11:49 05/09/2022"
"diego",,"Diego",,"1",,"11:49 05/09/2022"
"sebastian",,"Sebastian",,"1",,"11:49 05/09/2022"
"felipe",,"Felipe",,"1",,"11:49 05/09/2022"
"gaspar",,"Gaspar",,"1",,"11:49 05/09/2022"
"maximo",,"Maximo",,"1",,"11:49 05/09/2022"
"gabriel",,"Gabriel",,"1",,"11:49 05/09/2022"
"renato",,"Renato",,"1",,"11:49 05/09/2022"
"ignacio",,"Ignacio",,"1",,"11:49 05/09/2022"
"emiliano",,"Emiliano",,"1",,"11:49 05/09/2022"
"bruno",,"Bruno",,"1",,"11:49 05/09/2022"
"bastian",,"Bastian",,"1",,"11:49 05/09/2022"
"leon",,"Leon",,"1",,"11:49 05/09/2022"
"franco",,"Franco",,"1",,"11:49 05/09/2022"
"amaro",,"Amaro",,"1",,"11:49 05/09/2022"
"samuel",,"Samuel",,"1",,"11:49 05/09/2022"
"jeronimo",,"Jeronimo",,"1",,"11:49 05/09/2022"
"emmanuel",,"Emmanuel",,"1",,"11:49 05/09/2022"
"alejandro",,"Alejandro",,"1",,"11:49 05/09/2022"
"leonardo",,"Leonardo",,"1",,"11:49 05/09/2022"
"ramon",,"Ramon",,"1",,"11:49 05/09/2022"
"antonio",,"Antonio",,"1",,"11:49 05/09/2022"
"carlos",,"Carlos",,"1",,"11:49 05/09/2022"
"daniel",,"Daniel",,"1",,"11:49 05/09/2022"
"luis",,"Luis",,"1",,"11:49 05/09/2022"
"javier",,"Javier",,"1",,"11:49 05/09/2022"
"david",,"David",,"1",,"11:49 05/09/2022"
"cesar",,"Cesar",,"1",,"11:49 05/09/2022"
"lautaro",,"Lautaro",,"1",,"11:49 05/09/2022"
