"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"fernandez",,"Fernandez",,"1",,"11:49 05/09/2022"
"rodríguez",,"Rodriguez",,"1",,"11:49 05/09/2022"
"gonzález",,"Gonzalez",,"1",,"11:49 05/09/2022"
"garcía",,"Garcia",,"1",,"11:49 05/09/2022"
"lópez",,"Lopez",,"1",,"11:49 05/09/2022"
"martínez",,"Martinez",,"1",,"11:49 05/09/2022"
"pérez",,"Perez",,"1",,"11:49 05/09/2022"
"álvarez",,"Alvarez",,"1",,"11:49 05/09/2022"
"gómez",,"Gomez",,"1",,"11:49 05/09/2022"
"sánchez",,"Sanchez",,"1",,"11:49 05/09/2022"
"díaz",,"Diaz",,"1",,"11:49 05/09/2022"
"vásquez",,"Vasquez",,"1",,"11:49 05/09/2022"
"castro",,"Castro",,"1",,"11:49 05/09/2022"
"romero",,"Romero",,"1",,"11:49 05/09/2022"
"suárez",,"Suarez",,"1",,"11:49 05/09/2022"
"blanco",,"Blanco",,"1",,"11:49 05/09/2022"
"ruiz",,"Ruiz",,"1",,"11:49 05/09/2022"
"alonso",,"Alonso",,"1",,"11:49 05/09/2022"
"torres",,"Torres",,"1",,"11:49 05/09/2022"
"domínguez",,"Dominguez",,"1",,"11:49 05/09/2022"
"gutiérrez",,"Gutierrez",,"1",,"11:49 05/09/2022"
"sosa",,"Sosa",,"1",,"11:49 05/09/2022"
"iglesias",,"Iglesias",,"1",,"11:49 05/09/2022"
"giménez",,"Gimenez",,"1",,"11:49 05/09/2022"
"ramírez",,"Ramirez",,"1",,"11:49 05/09/2022"
"martín",,"Martin",,"1",,"11:49 05/09/2022"
"varela",,"Varela",,"1",,"11:49 05/09/2022"
"ramos",,"Ramos",,"1",,"11:49 05/09/2022"
"núnez",,"Nunez",,"1",,"11:49 05/09/2022"
"rossi",,"Rossi",,"1",,"11:49 05/09/2022"
"silva",,"Silva",,"1",,"11:49 05/09/2022"
"méndez",,"Mendez",,"1",,"11:49 05/09/2022"
"hernández",,"Hernandez",,"1",,"11:49 05/09/2022"
"flores",,"Flores",,"1",,"11:49 05/09/2022"
"pereyra",,"Pereyra",,"1",,"11:49 05/09/2022"
"ferrari",,"Ferrari",,"1",,"11:49 05/09/2022"
"ortiz",,"Ortiz",,"1",,"11:49 05/09/2022"
"medina",,"Medina",,"1",,"11:49 05/09/2022"
"benítez",,"Benitez",,"1",,"11:49 05/09/2022"
"herrera",,"Herrera",,"1",,"11:49 05/09/2022"
"arias",,"Arias",,"1",,"11:49 05/09/2022"
"acosta",,"Acosta",,"1",,"11:49 05/09/2022"
"moreno",,"Moreno",,"1",,"11:49 05/09/2022"
"aguirre",,"Aguirre",,"1",,"11:49 05/09/2022"
"otero",,"Otero",,"1",,"11:49 05/09/2022"
"cabrera",,"Cabrera",,"1",,"11:49 05/09/2022"
"rey",,"Rey",,"1",,"11:49 05/09/2022"
"rojas",,"Rojas",,"1",,"11:49 05/09/2022"
"vidal",,"Vidal",,"1",,"11:49 05/09/2022"
"molina",,"Molina",,"1",,"11:49 05/09/2022"
"russo",,"Russo",,"1",,"11:49 05/09/2022"
"paz",,"Paz",,"1",,"11:49 05/09/2022"
"vega",,"Vega",,"1",,"11:49 05/09/2022"
"costa",,"Costa",,"1",,"11:49 05/09/2022"
"bruno",,"Bruno",,"1",,"11:49 05/09/2022"
"romano",,"Romano",,"1",,"11:49 05/09/2022"
"morales",,"Morales",,"1",,"11:49 05/09/2022"
"ríos",,"Rios",,"1",,"11:49 05/09/2022"
"miranda",,"Miranda",,"1",,"11:49 05/09/2022"
"muñoz",,"Munoz",,"1",,"11:49 05/09/2022"
"franco",,"Franco",,"1",,"11:49 05/09/2022"
"castillo",,"Castillo",,"1",,"11:49 05/09/2022"
"campos",,"Campos",,"1",,"11:49 05/09/2022"
"bianchi",,"Bianchi",,"1",,"11:49 05/09/2022"
"luna",,"Luna",,"1",,"11:49 05/09/2022"
"correa",,"Correa",,"1",,"11:49 05/09/2022"
"ferreyra",,"Ferreyra",,"1",,"11:49 05/09/2022"
"navarro",,"Navarro",,"1",,"11:49 05/09/2022"
"quiroga",,"Quiroga",,"1",,"11:49 05/09/2022"
"colombo",,"Colombo",,"1",,"11:49 05/09/2022"
"cohen",,"Cohen",,"1",,"11:49 05/09/2022"
"vera",,"Vera",,"1",,"11:49 05/09/2022"
"lorenzo",,"Lorenzo",,"1",,"11:49 05/09/2022"
"gil",,"Gil",,"1",,"11:49 05/09/2022"
"santos",,"Santos",,"1",,"11:49 05/09/2022"
"delgado",,"Delgado",,"1",,"11:49 05/09/2022"
"godoy",,"Godoy",,"1",,"11:49 05/09/2022"
"rivas",,"Rivas",,"1",,"11:49 05/09/2022"
"rivero",,"Rivero",,"1",,"11:49 05/09/2022"
"gallo",,"Gallo",,"1",,"11:49 05/09/2022"
"peralta",,"Peralta",,"1",,"11:49 05/09/2022"
"soto",,"Soto",,"1",,"11:49 05/09/2022"
"figueroa",,"Figueroa",,"1",,"11:49 05/09/2022"
"juárez",,"Juarez",,"1",,"11:49 05/09/2022"
"marino",,"Marino",,"1",,"11:49 05/09/2022"
"ponce",,"Ponce",,"1",,"11:49 05/09/2022"
"calvo",,"Calvo",,"1",,"11:49 05/09/2022"
"ibáñez",,"Ibanez",,"1",,"11:49 05/09/2022"
"cáceres",,"Caceres",,"1",,"11:49 05/09/2022"
"carrizo",,"Carrizo",,"1",,"11:49 05/09/2022"
"vargas",,"Vargas",,"1",,"11:49 05/09/2022"
"mendoza",,"Mendoza",,"1",,"11:49 05/09/2022"
"aguilar",,"Aguilar",,"1",,"11:49 05/09/2022"
"ledesma",,"Ledesma",,"1",,"11:49 05/09/2022"
"guzmán",,"Guzman",,"1",,"11:49 05/09/2022"
"soria",,"Soria",,"1",,"11:49 05/09/2022"
"villalba",,"Villalba",,"1",,"11:49 05/09/2022"
"prieto",,"Prieto",,"1",,"11:49 05/09/2022"
"maldonado",,"Maldonado",,"1",,"11:49 05/09/2022"
