"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"retailowner","Retail Owner",Majitel maloobchodu,,,,"11:48 05/09/2022"
"retailmanager","Retail Manager",Vedoucí maloobchodu,,,,"11:48 05/09/2022"
"shopkeeper","Shopkeeper",Prodavač,,,,"11:48 05/09/2022"
"generalmanager","General Manager",Generální ředitel,,,,"11:48 05/09/2022"
"headofhr","Head of HR",HR oddělení,,,,"11:48 05/09/2022"
"personalassistant","Personal Assistant",Osobní asistent,,,,"11:48 05/09/2022"
"officemanager","Office Manager",Vedoucí kanceláře,,,,"11:48 05/09/2022"
"headofoperations","Head of Operations",Vedoucí provozu,,,,"11:48 05/09/2022"
"hradministrator","HR Administrator",Správce lidských zdrojů,,,,"11:48 05/09/2022"
"marketingexecutive","Marketing Executive",Marketingový manažer,,,,"11:48 05/09/2022"
"accountant","Accountant",Účetní,,,,"11:48 05/09/2022"
"qatechnician","QA Technician",Technik kontroly kvality,,,,"11:48 05/09/2022"
"customerservicetechnician","Customer Service Technician",Technik zákaznického servisu,,,,"11:48 05/09/2022"
"buyer","Buyer",Kupující,,,,"11:48 05/09/2022"
"receptionist","Receptionist",Recepční,,,,"11:48 05/09/2022"
"officetemp","Office Temporary Worker",Dočasný pracovník v kanceláři,,,,"11:48 05/09/2022"
"warehousemanager","Warehouse Manager",Vedoucí skladu,,,,"11:48 05/09/2022"
"administrator","Administrator",Správce,,,,"11:48 05/09/2022"
"warehousetechnician","Warehouse Technician",Skladový technik,,,,"11:48 05/09/2022"
"machinist","Machinist",Strojník,,,,"11:48 05/09/2022"
"securityguard","Security Guard",Bezpečnostní stráž,,,,"11:48 05/09/2022"
"janitor","Janitor",Údržbář,,,,"11:48 05/09/2022"
"barstaff","Bar Staff",Personál baru,,,,"11:48 05/09/2022"
"retired","Retired",Vysloužilý,,,,"11:48 05/09/2022"
"barkeeper","Barkeeper",Barman,,,,"11:48 05/09/2022"
"headchef","Head Chef",Šéfkuchař,,,,"11:48 05/09/2022"
"souschef","Sous Chef",Zástupce šéfkuchaře,,,,"11:48 05/09/2022"
"kitchenhand","Kitchen Hand",Kuchyňská ruka,,,,"11:48 05/09/2022"
"companydirector","Company Director",Ředitel společnosti,,,,"11:48 05/09/2022"
"waiter","Waiter",Číšník,,,,"11:48 05/09/2022"
"floormanager","Floor Manager",Vedoucí podlahové plochy,,,,"11:48 05/09/2022"
"foreman","Foreman",Předák,,,,"11:48 05/09/2022"
"engineer","Engineer",Inženýr,,,,"11:48 05/09/2022"
"sitemanager","Site Manager",Vedoucí pracoviště,,,,"11:48 05/09/2022"
"safetyofficer","Safety Officer",Bezpečnostní pracovník,,,,"11:48 05/09/2022"
"r&dmanager","R&D Manager",Manažer výzkumu a vývoje,,,,"11:48 05/09/2022"
"shippingmanager","Shipping Manager",Vedoucí přepravy,,,,"11:48 05/09/2022"
"buildingmanager","Building Manager",Správce budovy,,,,"11:48 05/09/2022"
"securityguard2","Security Guard",Bezpečnostní stráž,,,,"11:48 05/09/2022"
"buildingjanitor","Building Janitor",Údržbář budovy,,,,"11:48 05/09/2022"
"hiredkiller","Hired Killer",Nájemný vrah,,,,"11:48 05/09/2022"
"unemployed","Unemployed",Nezaměstnaní,,,,"11:48 05/09/2022"
"waitstaff","Wait Staff",Číšníci,,,,"11:48 05/09/2022"
"shopassistant","Shop Assistant",Prodejní asistent,,,,"11:48 05/09/2022"
"securityguarddesk","Security Guard",Bezpečnostní stráž,,,,"11:48 05/09/2022"
"selfemployedstreetstallvendor","Street Stall Vendor",Pouliční stánkový prodejce,,,,"11:48 05/09/2022"
"laundryworker","Laundry Worker",Pracovník v prádelně,,,,"11:48 05/09/2022"
"enforcer","Enforcer",Exekutor,,,,"11:48 05/09/2022"
"enforcercaptain","Enforcer Captain",Velitel exekutorů,,,,"11:48 05/09/2022"
"dataanalyst","Data Analyst",Datový analytik,,,,"11:48 05/09/2022"
"chiefmedicalofficer","Chief Medical Officer",Hlavní lékař,,,,"11:48 05/09/2022"
"medicalofficer","Medical Officer",Lékařský úředník,,,,"11:48 05/09/2022"
"nurse","Nurse",Zdravotní sestra,,,,"11:48 05/09/2022"
"elgenclinicmanager","El Gen Clinic Manager",Vedoucí kliniky El Gen,,,,"11:48 05/09/2022"
"elgenrep","El Gen Representative",Zástupce společnosti El Gen,,,,"11:48 05/09/2022"
"selfemployedlandlord","Landlord",Pronajímatel,,,,"11:48 05/09/2022"
"selfemployedweaponsdealer","Weapons Dealer",Prodejce zbraní,,,,"11:48 05/09/2022"
"weaponsdealer","Weapons Dealer",Prodejce zbraní,,,,"11:48 05/09/2022"
"blackmarketdoctor","Black Market Doctor",Lékař na černém trhu,,,,"11:48 05/09/2022"
"blackmarkettrader","Black Market Trader",Obchodník na černém trhu,,,,"11:48 05/09/2022"
"criminalaccountant","Accountant",Účetní,,,,"11:48 05/09/2022"
"debtcollector","Debt Collector",Vymáhání pohledávek,,,,"11:48 05/09/2022"
"gamblingdenowner","Gambling Den Owner",Majitel hazardního doupěte,,,,"11:48 05/09/2022"
"supervisor","Supervisor",Supervisor,,,,"11:48 05/09/2022"
"porter","",Vrátný,"",,"","14:46 03/08/2023"
"labworker","",Laboratorní pracovník,"",,"","15:34 28/02/2024"
