"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"red","Red",Červená,červená,"2",,"11:49 05/09/2022"
"scarlet","Scarlet",Šarlatová,červená,"10",,"11:49 05/09/2022"
"ruby","Ruby",Rubín,červená,"9",,"11:49 05/09/2022"
"crimson","Crimson",Crimson,červená,"10",,"11:49 05/09/2022"
"cherry","Cherry",Cherry,červená,"7",,"11:49 05/09/2022"
"jam","Jam",Jam,červená,"4",,"11:49 05/09/2022"
"merlot","Merlot",Merlot,červená,"4",,"11:49 05/09/2022"
"white","White",Bílá,bílá,"1",,"11:49 05/09/2022"
"pearl","Pearl",Perla,bílá,"4",,"11:49 05/09/2022"
"ivory","Ivory",Slonová kost,bílá,"5",,"11:49 05/09/2022"
"cotton","Cotton",Bavlna,bílá,"7",,"11:49 05/09/2022"
"porcelain","Porcelain",Porcelán,bílá,"4",,"11:49 05/09/2022"
"snow","Snow",Sníh,bílá,"3",,"11:49 05/09/2022"
"yellow","Yellow",Žlutý,žlutá,"2",,"11:49 05/09/2022"
"buttermilk","Buttermilk",Podmáslí,žlutá,"3",,"11:49 05/09/2022"
"canary","Canary",Kanárek,žlutá,"6",,"11:49 05/09/2022"
"gold","Gold",Zlato,žlutá,"5",,"11:49 05/09/2022"
"golden","Golden",Zlaty,žlutá,"5",,"11:49 05/09/2022"
"butterscotch","Butterscotch",Máslové bonbony,žlutá,"5",,"11:49 05/09/2022"
"pineapple","Pineapple",Ananas,žlutá,"5",,"11:49 05/09/2022"
"honey","Honey",Měď,žlutá,"6",,"11:49 05/09/2022"
"lemon","Lemon",Citron,žlutá,"8",,"11:49 05/09/2022"
"daffodil","Daffodil",Narcis,žlutá,"8",,"11:49 05/09/2022"
"medallion","Medallion",Medailon,žlutá,"7",,"11:49 05/09/2022"
"hornet","Hornet",Sršen,žlutá,"10",,"11:49 05/09/2022"
"bumblebee","Bumblebee",Čmelák,žlutá,"7",,"11:49 05/09/2022"
"orange","Orange",Oranžová,oranžová,"3",,"11:49 05/09/2022"
"tangerine","Tangerine",Mandarinka,oranžová,"9",,"11:49 05/09/2022"
"marigold","Marigold",Měsíček lékařský,oranžová,"7",,"11:49 05/09/2022"
"smoldering","Smouldering",Doutnající,oranžová,"5",,"11:49 05/09/2022"
"ginger","Ginger",Zázvor,oranžová,"9",,"11:49 05/09/2022"
"amber","Amber",Amber,oranžová,"10",,"11:49 05/09/2022"
"rust","Rust",Rez,oranžová,"6",,"11:49 05/09/2022"
"bronze","Bronze",Bronz,oranžová,"4",,"11:49 05/09/2022"
"pink","Pink",Růžová,růžová,"3",,"11:49 05/09/2022"
"blush","Blush",Červenat se,růžová,"4",,"11:49 05/09/2022"
"punch","Punch",Punčová,růžová,"5",,"11:49 05/09/2022"
"rouge","Rouge",Rouge,růžová,"8",,"11:49 05/09/2022"
"strawberry","Strawberry",Jahodova,růžová,"6",,"11:49 05/09/2022"
"salmon","Salmon",Lososová,růžová,"5",,"11:49 05/09/2022"
"coral","Coral",Korálová,růžová,"7",,"11:49 05/09/2022"
"flamingo","Flamingo",Plameňák,růžová,"10",,"11:49 05/09/2022"
"purple","Purple",Fialova,fialová,"5",,"11:49 05/09/2022"
"violet","Violet",Fialova,fialová,"8",,"11:49 05/09/2022"
"lilac","Lilac",Lila,fialová,"6",,"11:49 05/09/2022"
"plum","Plum",Švestka,fialová,"5",,"11:49 05/09/2022"
"iris","Iris",Iris,fialová,"4",,"11:49 05/09/2022"
"mulberry","Mulberry",Moruše,fialová,"7",,"11:49 05/09/2022"
"orchid","Orchid",Orchidej,fialová,"8",,"11:49 05/09/2022"
"blue","Blue",Modrá,modrá,"3",,"11:49 05/09/2022"
"indigo","Indigo",Indigo,modrá,"7",,"11:49 05/09/2022"
"navy","Navy",Námořnictvo,modrá,"4",,"11:49 05/09/2022"
"cerulean","Cerulean",Cerulean,modrá,"9",,"11:49 05/09/2022"
"sapphire","Sapphire",Safír,modrá,"9",,"11:49 05/09/2022"
"cobalt","Cobalt",Kobalt,modrá,"7",,"11:49 05/09/2022"
"denim","Denim",Džínovina,modrá,"2",,"11:49 05/09/2022"
"azure","Azure",Azure,modrá,"8",,"11:49 05/09/2022"
"green","Green",Zelená,zelená,"1",,"11:49 05/09/2022"
"juniper","Juniper",Jalovec,zelená,"6",,"11:49 05/09/2022"
"sage","Sage",Šalvěj,zelená,"5",,"11:49 05/09/2022"
"lime","Lime",Limetka,zelená,"5",,"11:49 05/09/2022"
"olive","Olive",Olivový,zelená,"5",,"11:49 05/09/2022"
