"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"group","Group",Skupina,,"1",,"11:49 05/09/2022"
"finance","Finance",Finance,,"1",,"11:49 05/09/2022"
"holdings co.","Holdings Co.",Holdings Co.,,"1",,"11:49 05/09/2022"
"holdings","Holdings",Holdingy,,"1",,"11:49 05/09/2022"
"credit union","Credit Union",Družstvo spořitelny,,"1",,"11:49 05/09/2022"
"bank group","Bank Group",Bankovní skupina,,"1",,"11:49 05/09/2022"
"financial","Financial",Finanční,,"1",,"11:49 05/09/2022"
"financial group","Financial Group",Finanční skupina,,"1",,"11:49 05/09/2022"
"bank","Bank",Banka,,"1",,"11:49 05/09/2022"
"savings company","Savings Company",Spořitelní společnost,,"1",,"11:49 05/09/2022"
"investments","Investments",Investice,,"1",,"11:49 05/09/2022"
"sterling","Sterling",Sterling,,"1",,"11:49 05/09/2022"
"state","State",Statistika,,"1",,"11:49 05/09/2022"
"east","East",Východní,,"1",,"11:49 05/09/2022"
"west","West",Západní,,"1",,"11:49 05/09/2022"
"savings bank","Savings Bank",Spořitelna,,"1",,"11:49 05/09/2022"
"trust","Trust",Důvěryhodný,,"1",,"11:49 05/09/2022"
"state bank","State Bank",Státní banka,,"1",,"11:49 05/09/2022"
"choice","Choice",Volba,,"1",,"11:49 05/09/2022"
"mutual","Mutual",Vzájemné,,"1",,"11:49 05/09/2022"
"co-operative","Co-operative",Kooperace,,"1",,"11:49 05/09/2022"
"aspen","Aspen",Osika,,"1",,"11:49 05/09/2022"
"banking group","Banking Group",Bankovní skupina,,"1",,"11:49 05/09/2022"
"banking","Banking",Bankovnictví,,"1",,"11:49 05/09/2022"
"& partners","& Partners",& Partneři,,"1",,"11:49 05/09/2022"
"accounts","Accounts",Účty,,"1",,"11:49 05/09/2022"
"standard","Standard",Standard,,"1",,"11:49 05/09/2022"
"reserve","Reserve",Rezerevy,,"1",,"11:49 05/09/2022"
"monopoly","Monopoly",Monopol,,"1",,"11:49 05/09/2022"
