"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"bar & grill","Bar & Grill","Bar & Grill",,"7",,"11:49 05/09/2022"
"bar","Bar","Bar",,"10",,"11:49 05/09/2022"
"brew house","Brew House","Pivovarsky dum",,"5",,"11:49 05/09/2022"
"tavern","Tavern","Hospoda",,"9",,"11:49 05/09/2022"
"tavern & grill","Tavern & Grill","Hospoda a gril",,"5",,"11:49 05/09/2022"
"saloon","Saloon","Salon",,"9",,"11:49 05/09/2022"
"spirits","Spirits","Lihoviny",,"1",,"11:49 05/09/2022"
"lounge","Lounge","Salonek",,"8",,"11:49 05/09/2022"
"cantina","Cantina","Kantyna",,"6",,"11:49 05/09/2022"
"social club","Social Club","Spolecensky klub",,"7",,"11:49 05/09/2022"
"social","Social","Spolecensky",,"8",,"11:49 05/09/2022"
