"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"burger","Burger",Burger,,"1",,"11:49 05/09/2022"
"burger joint","Burger Joint",Burger Joint,,"1",,"11:49 05/09/2022"
"buffet","Buffet",Bufet,,"1",,"11:49 05/09/2022"
"chicken shack","Chicken Shack",Chicken Shack,,"1",,"11:49 05/09/2022"
"cheeseburgers","Cheeseburgers",Sýrárna,,"1",,"11:49 05/09/2022"
"chili","Chili",Chilli,,"1",,"11:49 05/09/2022"
"donuts","Donuts",Donuty,,"1",,"11:49 05/09/2022"
"express","Express",Expresní,,"1",,"11:49 05/09/2022"
"fries","Fries",Hranolky,,"1",,"11:49 05/09/2022"
"fast fries","Fast Fries",Rychlé hranolky,,"1",,"11:49 05/09/2022"
"feast","Feast",Svátek,,"1",,"11:49 05/09/2022"
"food hut","Food Hut",Potraviny Huť,,"1",,"11:49 05/09/2022"
"fast food","Fast Food",Rychlé občerstvení,,"1",,"11:49 05/09/2022"
"fried foods","Fried Foods",Smažené potraviny,,"1",,"11:49 05/09/2022"
"fryer","Fryer",Fritéza,,"1",,"11:49 05/09/2022"
"grill","Grill",Gril,,"1",,"11:49 05/09/2022"
"grub","Grub",Hmyz,,"1",,"11:49 05/09/2022"
"hamburgers","Hamburgers",Hamburgery,,"1",,"11:49 05/09/2022"
"habanero","Habanero",Habanero,,"1",,"11:49 05/09/2022"
"in-and-out","In-and-Out",In-and-out,,"1",,"11:49 05/09/2022"
"jamboree","Jamboree",Jamboree,,"1",,"11:49 05/09/2022"
"kitchen","Kitchen",Kuchyně,,"1",,"11:49 05/09/2022"
"mexican canteen","Mexican Canteen",Mexická jídelna,,"1",,"11:49 05/09/2022"
"parlour","Parlour",Salon,,"1",,"11:49 05/09/2022"
"qwik burger","Qwik Burger",Qwik Burger,,"1",,"11:49 05/09/2022"
"burger restaurant","Burger Restaurant",Burger resetaurace,,"1",,"11:49 05/09/2022"
"tacos","Tacos",Tacos,,"1",,"11:49 05/09/2022"
"burger zone","Burger Zone",Burger zóna,,"1",,"11:49 05/09/2022"
