"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"noodles","Noodles",Nudle,,"1",,"11:49 05/09/2022"
"ramen","Ramen",Ramen,,"1",,"11:49 05/09/2022"
"bar","Bar",Bar,,"1",,"11:49 05/09/2022"
"delights","Delights",Potěšení,,"1",,"11:49 05/09/2022"
"dynasty","Dynasty",Dynastie,,"1",,"11:49 05/09/2022"
"blossom","Blossom",Blossom,,"1",,"11:49 05/09/2022"
"restaurant","Restaurant",Restaurace,,"1",,"11:49 05/09/2022"
"chopsticks","Chopsticks",Hůlky,,"1",,"11:49 05/09/2022"
"noodle","Noodle",Nudle,,"1",,"11:49 05/09/2022"
"buffet","Buffet",Bufet,,"1",,"11:49 05/09/2022"
"kitchen","Kitchen",Kuchyně,,"1",,"11:49 05/09/2022"
"lantern","Lantern",Lucerna,,"1",,"11:49 05/09/2022"
