"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"kitchen","Kitchen",Kuchyně,,"1",,"11:49 05/09/2022"
"stand","Stand",Stojan,,"1",,"11:49 05/09/2022"
"cafe","Cafe",Kavárna,,"1",,"11:49 05/09/2022"
"cafeteria","Cafeteria",Kavárna,,"1",,"11:49 05/09/2022"
"sandwiches","Sandwiches",Zasílání informací,,"1",,"11:49 05/09/2022"
"grill","Grill",Gril,,"1",,"11:49 05/09/2022"
"dive","Dive",Potápění,,"1",,"11:49 05/09/2022"
"canteen","Canteen",Jídelna,,"1",,"11:49 05/09/2022"
"grub house","Grub House",Grub House,,"1",,"11:49 05/09/2022"
"grub shack","Grub Shack",Grub Shack,,"1",,"11:49 05/09/2022"
"snack stop","Snack Stop",Zastávka s občerstvením,,"1",,"11:49 05/09/2022"
"diner","Diner",Diner,,"1",,"11:49 05/09/2022"
"greasy spoon","Greasy Spoon",Mastná lžíce,,"1",,"11:49 05/09/2022"
"spoon","Spoon",Lžíce,,"1",,"11:49 05/09/2022"
"lunchroom","Lunchroom",Jídelna,,"1",,"11:49 05/09/2022"
"tuck shop","Tuck Shop",Tuck Shop,,"1",,"11:49 05/09/2022"
