"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"stores","Stores",Obchody,,"1",,"11:49 05/09/2022"
"foods","Foods",Potraviny,,"1",,"11:49 05/09/2022"
"wholefoods","Wholefoods",Celozrnné potraviny,,"1",,"11:49 05/09/2022"
"health store","Health Store",Obchod se zdravím,,"1",,"11:49 05/09/2022"
"fine foods","Fine Foods",Jemné potraviny,,"1",,"11:49 05/09/2022"
"market","Market",Trh,,"1",,"11:49 05/09/2022"
"24","24",24,,"1",,"11:49 05/09/2022"
"savings","Savings",Úspory,,"1",,"11:49 05/09/2022"
"cost cut","Cost Cut",Snížení nákladů,,"1",,"11:49 05/09/2022"
"express","Express",Expresní,,"1",,"11:49 05/09/2022"
"news & booze","News & Booze",Novinky a alkohol,,"1",,"11:49 05/09/2022"
"checkout","Checkout",Pokladna,,"1",,"11:49 05/09/2022"
"retail","Retail",Maloobchod,,"1",,"11:49 05/09/2022"
"essentials","Essentials",Základní,,"1",,"11:49 05/09/2022"
