"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"hardware","Hardware",Hardware,,"1",,"11:49 05/09/2022"
"diy","DIY",DIY,,"1",,"11:49 05/09/2022"
"essentials","Essentials",Základy,,"1",,"11:49 05/09/2022"
"hardware store","Hardware Store",Obchod s hardwarem,,"1",,"11:49 05/09/2022"
"crafts & hardware","Crafts & Hardware",Řemesla a hardware,,"1",,"11:49 05/09/2022"
"house & home","House & Home",Dům a domov,,"1",,"11:49 05/09/2022"
"screws & nails","Screws & Nails",Šrouby a hřebíky,,"1",,"11:49 05/09/2022"
"silver hammer","Silver Hammer",Stříbrné kladivo,,"1",,"11:49 05/09/2022"
"diy store","DIY Store",Obchod pro kutily,,"1",,"11:49 05/09/2022"
"hardware & rental","Hardware & Rental",Hardware a pronájem,,"1",,"11:49 05/09/2022"
"tools","Tools",Nástroje,,"1",,"11:49 05/09/2022"
"building supplies","Building Supplies",Stavební potřeby,,"1",,"11:49 05/09/2022"
"trading post","Trading Post",Obchodní pošta,,"1",,"11:49 05/09/2022"
"plumbing supplies","Plumbing Supplies",Instalatérské potřeby,,"1",,"11:49 05/09/2022"
"resources","Resources",Zdroje,,"1",,"11:49 05/09/2022"
"toolworks","Toolworks",Nástrojárna,,"1",,"11:49 05/09/2022"
"tool supply","Tool Supply",Zásobování nářadím,,"1",,"11:49 05/09/2022"
"hardware company","Hardware Company",Hardwarová společnost,,"1",,"11:49 05/09/2022"
"value hardware","Value Hardware",Hodnotný hardware,,"1",,"11:49 05/09/2022"
"ironmonger","Ironmonger",Železářství,,"1",,"11:49 05/09/2022"
"ironmongers","Ironmongers",Železářství,,"1",,"11:49 05/09/2022"
"tool company","Tool Company",Společnost Tool Company,,"1",,"11:49 05/09/2022"
"diy company","DIY Company",Společnost pro kutily,,"1",,"11:49 05/09/2022"
"home improvement","Home Improvement",Stavebniny,,"1",,"11:49 05/09/2022"
"home center","Home Center",Domácí centrum,,"1",,"11:49 05/09/2022"
