"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"smog","Smog","Smog",,"1",,"11:49 05/09/2022"
"plant","Plant","Rostlina",,"2",,"11:49 05/09/2022"
"manufacturing","Manufacturing","Vyroba",,"2",,"11:49 05/09/2022"
"workhouse","Workhouse","Pracovni dum",,"1",,"11:49 05/09/2022"
"chemical systems","Chemical Systems","Chemicke systemy",,"1",,"11:49 05/09/2022"
"systems","Systems","Systemy",,"1",,"11:49 05/09/2022"
"conglomerate","Conglomerate","Konglomerat",,"1",,"11:49 05/09/2022"
"industrial","Industrial","Prumyslove",,"1",,"11:49 05/09/2022"
"liquids","Liquids","Tekutiny",,"1",,"11:49 05/09/2022"
"chemicals","Chemicals","Chemikalie",,"1",,"11:49 05/09/2022"
"compounds","Compounds","Slouceniny",,"1",,"11:49 05/09/2022"
"industries","Industries","Odvetvi",,"1",,"11:49 05/09/2022"
