"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","—","—","—"
"labs",,"Labs",,4,,"11:49 28/02/2024"
"laboratories",,"Laboratoře",,4,,"11:49 28/02/2024"
"research",,"Výzkum",,2,,"11:49 28/02/2024"
"systems",,"Systémy",,1,,"11:49 28/02/2024"
"genetics",,"Genetika",,1,,"11:49 28/02/2024"
"cybernetics",,"Kybernetika",,1,,"11:49 28/02/2024"
"chemistry",,"Chemie",,1,,"11:49 28/02/2024"
"biology",,"Biologie",,1,,"11:49 28/02/2024"
"pharmaceuticals",,"Farmacie",,4,,"11:49 28/02/2024"
