"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","—","—","—"
"inc","Inc",Včetně,,"1",,"11:49 05/09/2022"
"incorporated","Incorporated",Začleněno,,"1",,"11:49 05/09/2022"
"limited","Limited",Omezené,,"1",,"11:49 05/09/2022"
"& sons","& Sons",& Synové,,"1",,"11:49 05/09/2022"
"& partners","& Partners",& Partneři,,"1",,"11:49 05/09/2022"
"& associates","& Associates",& Associates,,"1",,"11:49 05/09/2022"
"group","Group",Skupina,,"1",,"11:49 05/09/2022"
"networks","Networks",Stránky,,"1",,"11:49 05/09/2022"
"systems","Systems",Systémy,,"1",,"11:49 05/09/2022"
"clerical","Clerical",Úřednické služby,,"1",,"11:49 05/09/2022"
"solutions","Solutions",Řešení,,"1",,"11:49 05/09/2022"
"management","Management",Řízení,,"1",,"11:49 05/09/2022"
"enterprises","Enterprises",Podniky,,"1",,"11:49 05/09/2022"
"corp","Corp",Corp,,"1",,"11:49 05/09/2022"
"corporation","Korporace",Corporation,,"1",,"11:49 05/09/2022"
"technologies","Technologie",Technologies,,"1",,"11:49 05/09/2022"
"company","Company",Společnost,,"1",,"11:49 05/09/2022"
