"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"park","Park",Park,,"1",,"11:49 05/09/2022"
"meadows","Meadows",Louky,,"1",,"11:49 05/09/2022"
"plaza","Plaza",Plaza,,"1",,"11:49 05/09/2022"
"square park","Square Park",Parkové náměstí,,"1",,"11:49 05/09/2022"
"gardens",,Zahrady,,"1",,"11:49 05/09/2022"
"garden",,Zahrada,,"1",,"11:49 05/09/2022"
"green",,Trávník,,"1",,"11:49 05/09/2022"
"park gardens",,Zahradní parky,,"1",,"11:49 05/09/2022"
