"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"restaurant","Restaurant","Restaurace",,"1",,"11:49 05/09/2022"
"cafe","Cafe","Kavarna",,"1",,"11:49 05/09/2022"
"eatery","Eatery","Jidelna",,"1",,"11:49 05/09/2022"
"kitchen","Kitchen","Kuchyne",,"1",,"11:49 05/09/2022"
"pub","Pub","Hospoda",,"1",,"11:49 05/09/2022"
"diner","Diner","Diner",,"1",,"11:49 05/09/2022"
"tavern","Tavern","Hospoda",,"1",,"11:49 05/09/2022"
"dining room","Dining Room","Jidelna",,"1",,"11:49 05/09/2022"
"cafeteria","Cafeteria","Kavarna",,"1",,"11:49 05/09/2022"
"grill","Grill","Gril",,"1",,"11:49 05/09/2022"
"bar & grill","Bar & Grill","Bar & Grill",,"1",,"11:49 05/09/2022"
"canteen","Canteen","Jidelna",,"1",,"11:49 05/09/2022"
"brasserie","Brasserie","Brasserie",,"1",,"11:49 05/09/2022"
"saloon","Saloon","Salon",,"1",,"11:49 05/09/2022"
"dining hall","Dining Hall","Jidelni hala",,"1",,"11:49 05/09/2022"
"luncheon","Luncheon","Obed",,"1",,"11:49 05/09/2022"
"charcuterie","Charcuterie","Uzenarstvi",,"1",,"11:49 05/09/2022"
