"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"electric","Electric",Elektrický,,"1","Y","11:49 05/09/2022"
"thunder","Thunder",Hrom,,"1","Y","11:49 05/09/2022"
"spark","Spark",Jiskra,,"1",,"11:49 05/09/2022"
"power","Power",Napájení,,"1","Y","11:49 05/09/2022"
"infamous","Infamous",Nechvalně proslulé,,"1",,"11:49 05/09/2022"
"devil","Devil",Ďábel,,"1","Y","11:49 05/09/2022"
"punk","Punk",Punk,,"1",,"11:49 05/09/2022"
"flash","Flash",Flash,,"1",,"11:49 05/09/2022"
"superpower","Superpower",Supervelmoc,,"1",,"11:49 05/09/2022"
"revolver","Revolver",Revolver,,"1",,"11:49 05/09/2022"
"famous","Famous",Slavné,,"1","Y","11:49 05/09/2022"
"brassknuckle","Brassknuckle",Brassknuckle,,"1",,"11:49 05/09/2022"
"radioactive","Radioactive",Radioaktivní,,"1","Y","11:49 05/09/2022"
"angel face","Angel Face",Andělská tvář,,"1",,"11:49 05/09/2022"
"velvet","Velvet",Sametový,,"1",,"11:49 05/09/2022"
"blitzkrieg","Blitzkrieg",Bleskový,,"1",,"11:49 05/09/2022"
"hardcore","Hardcore",Hardcore,,"1","Y","11:49 05/09/2022"
"notorious","Notorious",Pověstný,,"1",,"11:49 05/09/2022"
"rampage","Rampage",Zuřivý,,"1",,"11:49 05/09/2022"
"slam","Slam",Nabourat (en: slam),,"1",,"11:49 05/09/2022"
