"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"iris","Iris",Fialka,"fialova","1","Y","11:49 05/09/2022"
"orchid","Orchid",Orchidej,"fialova","1","Y","11:49 05/09/2022"
"juniper","Juniper",Jalovec,"zelena","1","Y","11:49 05/09/2022"
"sage","Sage",Šalvěj,"zelena","1","Y","11:49 05/09/2022"
"olive","Olive",Olivovník,"zelena","1","Y","11:49 05/09/2022"
"hickory","Hickory",Ořešák,"hneda","1","Y","11:49 05/09/2022"
"rose","Rose",Růže,"cervena","1","Y","11:49 05/09/2022"
"lily","Lily",Lilie,"bila","1","Y","11:49 05/09/2022"
"hyacinth","Hyacinth",Hyacint,"bila","1","Y","11:49 05/09/2022"
"carnation","Carnation",Karafiát,"cervena","1","Y","11:49 05/09/2022"
"daffodil","Daffodil",Narcis,"zluta","1","Y","11:49 05/09/2022"
"marigold","Marigold",Měsíček,"zluta","1","Y","11:49 05/09/2022"
"ivy","Ivy",Břečťan,"zelena","1","Y","11:49 05/09/2022"
"jasmine","Jasmine",Jasmín,"bila","1","Y","11:49 05/09/2022"
"briar","Briar",Vřes,"zelena","1","Y","11:49 05/09/2022"
"lavender","Lavender",Levandule,"fialova","1","Y","11:49 05/09/2022"
"indigo","Indigo",Indigová,"modra","1","Y","11:49 05/09/2022"
"rosemary","Rosemary",Rozmarýn,"zelena","1","Y","11:49 05/09/2022"
