"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"lucky","Lucky",Šťastný,,"1","Y","11:49 05/09/2022"
"lucky cat","Lucky Cat",Šťastná kočka,,"1",,"11:49 05/09/2022"
"wok","Wok",Wok,,"1","Y","11:49 05/09/2022"
"panda","Panda",Panda,,"1",,"11:49 05/09/2022"
"moon","Moon",Měsíc,,"1",,"11:49 05/09/2022"
"jade express","Jade Express",Jade Express,,"1",,"11:49 05/09/2022"
"great moon","Great Moon",Velký měsíc,,"1",,"11:49 05/09/2022"
"lucky bowl","Lucky Bowl",Šťastná miska,,"1",,"11:49 05/09/2022"
"lucky wok","Lucky Wok",Šťastný Wok,,"1",,"11:49 05/09/2022"
"sun hibachi","Sun Hibachi",Slunce Hibachi,,"1",,"11:49 05/09/2022"
"grand star","Grand Star",Velká hvězda,,"1",,"11:49 05/09/2022"
"red dragon","Red Dragon",Červený drak,,"1",,"11:49 05/09/2022"
"dragon","Dragon",Drak,,"1","Y","11:49 05/09/2022"
"saffron","Saffron",Šafrán,,"1","Y","11:49 05/09/2022"
"spice house","Spice House",Dům koření,,"1",,"11:49 05/09/2022"
"yellow dragon","Yellow Dragon",Žlutý drak,,"1",,"11:49 05/09/2022"
"blue dragon","Blue Dragon",Modrý drak,,"1",,"11:49 05/09/2022"
"green dragon","Green Dragon",Zelený drak,,"1",,"11:49 05/09/2022"
"mighty dragon","Mighty Dragon",Mocný drak,,"1",,"11:49 05/09/2022"
"indigo dragon","Indigo Dragon",Indigový drak,,"1",,"11:49 05/09/2022"
"lucky eastern","Lucky Eastern",Šťastný Východ,,"1",,"11:49 05/09/2022"
"bamboo","Bamboo",Bambus,,"1",,"11:49 05/09/2022"
"dynasty","Dynasty",Dynastie,,"1",,"11:49 05/09/2022"
"mandarin chef","Mandarin Chef",Mandarínský šéfkuchař,,"1",,"11:49 05/09/2022"
"flaming wok","Flaming Wok",Plamenící Wok,,"1",,"11:49 05/09/2022"
"lucky broth","Lucky Broth",Šťastný vývar,,"1",,"11:49 05/09/2022"
"palace","Palace",Palác,,"1","Y","11:49 05/09/2022"
"cherry blossom","Cherry Blossom",Třešňový květ,,"1",,"11:49 05/09/2022"
"juniper","Juniper",Jalovec,,"1",,"11:49 05/09/2022"
"eastern spice","Eastern Spice",Východní koření,,"1",,"11:49 05/09/2022"
"aromatic","Aromatic",Aromatické,,"1","Y","11:49 05/09/2022"
"lucky panda","Lucky Panda",Šťastná panda,,"1",,"11:49 05/09/2022"
"lotus flower","Lotus Flower",Lotosový květ,,"1",,"11:49 05/09/2022"
"sapphire lantern","Sapphire Lantern",Safírová lampa,,"1",,"11:49 05/09/2022"
"jade lantern","Jade Lantern",Nefritová lampa,,"1",,"11:49 05/09/2022"
"orange lantern","Orange Lantern",Oranžová lampa,,"1",,"11:49 05/09/2022"
"red lantern","Red Lantern",Červená lampa,,"1",,"11:49 05/09/2022"
"indigo lantern","Indigo Lantern",Indigová lampa,,"1",,"11:49 05/09/2022"
"emperor's","Emperor's",Císařův,,"1","Y","11:49 05/09/2022"
"sun","Sun",Slunce,,"1",,"11:49 05/09/2022"
"rising sun","Rising Sun",Vycházející slunce,,"1",,"11:49 05/09/2022"
"sumo","Sumo",Sumo,,"1",,"11:49 05/09/2022"
"indigo","Indigo",Indigo,,"1","Y","11:49 05/09/2022"
"sweet broth","Sweet Broth",Sladký vývar,,"1",,"11:49 05/09/2022"
"five spice","Five Spice",Pět koření,,"1",,"11:49 05/09/2022"
"lucky chopstick","Lucky Chopstick",Šťastná hůlka,,"1",,"11:49 05/09/2022"
"lucky oyster","Lucky Oyster",Šťastná ústřice,,"1",,"11:49 05/09/2022"
"sake","Sake",Saké,,"1","Y","11:49 05/09/2022"
"soy palace","Soy Palace",Sójový palác,,"1",,"11:49 05/09/2022"
"ginger king","Ginger King",Král zázvoru,,"1",,"11:49 05/09/2022"
"sesame seed","Sesame Seed",Sezamové semínko,,"1",,"11:49 05/09/2022"
"pepper","Pepper",Pepř,,"1","Y","11:49 05/09/2022"
"lucky sesame","Lucky Sesame",Šťastný sezam,,"1",,"11:49 05/09/2022"
"sansho","Sansho",Sansho,,"1",,"11:49 05/09/2022"
"orange blossom","Orange Blossom",Oranžový květ,,"1",,"11:49 05/09/2022"
"ginger","Ginger",Zázvor,,"1","Y","11:49 05/09/2022"
"cassia","Cassia",Kasie,,"1","Y","11:49 05/09/2022"
"sesame","Sesame",Sezam,,"1",,"11:49 05/09/2022"
"kaohsiung","Kaohsiung",Kaohsiung,,"1",,"11:49 05/09/2022"
"lotus","Lotus",Lotos,,"1","Y","11:49 05/09/2022"
"shangqiu","Shangqiu",Shangqiu,,"1","Y","11:49 05/09/2022"
"emerald","Emerald",Smaragd,,"1","Y","11:49 05/09/2022"
"changsha","Changsha",Changsha,,"1","Y","11:49 05/09/2022"
"zhengzhou","Zhengzhou",Zhengzhou,,"1","Y","11:49 05/09/2022"
"nanchang","Nanchang",Nanchang,,"1","Y","11:49 05/09/2022"
"golden","Golden",Zlatý,,"1","Y","11:49 05/09/2022"
