"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"coal*","Coal",Uhlí,,"1","Y","11:49 05/09/2022"
"coal fire*","Coal Fire",Uhelný oheň,,"1","Y","11:49 05/09/2022"
"brothers","Brothers",Bratři,,"1",,"11:49 05/09/2022"
"sisters","Sisters",Sestry,,"1",,"11:49 05/09/2022"
"clove","Clove",Hřebíček,,"1",,"11:49 05/09/2022"
"trinity","Trinity",Trinity,,"1",,"11:49 05/09/2022"
"the plough","The Plough",Pluh,,"1",,"11:49 05/09/2022"
"fat duck","Fat Duck",Tlustá kachna,,"1",,"11:49 05/09/2022"
"midsummer","Midsummer",Midsummer,,"1",,"11:49 05/09/2022"
"sticky*","Sticky",Lepkavé,,"1","Y","11:49 05/09/2022"
"seasons","Seasons",Roční období,,"1",,"11:49 05/09/2022"
"four fields","Four Fields",Čtyři pole,,"1",,"11:49 05/09/2022"
"artichoke","Artichoke",Artyčok,,"1",,"11:49 05/09/2022"
"apple tree","Apple Tree",Jabloň,,"1",,"11:49 05/09/2022"
"savoy*","Savoy",Savoy,,"1","Y","11:49 05/09/2022"
"mushroom","Mushroom",Houba,,"1",,"11:49 05/09/2022"
