"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"greasy","Greasy",Mastný,,"1","Y","11:49 05/09/2022"
"popeye","Popeye",Pepek námořník,,"1",,"11:49 05/09/2022"
"grizzly","Grizzly",Grizzly,,"1","Y","11:49 05/09/2022"
"salt n pepper","Salt N Pepper",Sůl a pepř,,"1",,"11:49 05/09/2022"
"salty","Salty",Slané,,"1","Y","11:49 05/09/2022"
"beefed","Beefed",Zvětšené,,"1",,"11:49 05/09/2022"
"gigantic","Gigantic",Obří,,"1","Y","11:49 05/09/2022"
"butter","Butter",Máslo,,"1","Y","11:49 05/09/2022"
"excess","Excess",Přebytek,,"1","Y","11:49 05/09/2022"
"cheeky","Cheeky",Drzý,,"1","Y","11:49 05/09/2022"
"chomp","Chomp",Chomp,,"1","Y","11:49 05/09/2022"
"glutton","Glutton",Glutton,,"1","Y","11:49 05/09/2022"
"carnivore","Carnivore",Masožravci,,"1",,"11:49 05/09/2022"
"foodbowl","Foodbowl",Jídelní miska,,"1",,"11:49 05/09/2022"
"meatlocker","Meatlocker",Mraznička,,"1",,"11:49 05/09/2022"
"hamshack","Hamshack",Sunkarna,,"1",,"11:49 05/09/2022"
"juggernaut","Juggernaut",Juggernaut,,"1",,"11:49 05/09/2022"
"trucker's","Trucker's",Kamionový,,"1","Y","11:49 05/09/2022"
"ox","Ox",Ox,,"1","Y","11:49 05/09/2022"
"phat","Phat",Phat,,"1","Y","11:49 05/09/2022"
"salt & oil","Salt & Oil",Sůl a olej,,"1",,"11:49 05/09/2022"
"tastehaven","Tastehaven",Chutný ráj,,"1",,"11:49 05/09/2022"
"doublesize","Doublesize",Dvojnásob,,"1","Y","11:49 05/09/2022"
"beefeater","Beefeat",Beefeat,,"1",,"11:49 05/09/2022"
