"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"metal","Metal",Kov,,"1",,"11:49 05/09/2022"
"iron","Iron",Železo,,"1",,"11:49 05/09/2022"
"graphite","Graphite",Grafit,,"1",,"11:49 05/09/2022"
"molten","Molten",Roztavený,,"1",,"11:49 05/09/2022"
"clay","Clay",Hlína,,"1",,"11:49 05/09/2022"
"stone","Stone",Kámen,,"1",,"11:49 05/09/2022"
"duty","Duty",Úkol,,"1",,"11:49 05/09/2022"
"cog","Cog",Kolik,,"1",,"11:49 05/09/2022"
"hammer","Hammer",Kladivo,,"1",,"11:49 05/09/2022"
"rock","Rock",Skala,,"1",,"11:49 05/09/2022"
"steel","Steel",Ocel,,"1",,"11:49 05/09/2022"
"heavy","Heavy",Těžký,,"1",,"11:49 05/09/2022"
"strong","Strong",Silný,,"1",,"11:49 05/09/2022"
"formidable","Formidable",Nepřemožitelný,,"1",,"11:49 05/09/2022"
"igneous","Igneous",Magmatický,,"1",,"11:49 05/09/2022"
"essential","Essential",Nezbytný,,"1",,"11:49 05/09/2022"
"storm","Storm",Bouře,,"1",,"11:49 05/09/2022"
"hardened","Hardened",Vytvrzený,,"1",,"11:49 05/09/2022"
"titanium","Titanium",Titanový,,"1",,"11:49 05/09/2022"
"blacksmith","Blacksmith",Kovář,,"1",,"11:49 05/09/2022"
"anvil","Anvil",Kovadlina,,"1",,"11:49 05/09/2022"
