"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"goldwright*","Goldwright",Goldwright,,"1","Y","11:49 05/09/2022"
"sapphero*","Sapphero",Sapphero,,"1","Y","11:49 05/09/2022"
"kingsmarque*","Kingsmarque",Kingsmarque,,"1","Y","11:49 05/09/2022"
"goldbourne*","Goldbourne",Goldbourne,,"1","Y","11:49 05/09/2022"
"kingsforth*","Kingsforth",Kingsforth,,"1","Y","11:49 05/09/2022"
"queensworth*","Queensworth",Queensworth,,"1","Y","11:49 05/09/2022"
"blancora*","Blancora",Blancora,,"1","Y","11:49 05/09/2022"
"queensmount*","Queensmount",Queensmount,,"1","Y","11:49 05/09/2022"
"wrenworthy*","Wrenworthy",Hodný,,"1","Y","11:49 05/09/2022"
"elegance*","Elegance",Elegance,,"1","Y","11:49 05/09/2022"
"eleganza*","Eleganza",Eleganza,,"1","Y","11:49 05/09/2022"
"kew*","Kew",Kew,,"1","Y","11:49 05/09/2022"
"albion*","Albion",Albion,,"1","Y","11:49 05/09/2022"
"henleywood*","Henleywood",Henleywood,,"1","Y","11:49 05/09/2022"
"goldmeads*","Goldmeads",Goldmeads,,"1","Y","11:49 05/09/2022"
"lexingham*","Lexingham",Lexingham,,"1","Y","11:49 05/09/2022"
"royal bourne*","Royal Bourne",Royal Bourne,,"1","Y","11:49 05/09/2022"
"marquet*","Marquet",Marquet,,"1","Y","11:49 05/09/2022"
"elamo*","Elamo",Elamo,,"1","Y","11:49 05/09/2022"
"lux bunny*","Lux Bunny",Lux Bunny,,"1","Y","11:49 05/09/2022"
"adore*","Adore",Adore,,"1","Y","11:49 05/09/2022"
"sapphire*","Sapphire",Safír,,"1","Y","11:49 05/09/2022"
"diamond*","Diamond",Diamant,,"1","Y","11:49 05/09/2022"
"petal*","Petal",Okvětní lístek,,"1","Y","11:49 05/09/2022"
"willow*","Willow",Vrba,,"1","Y","11:49 05/09/2022"
"forte*","Forte",Forte,,"1","Y","11:49 05/09/2022"
"angelwings*","Angelwings",Angelwings,,"1","Y","11:49 05/09/2022"
"heirloom*","Heirloom",Dědictví,,"1","Y","11:49 05/09/2022"
"jubilee*","Jubilee",Jubileum,,"1","Y","11:49 05/09/2022"
"lagoon*","Lagoon",Laguna,,"1","Y","11:49 05/09/2022"
"elysium*","Elysium",Elysium,,"1","Y","11:49 05/09/2022"
"azure*","Azure",Blankyt,,"1","Y","11:49 05/09/2022"
"augustus*","Augustus",Augustus,,"1","Y","11:49 05/09/2022"
"aurora*","Aurora",Aurora,,"1","Y","11:49 05/09/2022"
