"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"flamingo","Flamingo","Plamenak",,"1",,"11:49 05/09/2022"
"secret","Secret","Tajne",,"1",,"11:49 05/09/2022"
"sweetwater","Sweetwater","Sweetwater",,"1",,"11:49 05/09/2022"
"eclipse","Eclipse","Zatmeni",,"1",,"11:49 05/09/2022"
"midnight","Midnight","Pulnoc",,"1",,"11:49 05/09/2022"
"silver tongue","Silver Tongue","Stribrny jazyk",,"1",,"11:49 05/09/2022"
"alchemist","Alchemist","Alchymista",,"1",,"11:49 05/09/2022"
"bootleg","Bootleg","Bootleg",,"1",,"11:49 05/09/2022"
"expedition","Expedition","Expedice",,"1",,"11:49 05/09/2022"
"sepia","Sepia","Sepie",,"1",,"11:49 05/09/2022"
"trinket","Trinket","Drobnosti",,"1",,"11:49 05/09/2022"
"champion","Champion","Sampion",,"1",,"11:49 05/09/2022"
"ivy","Ivy","Brectan",,"1",,"11:49 05/09/2022"
"poison","Poison","Jed",,"1",,"11:49 05/09/2022"
"crown","Crown","Koruna",,"1",,"11:49 05/09/2022"
"lion","Lion","Lev",,"1",,"11:49 05/09/2022"
"century","Century","Stoleti",,"1",,"11:49 05/09/2022"
"tempest","Tempest","Boure",,"1",,"11:49 05/09/2022"
"vault","Vault","Trezor",,"1",,"11:49 05/09/2022"
"gentleman","Gentleman","Gentleman",,"1",,"11:49 05/09/2022"
"marigold","Marigold","Mesicek lekarsky",,"1",,"11:49 05/09/2022"
"whet whistle","Whet Whistle","Pistalka Whet",,"1",,"11:49 05/09/2022"
"maple","Maple","Javor",,"1","Y","11:49 05/09/2022"
"discovery","Discovery","Objev",,"1",,"11:49 05/09/2022"
"seahorse","Seahorse","Morsky konik",,"1",,"11:49 05/09/2022"
"oceanic","Oceanic","Oceanske",,"1",,"11:49 05/09/2022"
"titanic","Titanic","Titanic",,"1",,"11:49 05/09/2022"
"succubus","Succubus","Succubus",,"1",,"11:49 05/09/2022"
"shanty","Shanty","Chatrc",,"1",,"11:49 05/09/2022"
"escapade","Escapade","Husarsky (en: escapade)",,"1",,"11:49 05/09/2022"
"love","Love","Laska",,"1","Y","11:49 05/09/2022"
"lusty","Lusty","Chtivy",,"1","Y","11:49 05/09/2022"
"magic","Magic","Kouzelny",,"1","Y","11:49 05/09/2022"
