"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"actor","Actor","Herec",,"7",,"11:49 05/09/2022"
"king","King","Kral",,"9",,"11:49 05/09/2022"
"queen","Queen","Kralovna",,"9",,"11:49 05/09/2022"
"actress","Actress","Herecka",,"7",,"11:49 05/09/2022"
"banker","Banker","Banker",,"5",,"11:49 05/09/2022"
"coach","Coach","Trener",,"3",,"11:49 05/09/2022"
"farmer","Farmer","Farmar",,"4",,"11:49 05/09/2022"
"pilot","Pilot","Pilot",,"5",,"11:49 05/09/2022"
"captain","Captain","Kapitan",,"9",,"11:49 05/09/2022"
"admiral","Admiral","Admiral",,"9",,"11:49 05/09/2022"
"singer","Singer","Zpevak",,"7",,"11:49 05/09/2022"
"artist","Artist","Umelec",,"7",,"11:49 05/09/2022"
"prince","Prince","Princ",,"8",,"11:49 05/09/2022"
"princess","Princess","Princezna",,"8",,"11:49 05/09/2022"
"explorer","Explorer","Pruzkumnik",,"9",,"11:49 05/09/2022"
"laborer","Laborer","Delnik",,"5",,"11:49 05/09/2022"
"author","Author","Autor",,"6",,"11:49 05/09/2022"
"writer","Writer","Spisovatel",,"7",,"11:49 05/09/2022"
"novelist","Novelist","Rimsky",,"7",,"11:49 05/09/2022"
"director","Director","Reditel",,"7",,"11:49 05/09/2022"
"judge","Judge","Soudce",,"5",,"11:49 05/09/2022"
"model","Model","Model",,"3",,"11:49 05/09/2022"
"solider","Soldier","Vojak",,"7",,"11:49 05/09/2022"
"volunteer","Volunteer","Dobrovolnik",,"9",,"11:49 05/09/2022"
"navigator","Navigator","Navigator",,"8",,"11:49 05/09/2022"
"groundskeeper","Groundskeeper","Spravce pozemku",,"3",,"11:49 05/09/2022"
"mutineer","Mutineer","Vzbourenec",,"5",,"11:49 05/09/2022"
"pirate","Pirate","Pirat",,"5",,"11:49 05/09/2022"
"samurai","Samurai","Samuraj",,"5",,"11:49 05/09/2022"
"pioneer","Pioneer","Pioneer",,"6",,"11:49 05/09/2022"
"sailor","Sailor","Namornik",,"6",,"11:49 05/09/2022"
"prisoner","Prisoner","Vezen",,"5",,"11:49 05/09/2022"
"siren","Siren","Sirena",,"6",,"11:49 05/09/2022"
"bartender","Bartender","Vycepni",,"3",,"11:49 05/09/2022"
"merchant","Merchant","Obchodnik",,"7",,"11:49 05/09/2022"
"lothario","Lothario","Svudnik",,"5",,"11:49 05/09/2022"
"devil","Devil","Dabel",,"6",,"11:49 05/09/2022"
"ninja","Ninja","Ninja",,"4",,"11:49 05/09/2022"
