"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"3b6a7426-f020-419e-b3ee-faffb3c87d22","Lousy weather","Spatne pocasi",,,,"11:07 05/09/2022"
"18a97e51-2656-43ee-bfcb-eb6036f444ae","Sure not a day to be outdoors","Urcite to neni den pro pobyt venku.",,,,"11:07 05/09/2022"
"d44f44c2-e581-4ff3-bb15-0331643ebc65","Crazy out here today","Dnes je tu blazinec",,,,"11:07 05/09/2022"
"2942e651-899f-447c-aff0-f49339fc8ec0","That ain't letting up anytime soon","To v nejblizsi dobe nepolevi.",,,,"11:07 05/09/2022"
"f19e431b-0dda-444a-809b-73d5c29219d2","Nice day for a swim |receiver.relnoun|?","Pekny den na koupani |receiver.relnoun|?",,,,"11:07 05/09/2022"
"e00cd74a-da2b-4db1-a50e-3b60f4d59959","Rain, rain, go away","Dest, dest, odejdi",,,,"11:07 05/09/2022"
"81ef6279-364a-48a3-a643-8930eddd7618","Holes in my damn shoes","Diry v mych zatracenych botach",,,,"11:07 05/09/2022"
"9f54c363-3621-459a-879e-b6978d406636","Gimme a minute, will ya?","Dej mi chvilku, ano?",,,,"11:07 05/09/2022"
"9d3196f7-68dc-4e27-9ce1-0e8ce00a2404","Lousy service","Mizerny servis",,,,"11:07 05/09/2022"
"085fa3e6-7c36-4afe-992c-235609a6dcfc","Hey, I made an order half an hour ago","Ahoj, pred pul hodinou jsem udelal objednavku.",,,,"11:07 05/09/2022"
"1ac7b7e1-7c8b-4925-beaf-6880028495e0","Get a new sign already","Poridte si uz novou ceduli",,,,"11:07 05/09/2022"
"b5dbb4fc-751b-4f5c-bc46-57405364a7bb","Hey |receiver.relnoun|","Ahoj |receiver.relnoun|",,,,"11:07 05/09/2022"
"b9597673-0aa6-49b5-9aea-0101ca2d260a","Goddamn sync junkies","Zatraceni fetaci na sync",,,,"11:07 05/09/2022"
"f489ce8d-98bc-4557-8226-813ee8f5be32","I swear this city gets worse every day","Prisaham, ze tohle mesto je den ode dne horsi",,,,"11:07 05/09/2022"
"193eaf4c-d0b1-41b4-80c0-15efb6d4ad08","I’m not paid enough for this","Nejsem za to dostatecne placeny",,,,"11:07 05/09/2022"
"fecd4259-09ab-4f45-b122-9fd62b03665a","|City.time.timeofday|","|City.time.timeofday|",,,,"11:07 05/09/2022"
"be336816-5351-4ee4-8c02-9ec16fe473fb","Hey |receiver.casualname| |receiver.relnoun|","Hej |receiver.casualname| |receiver.relnoun|",,,,"11:07 05/09/2022"
"12b92b94-ee64-403c-96df-12db3959ab94","|City.time.timeofday| |receiver.casualname| |receiver.relnoun|","|City.time.timeofday| |receiver.casualname| |receiver.relnoun|",,,,"11:07 05/09/2022"
"c07de1e0-6808-432d-9cd3-7373f3e1a5f4","Hey |receiver.casualname|","Ahoj |receiver.casualname|",,,,"11:07 05/09/2022"
"4d42bd7c-e455-4810-a219-52e4feba0826","|City.time.timeofday| |receiver.relnoun|","|City.time.timeofday| |receiver.relnoun|",,,,"11:07 05/09/2022"
"4318650a-5ef8-459f-96d0-5009fa7c775c","Good |City.time.timeofday|","Dobry |City.time.timeofday|",,,,"11:07 05/09/2022"
"d629324e-4de9-4270-a112-30bdac4818d0","What the hell you doing in here?","Co tady sakra delas?",,,,"11:07 05/09/2022"
"afe6c898-9d83-4805-90c4-16c0f4772a9b","|Other.relnoun| you're not allowed here!","|Other.relnoun| sem nesmite!",,,,"11:07 05/09/2022"
"4fbbe811-d310-4d91-bd3e-73818e85a4b9","Get out you |curse| idiot!","Vypadni, ty |curse| idiote!",,,,"11:07 05/09/2022"
"aa49b38d-e72e-41c2-81e2-80b96170f341","Welcome to |job.employer.name|","Vitejte v |job.employer.name|",,,,"11:07 05/09/2022"
"79dc1a60-714d-4226-a83e-84c01f4e6b21","This is |job.employer.name|","To je |job.employer.name|",,,,"11:07 05/09/2022"
"07dac55c-49f9-43cd-b6a0-39afdb422a6c","I'm |casualname| from |job.employer.name|","Jsem |casualname| z |job.employer.name|",,,,"11:07 05/09/2022"
"4ec1faff-7524-4edc-93a6-9bb850019dbf","How can I help you?","Jak vam mohu pomoci?",,,,"11:07 05/09/2022"
"ab542639-5ad7-4a1b-a8ae-8414394274d1","How can I help you this |city.time.timeofday|?","Jak vam mohu pomoci |city.time.timeofday|?",,,,"11:07 05/09/2022"
"03e5f29c-ac1e-404d-893c-82d0e7549144","What do you want?","Co chcete?",,,,"11:07 05/09/2022"
"402d8851-abca-414b-9d8e-ba86121f7863","Yes?","Ano?",,,,"11:07 05/09/2022"
