"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"lobby","lobby",hala,,,,"11:49 05/09/2022"
"ground floor","ground floor",přízemí,,,,"11:49 05/09/2022"
"floor landing","floor landing",podlaží,,,,"11:49 05/09/2022"
"jobposting","Job Posting",Vyhlášení výběrového řízení,,,,"11:49 05/09/2022"
"postedby","posted by",odesláno uživatelem,,,,"11:49 05/09/2022"
"isperpetrator","is perpetrator of",je pachatelem,,,,"11:49 05/09/2022"
"street","street",ulice,,,,"11:49 05/09/2022"
"residence","residence",rezidence,,,,"11:49 05/09/2022"
"landing","landing",přistání,,,,"11:49 05/09/2022"
"key","Key",Klíč,,,,"11:49 05/09/2022"
"birthday","born on",narozený dne,,,,"11:49 05/09/2022"
"age","age",věk,,,,"11:49 05/09/2022"
"belongsto","belongs to",patří do,,,,"11:49 05/09/2022"
"sentby","sent by",zaslaný,,,,"11:49 05/09/2022"
"located in the","located in the",nacházející se v,,,,"11:49 05/09/2022"
"building","building",budova,,,,"11:49 05/09/2022"
"menu","Menu",Nabídka,,,,"11:49 05/09/2022"
"worksat","works at",pracuje v,,,,"11:49 05/09/2022"
"as a","as a",jako,,,,"11:49 05/09/2022"
"livesat","lives at",žije na adrese,,,,"11:49 05/09/2022"
"locatedat","located at",se nachází na adrese,,,,"11:49 05/09/2022"
"for","for",pro,,,,"11:49 05/09/2022"
"workshours","works hours",pracovní doba,,,,"11:49 05/09/2022"
"unknown","Unknown",Neznámý,,,,"11:49 05/09/2022"
"citizen","citizen",občan,,,,"11:49 05/09/2022"
"purchasedat","purchased at",zakoupené v,,,,"11:49 05/09/2022"
"foundat","found at",najdete na adrese,,,,"11:49 05/09/2022"
"deceased","Deceased",Zemřela,,,,"11:49 05/09/2022"
"paid by","paid by",vyplácí,,,,"11:49 05/09/2022"
"purchasedby","purchased by",zakoupené společností,,,,"11:49 05/09/2022"
"purchased","purchased",zakoupeno,,,,"11:49 05/09/2022"
"at","at",na adrese,,,,"11:49 05/09/2022"
"matches","matches",odpovídá,,,,"11:49 05/09/2022"
"friend","friend",přítel,,,,"11:49 05/09/2022"
"birthdaycard","Birthday Card",Narozeninové přání,,,,"11:49 05/09/2022"
"workteam","works with",pracuje s,,,,"11:49 05/09/2022"
"lover","lover of",milovník,,,,"11:49 05/09/2022"
"workother","works with",pracuje s,,,,"11:49 05/09/2022"
"isfriendswith","is friends with",se přátelí s,,,,"11:49 05/09/2022"
"familiarwork","works with",pracuje s,,,,"11:49 05/09/2022"
"neighbor","neighbour of",souseda,,,,"11:49 05/09/2022"
"purchasedtime","purchased between",zakoupené mezi,,,,"11:49 05/09/2022"
"soldat","sold at",prodává se v,,,,"11:49 05/09/2022"
"open","Open",Otevřít,,,,"11:49 05/09/2022"
"every day","every day",každý den,,,,"11:49 05/09/2022"
"vacant","Vacant",Volné místo,,,,"11:49 05/09/2022"
"businessbackroom","Backroom Office",Kancelář Backroom,,,,"11:49 05/09/2022"
"office","Office",Kancelář,,,,"11:49 05/09/2022"
"eaterykitchen","Kitchen",Kuchyně,,,,"11:49 05/09/2022"
"customlink","Created Link",Vytvořený odkaz,,,,"11:49 05/09/2022"
"photoof",,z,,,,"11:49 05/09/2022"
"photograph","Photograph",Fotografie,,,,"11:49 05/09/2022"
"workswith","works with",pracuje s,,,,"11:49 05/09/2022"
"containspassword","contains password",obsahuje heslo,,,,"11:49 05/09/2022"
"makesreferenceto","makes reference to",odkazuje na,,,,"11:49 05/09/2022"
"string_autofact","[Automatically Created]",[Automaticky vytvořeno],,,,"11:49 05/09/2022"
"string_customfact","[Player-Created]",[Vytvořeno hráči],,,,"11:49 05/09/2022"
"food","Food",Potraviny,,,,"11:49 05/09/2022"
"24 hours","24 hours",24 hodin,,,,"11:49 05/09/2022"
"snacks","Snacks",Občerstvení,,,,"11:49 05/09/2022"
"drink","Drink",Nápoj,,,,"11:49 05/09/2022"
"foundon","found on",nalezené na,,,,"11:49 05/09/2022"
"isinrelationshipwith","in relationship with",ve vztahu k,,,,"11:49 05/09/2022"
"referencedin","referenced in",na které se odkazuje v,,,,"11:49 05/09/2022"
"boundary","boundary",hranice,,,,"11:49 05/09/2022"
"park","park",park,,,,"11:49 05/09/2022"
"commerical","commercial",komerční,,,,"11:49 05/09/2022"
"industrial","industrial",průmyslové,,,,"11:49 05/09/2022"
"residential","residential",rezidenční,,,,"11:49 05/09/2022"
"familiarresidence","neighbour of",souseda,,,,"11:49 05/09/2022"
"set","Set",Sada,,,,"11:49 05/09/2022"
"fingerprintbelongsto","belongs to",patří do,,,,"11:49 05/09/2022"
