"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","—","—","—"
"citizen","Citizen",Občan,,,,"11:49 05/09/2022"
"lightswitch","Light Switch",Spínač světla,,,,"11:49 05/09/2022"
"door","Door",Dveře,,,,"11:49 05/09/2022"
"doorhandle","Door Handle",Dveřní klika,,,,"11:49 05/09/2022"
"building","building",budova,,,,"11:49 05/09/2022"
"location","location",umístění,,,,"11:49 05/09/2022"
"buildingdirectory","Building Directory",Adresář budov,,,,"11:49 05/09/2022"
"employeedirectory","Employee Directory",Adresář zaměstnanců,,,,"11:49 05/09/2022"
"citydirectory","City Directory",Adresář měst,,,,"11:49 05/09/2022"
"ceilingbulb","Ceiling Light",Stropní světlo,,,,"11:49 05/09/2022"
"1930sceilinglight","Ceiling Light",Stropní světlo,,,,"11:49 05/09/2022"
"doorunderneathpeek","Peek Under Door",Nahlédnutí pod dveře,,,,"11:49 05/09/2022"
"television","Television",Televize,,,,"11:49 05/09/2022"
"fridge","Fridge",Lednice,,,,"11:49 05/09/2022"
"chair","Chair",Židle,,,,"11:49 05/09/2022"
"toilet","Toilet",Toaleta,,,,"11:49 05/09/2022"
"bed","Bed",Postel,,,,"11:49 05/09/2022"
"shopcounter","Counter",Přepážka,,,,"11:49 05/09/2022"
"drawera","Drawer",Zásuvka,,,,"11:49 05/09/2022"
"drawerb","Drawer",Zásuvka,,,,"11:49 05/09/2022"
"bedsidelamp","Lamp",Lampa,,,,"11:49 05/09/2022"
"key","Key",Klíč,,,,"11:49 05/09/2022"
"residentscontract","Tenancy Agreement",Nájemní smlouva,,,,"11:49 05/09/2022"
"jobnote","Job Listing",Výpis pracovních nabídek,,,,"11:49 05/09/2022"
"companyroster","Employee Details",Podrobnosti o zaměstnancích,,,,"11:49 05/09/2022"
"tradingcard","Trading Card",Obchodní karta,,,,"11:49 05/09/2022"
"lockera","Locker",Skříňka,,,,"11:49 05/09/2022"
"lockerb","Locker",Skříňka,,,,"11:49 05/09/2022"
"lockerc","Locker",Skříňka,,,,"11:49 05/09/2022"
"lockerd","Locker",Skříňka,,,,"11:49 05/09/2022"
"lockere","Locker",Skříňka,,,,"11:49 05/09/2022"
"lockerf","Locker",Skříňka,,,,"11:49 05/09/2022"
"countera","Cupboard",Skříň,,,,"11:49 05/09/2022"
"counterb","Cupboard",Skříň,,,,"11:49 05/09/2022"
"counterc","Cupboard",Skříň,,,,"11:49 05/09/2022"
"counterd","Cupboard",Skříň,,,,"11:49 05/09/2022"
"drawerc","Drawer",Zásuvka,,,,"11:49 05/09/2022"
"tapa","Tap",Klepněte na,,,,"11:49 05/09/2022"
"tapb","Tap",Klepněte na,,,,"11:49 05/09/2022"
"tapf","Tap",Klepněte na,,,,"11:49 05/09/2022"
"tapg","Tap",Klepněte na,,,,"11:49 05/09/2022"
"businesscard","Business Card",Vizitka,,,,"11:49 05/09/2022"
"photo","Photo",Foto,,,,"11:49 05/09/2022"
"drawerd","Drawer",Zásuvka,,,,"11:49 05/09/2022"
"drawere","Drawer",Zásuvka,,,,"11:49 05/09/2022"
"hidingplace","Hiding Place",Ukryt,,,,"11:49 05/09/2022"
"nameplacard","Name Placard",Jmenovka,,,,"11:49 05/09/2022"
"desklamp","Desk Lamp",Stolní lampa,,,,"11:49 05/09/2022"
"microcruncher","Micro Cruncher",Micro Cruncher,,,,"11:49 05/09/2022"
"airvent","Air Vent",Vzduchový ventilátor,,,,"11:49 05/09/2022"
"cabineta","Cabinet",Kabinet,,,,"11:49 05/09/2022"
"shopcounterwork","Shop Counter",Prodejní pult,,,,"11:49 05/09/2022"
"shopcounterbuy","Shop Counter",Prodejní pult,,,,"11:49 05/09/2022"
"birthdaycard","Birthday Card",Narozeninové přání,,,,"11:49 05/09/2022"
"keypad","Keypad",Klávesnice,,,,"11:49 05/09/2022"
"officecubicle","Office Cubicle",Kancelářská koje,,,,"11:49 05/09/2022"
"menu","Menu",Nabídka,,,,"11:49 05/09/2022"
"jobposting","Job Posting",Vyhlášení výběrového řízení,,,,"11:49 05/09/2022"
"photograph","Photograph",Fotografie,,,,"11:49 05/09/2022"
"calendar","Calendar",Kalendář,,,,"11:49 05/09/2022"
"ovena","Oven",Trouba,,,,"11:49 05/09/2022"
"pinnednote","Note",Poznámka,,,,"11:49 05/09/2022"
"doormata","Door Mat",Rohožka,,,,"11:49 05/09/2022"
"playerbedsleepb","Bed",Postel,,,,"11:49 05/09/2022"
"playerbedsleepc","Bed",Postel,,,,"11:49 05/09/2022"
"vintagetelephone","Telephone",Telefon,,,,"11:49 05/09/2022"
