"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","-","-","— ","—","—"
"createcustomstring","New Custom Connection...",Nové vlastní pripojeni...,,,,"11:49 05/09/2022"
"unpin","Unpin",Odpojení,,,,"11:49 05/09/2022"
"openevidence","Open Evidence",Otevřené důkazy,,,,"11:49 05/09/2022"
"renamecustomlink","Rename Custom Connection...",Přejmenování vlastního pripojeni...,,,,"11:49 05/09/2022"
"removecustomlink","Remove Custom Connection",Odstranění vlastního připojení,,,,"11:49 05/09/2022"
"togglecrossedout","Toggle Cross-Out",Přepínání Cross-Out,,,,"11:49 05/09/2022"
"plotroute","Plot Route",Trasa pozemku,,,,"11:49 05/09/2022"
"cancelroute","Cancel Route",Zrušit trasu,,,,"11:49 05/09/2022"
"minimizeall","Minimize All",Minimalizovat vše,,,,"11:49 05/09/2022"
"debugaccess","Debug Access",Přístup k ladění,,,,"11:49 05/09/2022"
"rename","Rename...",Přejmenování...,,,,"11:49 05/09/2022"
"pinalllinks","Pin All Connections",Připojení všech kolíků,,,,"11:49 05/09/2022"
"unpinalllinks","Unpin All Connections",Odpojení všech připojení,,,,"11:49 05/09/2022"
"newstickynote","New Sticky Note...",Nová samolepící poznámka...,,,,"11:49 05/09/2022"
"locateonmap","Locate On Map",Vyhledat na mapě,,,,"11:49 05/09/2022"
"togglecollapse","Toggle Collapse",Sbalit/rozbalit,,,,"11:49 05/09/2022"
"hide","Hide",Schovat,,,,"11:49 05/09/2022"
"cancel","Cancel",Zrušit,,,,"11:49 05/09/2022"
"autotravel",,Rychlé cestování,,,,"11:48 06/02/2024"
