"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"interaction","Interaction",Interakce,,,,"11:49 05/09/2022"
"movement","Movement",Pohyb,,,,"11:49 05/09/2022"
"evidence","Evidence",Důkazy,,,,"11:49 05/09/2022"
"caseboard","Case Board",Případová komise,,,,"11:49 05/09/2022"
"citydirectory","City Directory",Adresář měst,,,,"11:49 05/09/2022"
"map","Map",Mapa,,,,"11:49 05/09/2022"
"doors","Doors",Dveře,,,,"11:49 05/09/2022"
"passwords","Passcodes",Přístupové kódy,,,,"11:49 05/09/2022"
"passingtime","Passing Time",Uplynulý čas,,,,"11:49 05/09/2022"
"playerapartment","Player Apartment",Hráčský apartmán,,,,"11:49 05/09/2022"
"citizens","Citizens",Občané,,,,"11:49 05/09/2022"
"lockpicking","Lock-picking",Prolamování zámku,,,,"11:49 05/09/2022"
"barging","Barging",Barazovani,,,,"11:49 05/09/2022"
"airducts","Air Ducts",Vzduchovody,,,,"11:49 05/09/2022"
"stealth","Stealth",Stealth,,,,"11:49 05/09/2022"
"combat","Combat",Bojové,,,,"11:49 05/09/2022"
"felonies","Felonies",Trestné činy,,,,"11:49 05/09/2022"
"alarms","Alarms & Security",Alarmy a zabezpečení,,,,"11:49 05/09/2022"
"money","Money",Peníze,,,,"11:49 05/09/2022"
"upgrades","Upgrades",Upgrady,,,,"11:49 05/09/2022"
"telephones","Telephones",Telefony,,,,"11:49 05/09/2022"
"computers","Crunchers",Crunchers,,,,"11:49 05/09/2022"
"fingerprints","Fingerprints",Otisky prstů,,,,"11:49 05/09/2022"
"footprints","Footprints",Stopy,,,,"11:49 05/09/2022"
"spatter","Spatter",Rozstřik,,,,"11:49 05/09/2022"
"shells","Murder Weapons",Vražedné zbraně,,,,"11:49 05/09/2022"
"dialogue","Dialogue",Dialog,,,,"11:49 05/09/2022"
"phones","Telephones",Telefony,,,,"11:49 05/09/2022"
"inventory","Inventory",Inventura,,,,"11:49 05/09/2022"
"statuses","Statuses",Statuty,,,,"11:49 05/09/2022"
"enforcers","Enforcers",Vymahači,,,,"11:49 05/09/2022"
"surveillance","Surveillance",Dohled,,,,"11:49 05/09/2022"
"historyheader","This section archives everything that's public knowledge, or that you've looked at or investigated. Memory for places and citizens are infinite, but only the last 40 objects are recollect-able.","V této části se archivuje vše, co je veřejně známé nebo co jste si prohlédli či prozkoumali. Paměť na místa a občany je nekonečná, ale vzpomínat lze pouze na posledních 40 objektů.",,,,"11:49 05/09/2022"
"passcodesheader","This section archives all discovered passcodes.",V této části jsou archivovány všechny nalezené přístupové kódy.,,,,"11:49 05/09/2022"
"phonenumbersheader","This section archives all discovered phone numbers.",V této části jsou archivována všechna nalezená telefonní čísla.,,,,"11:49 05/09/2022"
"contentsheader","This section details standard detective operating procedure on a variety of topics.",V této části jsou podrobně popsány standardní detektivní operační postupy týkající se různých témat.,,,,"11:49 05/09/2022"
"ko","Incapacitation",Zneškodnění,,,,"11:49 05/09/2022"
"murders","Murders/Crime Scenes",Vraždy / místa činu,,,,"11:49 05/09/2022"
"sidejobs","Side Jobs",Vedlejší práce,,,,"11:49 05/09/2022"
"socialcredit","Social Credit",Sociální úvěr,,,,"11:49 05/09/2022"
"breakingandentering","Breaking & Entering",Vloupání a vniknutí,,,,"14:56 31/10/2022"
"commercialproperty","Commercial Property",Komerční nemovitosti,,,,"14:56 31/10/2022"
"escaping","Escaping",Utek z,,,,"14:56 31/10/2022"
"custom_stealthcombat","Stealth & Combat",Stealth a boj,,,,"15:36 02/11/2022"
"arresting","Arresting",Zatčení,,,,"11:57 07/03/2023"
