"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"open","Open",Otevřít,,,,"11:49 05/09/2022"
"close","Close",Zavřít,,,,"11:49 05/09/2022"
"turn on","Turn on",Zapnout,,,,"11:49 05/09/2022"
"turn off","Turn off",Vypnout,,,,"11:49 05/09/2022"
"lock","Lock",Zámek,,,,"11:49 05/09/2022"
"unlock","Unlock",Odemknutí stránky,,,,"11:49 05/09/2022"
"interact","Interact",Interakce,,,,"11:49 05/09/2022"
"button","Button",Tlačítko,,,,"11:49 05/09/2022"
"inspect","Inspect",Prozkoumat,,,,"11:49 05/09/2022"
"pick up","Pick Up",Sebrat,,,,"11:49 05/09/2022"
"case file","Case File",Soubor případů,,,,"11:49 05/09/2022"
"knock","Knock",Zaťukat,,,,"11:49 05/09/2022"
"lockpick","Lock-pick",Lock-pick,,,,"11:49 05/09/2022"
"access","Access",Přístup na,,,,"11:49 05/09/2022"
"read","Read",Přečtěte si,,,,"11:49 05/09/2022"
"peek","Peek",Podívat se,,,,"11:49 05/09/2022"
"return","Return",Návrat na,,,,"11:49 05/09/2022"
"lockpicking","Lock-picking",Prolamování zámku,,,,"11:49 05/09/2022"
"evasion","Evasion",Vyhýbání se,,,,"11:49 05/09/2022"
"evade","Evade",Vyhnout se,,,,"11:49 05/09/2022"
"punch","Punch",Zmlátit,,,,"11:49 05/09/2022"
"take","Take",Vzít,,,,"11:49 05/09/2022"
"talk to","Talk To",Promluvte si s,,,,"11:49 05/09/2022"
"say","Say",Řekněte,,,,"11:49 05/09/2022"
"view file...","View File...",Zobrazit soubor...,,,,"11:49 05/09/2022"
"flush","Flush",Splachování,,,,"11:49 05/09/2022"
"hide","Hide",Skryt,,,,"11:49 05/09/2022"
"crawl into","Crawl Into",Vlézt do,,,,"11:49 05/09/2022"
"go through","Go Through",Projít,,,,"11:49 05/09/2022"
"use","Use",Použijte,,,,"11:49 05/09/2022"
"arm","Arm",Rameno,,,,"11:49 05/09/2022"
"reivew job","Review Job",Recenze práce,,,,"11:49 05/09/2022"
"previous month","Previous Month",Předchozí měsíc,,,,"11:49 05/09/2022"
"next month","Next Month",Příští měsíc,,,,"11:49 05/09/2022"
"review job","Review Job",Recenze práce,,,,"11:49 05/09/2022"
"look underneath","Look Underneath",Podívejte se pod něj,,,,"11:49 05/09/2022"
"put back","Put Back",Vrátit zpět,,,,"11:49 05/09/2022"
"sleep","Sleep",Spánek,,,,"11:49 05/09/2022"
"get up","Get Up",Vstávejte,,,,"11:49 05/09/2022"
"answer","Answer",Odpověď,,,,"11:49 05/09/2022"
"end call","End Call",Ukončení hovoru,,,,"11:49 05/09/2022"
"get in","Get In",Vstupte,,,,"11:49 05/09/2022"
"enter","Enter",Vstupte na,,,,"11:49 05/09/2022"
"put down","Put Down",Odložit,,,,"11:49 05/09/2022"
"throw","Throw",Hodit,,,,"11:49 05/09/2022"
"sit down","Sit Down",Posaďte se,,,,"11:49 05/09/2022"
"take (lockpick)","Take (Lock-pick)",Vzít (Lock-pick),,,,"11:49 05/09/2022"
"call","Call",Volejte,,,,"11:49 05/09/2022"
"cancel","Cancel",Zrušit,,,,"11:49 05/09/2022"
"set alarm (sleep)","Set Alarm (Sleep)",Nastavení budíku (spánek),,,,"11:49 05/09/2022"
"set hours/minutes","Set Hours/Minutes",Nastavení hodin/minut,,,,"11:49 05/09/2022"
"pass time","Pass Time",Pass Time,,,,"11:49 05/09/2022"
"set alarm (pass time)","Set Alarm (Pass Time)",Nastavení budíku (Pass Time),,,,"11:49 05/09/2022"
"scoot","Scoot",Scoot,,,,"11:49 05/09/2022"
"time forward","Time Forward",Čas dopředu,,,,"11:49 05/09/2022"
"time back","Time Back",Čas zpět,,,,"11:49 05/09/2022"
"barge","Barge",Barka,,,,"11:49 05/09/2022"
"counter","Counter",Skříňka,,,,"11:49 05/09/2022"
"jump","Jump",Skok,,,,"11:49 05/09/2022"
"crouch","Crouch",Přikrčit,,,,"11:49 05/09/2022"
"sprint","Sprint",Sprint,,,,"11:49 05/09/2022"
"flashlight","Flashlight",Svítilna,,,,"11:49 05/09/2022"
"scroll","Scroll/Context Menu",Posouvani/kontextova nabídka,,,,"11:49 05/09/2022"
"zoom in","Zoom In",Přiblížení,,,,"11:49 05/09/2022"
"zoom out","Zoom Out",Zvětšení,,,,"11:49 05/09/2022"
"end conversation","End Conversation",Ukončení konverzace,,,,"11:49 05/09/2022"
"sit","Sit",Posaďte se na,,,,"11:49 05/09/2022"
"operate","Operate",Provozujte,,,,"11:49 05/09/2022"
"next","Next",Další,,,,"11:49 05/09/2022"
