"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"illegal action","Illegal Action",Nezákoné jednání,,,,"11:49 05/09/2022"
"tresspassing","Trespassing",Vniknutí na cizí pozemek,,,,"11:49 05/09/2022"
"city directory","City Directory",Adresář měst,,,,"11:49 05/09/2022"
"a",,"A",,,,"11:49 05/09/2022"
"b",,"B",,,,"11:49 05/09/2022"
"c",,"C",,,,"11:49 05/09/2022"
"d",,"D",,,,"11:49 05/09/2022"
"e",,"E",,,,"11:49 05/09/2022"
"f",,"F",,,,"11:49 05/09/2022"
"g",,"G",,,,"11:49 05/09/2022"
"h",,"H",,,,"11:49 05/09/2022"
"i",,"I",,,,"11:49 05/09/2022"
"j",,"J",,,,"11:49 05/09/2022"
"k",,"K",,,,"11:49 05/09/2022"
"l",,"L",,,,"11:49 05/09/2022"
"m",,"M",,,,"11:49 05/09/2022"
"n",,"N",,,,"11:49 05/09/2022"
"o",,"O",,,,"11:49 05/09/2022"
"p",,"P",,,,"11:49 05/09/2022"
"q",,"Q",,,,"11:49 05/09/2022"
"r",,"R",,,,"11:49 05/09/2022"
"s",,"S",,,,"11:49 05/09/2022"
"t",,"T",,,,"11:49 05/09/2022"
"u",,"U",,,,"11:49 05/09/2022"
"v",,"V",,,,"11:49 05/09/2022"
"w",,"W",,,,"11:49 05/09/2022"
"x",,"X",,,,"11:49 05/09/2022"
"y",,"Y",,,,"11:49 05/09/2022"
"z",,"Z",,,,"11:49 05/09/2022"
"abc","ABC","ABC",,,,"11:49 05/09/2022"
"def","DEF","DEF",,,,"11:49 05/09/2022"
"ghi","GHI","GHI",,,,"11:49 05/09/2022"
"jkl","JKL","JKL",,,,"11:49 05/09/2022"
"mno","MNO","MNO",,,,"11:49 05/09/2022"
"pqr","PQR","PQR",,,,"11:49 05/09/2022"
"stu","STU","STU",,,,"11:49 05/09/2022"
"vwx","VWX","VWX",,,,"11:49 05/09/2022"
"yz","YZ#","YZ#",,,,"11:49 05/09/2022"
"innocent","Innocent",Nevinný,,,,"11:49 05/09/2022"
"places","Places",Místa,,,,"11:49 05/09/2022"
"history","Search",Vyhledávání,,,,"11:45 02/12/2022"
"accept job","Accept Job",Příjmout práci,,,,"11:49 05/09/2022"
"take item","Take Item",Vezmi item,,,,"11:49 05/09/2022"
"passwords","Passwords","Hesla",,,,"11:49 05/09/2022"
"lock","Lock",Zámek,,,,"11:49 05/09/2022"
"last x hours","Last X Hours",Posledních X hodin,,,,"11:49 05/09/2022"
"jan","January","Leden",,,,"11:49 05/09/2022"
"feb","February",Únor,,,,"11:49 05/09/2022"
"mar","March",Březen,,,,"11:49 05/09/2022"
"apr","April","Duben",,,,"11:49 05/09/2022"
"may","May",Květen,,,,"11:49 05/09/2022"
"jun","June",Červen,,,,"11:49 05/09/2022"
"jul","July",Červenec,,,,"11:49 05/09/2022"
"aug","August","Srpen",,,,"11:49 05/09/2022"
"sep","September",Záři,,,,"11:49 05/09/2022"
"oct","October",Říjen,,,,"11:49 05/09/2022"
"nov","November","Listopad",,,,"11:49 05/09/2022"
"dec","December","Prosinec",,,,"11:49 05/09/2022"
"st",,".",,,,"11:49 05/09/2022"
"nd",,".",,,,"11:49 05/09/2022"
"rd",,".",,,,"11:49 05/09/2022"
"th",,".",,,,"11:49 05/09/2022"
"paused","Paused","Pauza",,,,"11:49 05/09/2022"
"birthday","birthday","narozeniny",,,,"11:49 05/09/2022"
"evidence","Evidence",Důkazy,,,,"11:49 05/09/2022"
"summary","Summary","Souhrn",,,,"11:49 05/09/2022"
"facts","Connections",Připojení,,,,"11:49 05/09/2022"
"monday","Monday","Po",,,,"11:49 05/09/2022"
"tuesday","Tuesday",Út,,,,"11:49 05/09/2022"
"thursday","Thursday",Čt,,,,"11:49 05/09/2022"
"friday","Friday",Pá,,,,"11:49 05/09/2022"
"wednesday","Wednesday","St",,,,"11:49 05/09/2022"
"sunday","Sunday","Ne",,,,"11:49 05/09/2022"
"your apartment","Your Apartment",Váš apartmán,,,,"11:49 05/09/2022"
"am","AM","AM",,,,"11:49 05/09/2022"
"resume","Resume",Shrnutí,,,,"11:49 05/09/2022"
"new game","Nová hra","Nová hra",,,,"11:49 05/09/2022"
"load game","Load Game","Načtení hry",,,,"11:49 05/09/2022"
"settings","Settings","Nastavení",,,,"11:49 05/09/2022"
"exit","Exit",Exit,,,,"11:49 05/09/2022"
"start","Start","Start",,,,"11:49 05/09/2022"
"back","Back","Zpět",,,,"11:49 05/09/2022"
"generate...","Generate...",Generování...,,,,"11:49 05/09/2022"
