"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"generating","Generating",Generování,,,,"11:49 05/09/2022"
"start","Start",Start,,,,"11:49 05/09/2022"
"setupcityboundary","Setting up Boundary",Nastavení hranice,,,,"11:49 05/09/2022"
"generatedistricts","Creating Districts",Vytváření okresu,,,,"11:49 05/09/2022"
"generateblocks","Creating Blocks",Vytváření bloků,,,,"11:49 05/09/2022"
"generatedensity","Creating Density",Vytváření hustoty,,,,"11:49 05/09/2022"
"generatezoning","Creating Zones",Vytváření zón,,,,"11:49 05/09/2022"
"loadbasemap","Loading Base Map",Načítání základní mapy,,,,"11:49 05/09/2022"
"generatebuildings","Creating Buildings",Vytváření budov,,,,"11:49 05/09/2022"
"generatepathfinding","Creating Path-finding Grid",Vytvoření mřížky pro vyhledávání cest,,,,"11:49 05/09/2022"
"generateroads","Creating Streets",Vytváření ulic,,,,"11:49 05/09/2022"
"generatecitizens","Creating Citizens",Vytváření občanů,,,,"11:49 05/09/2022"
"generaterelationships","Creating Relationships",Vytváření vztahu,,,,"11:49 05/09/2022"
"generatecriminals","Creating Criminals",Vytváření zločinců,,,,"11:49 05/09/2022"
"generateroutines","Creating Routines",Vytváření rutin,,,,"11:49 05/09/2022"
"generatepaths","Calculating Paths",Výpočet cest,,,,"11:49 05/09/2022"
"gatherdata","Gathering Data",Sběr dat,,,,"11:49 05/09/2022"
"generateevidence","Creating Evidence",Vytváření důkazů,,,,"11:49 05/09/2022"
"simulateday","Simulating Day",Simulace dne,,,,"11:49 05/09/2022"
"generatepathsfollowingsimday","Calculating Paths",Výpočet cest,,,,"11:49 05/09/2022"
"postdaysimulation","Gathering Data",Sběr dat,,,,"11:49 05/09/2022"
"population","Population",Obyvatelstvo,,,,"11:49 05/09/2022"
"ready","Ready",Připraveno,,,,"11:49 05/09/2022"
"prepping","Preparing",Příprava,,,,"11:49 05/09/2022"
"removecompletedroutines","Removing Completed Routines",Odstranění dokončených rutin,,,,"11:49 05/09/2022"
"setupemmisiontextures","Creating Emission Textures",Vytváření emisních textur,,,,"11:49 05/09/2022"
"gather","Gathering Data",Sběr dat,,,,"11:49 05/09/2022"
"finalizing","Finalizing",Finalizace,,,,"11:49 05/09/2022"
"generateinteriors","Creating Interiors",Vytváření interiéru,,,,"11:49 05/09/2022"
"generateblueprints","Creating Blueprints",Vytváření plánů,,,,"11:49 05/09/2022"
"generaterooms","Creating Rooms",Vytváření místností,,,,"11:49 05/09/2022"
"loadrooms","Loading Rooms",Nakládací místnosti,,,,"11:49 05/09/2022"
"connectrooms","Connecting Rooms",Propojené pokoje,,,,"11:49 05/09/2022"
"preparecitizens","Preparing Citizens",Příprava občanů,,,,"11:49 05/09/2022"
"savingdata","Saving Data",Ukládání dat,,,,"11:49 05/09/2022"
"entering","Entering",Vstup na stránky,,,,"11:49 05/09/2022"
"calculatenearest","Optimizing Paths",Optimalizace cest,,,,"11:49 05/09/2022"
"generatecompanies","Creating Companies",Vytváření společnosti,,,,"11:49 05/09/2022"
"generatejobs","Creating Jobs",Vytváření pracovních míst,,,,"11:49 05/09/2022"
"generateairducts","Generating Air Ducts",Generování vzduchovodů,,,,"11:49 05/09/2022"
"loadchapter","Loading Chapter",Načítání kapitoly,,,,"11:49 05/09/2022"
"loadobjects","Loading Objects",Načítání objektů,,,,"11:49 05/09/2022"
"loadstate","Loading Game State",Načítání stavu hry,,,,"11:49 15/11/2022"
"presim","Simulating Past Events",Simulace události,,,,"11:49 05/09/2022"
"loadcomplete","Complete",Hotovo,,,,"11:49 05/09/2022"
"parsingfile","Loading Save File",Nahrávání uložené hry,,,,"11:49 05/09/2022"
