"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-",,"— ","— ","— "
"tutorialenable_title","Enable Tutorial",Povolit výukový program,,,,"11:49 05/09/2022"
"tutorialenable_body","Would you like to enable the tutorial text to guide you through how to play? This is recommended for new players.\n\nIn Shadows of Doubt the tutorial will guide you through how to use mechanics, though connecting the dots throughout the case is on your shoulders detective!\n\nHelp can also be accessed at any time through your 'Detective Handbook' through the main menu, or with |controls.notebook| and selecting the 'help' section.","Chcete povolit výukový text, který vás provede hrou? To doporučujeme novým hracum.\n\nV Shadows of Doubt váš tutoriál provede používáním mechanik, i když propojení bodů v celém případu je na vašich detektivních bedrech!\n\nNapoveda je také kdykoli přístupná prostřednictvím vaší 'detektivní příručky' v hlavním menu nebo pomocí |controls.notebook| a výběrem sekce 'nápověda'.",,,,"11:49 28/02/2023"
"no","No",Ne,,,,"11:49 05/09/2022"
"yes","Yes",Ano,,,,"11:49 05/09/2022"
"tutorialend_title","Continue...",Pokracovat...,,,,"11:49 05/09/2022"
"tutorialend_body","You've reached the end of the guided story mission. You still have plenty to do and explore, but it will be without guidance. It's up to you now detective...\n\nRemember: You can still enable or disable gameplay hints using the game option menu at any time.","Dosáhli jste konce příběhové mise s průvodcem. Stále máte co dělat a prozkoumávat, ale bude to bez vedení. Nyní je to na vás, detektive...\n\nPamatujte: Herní nápovědy můžete kdykoli zapnout nebo vypnout pomocí nabídky možností hry.",,,,"11:49 05/09/2022"
"tutorialpubliccitydir_title","City Directory",Adresář měst,,,,"11:49 05/09/2022"
"tutorialpubliccitydir_body","In addition to your apartment, you'll often be able to find city directories in public places such as bars and restaurants.","Kromě svého bytu můžete často najít městské adresáře i na veřejných místech, jako jsou bary a restaurace.",,,,"11:49 05/09/2022"
"tutorialapartment_title","Your Apartment",Váš apartmán,,,,"11:49 05/09/2022"
"tutorialapartment_body","You can return to your apartment any time you like. To find it, open the map and use the small button with the house icon to the upper left.","Do svého apartmánu se můžete vrátit, kdykoli budete chtít. Chcete-li jej najít, otevřete mapu a použijte malé tlačítko s ikonou domu vlevo nahoře.",,,,"11:49 05/09/2022"
"customfactrename_title","Custom String",Vlastní řetězec,,,,"11:49 05/09/2022"
"customfactrename_body","Name your created string link.",Vytvořený řetězcový odkaz pojmenujte.,,,,"11:49 05/09/2022"
"cancel","Cancel",Zrušit,,,,"11:49 05/09/2022"
"lang_change_title","Language Change",Změna jazyka,,,,"11:49 05/09/2022"
"lang_change_body","You must restart the game for the new language to take effect. Would you like to do this now? Make sure you have saved your game!","Aby se novy jazyk projevil, musíte hru restartovat. Chcete to udělat nyní? Ujistěte se, že jste hru uložili!",,,,"11:49 05/09/2022"
"restart","Restart",Restartování,,,,"11:49 05/09/2022"
"continue","Continue",Pokračovat,,,,"11:49 05/09/2022"
"dropitem_title","Inventory Full",Plná inventura,,,,"11:49 05/09/2022"
"dropitem_body","Your inventory is full! Please drop something to purchase this item...","Váš inventář je plný! Uhoďte prosím něco, abyste si mohli zakoupit tuto polozku...",,,,"11:49 05/09/2022"
"confirm","Confirm",Potvrďte,,,,"11:49 05/09/2022"
"createcase_title","New Case",Nový případ,,,,"11:49 05/09/2022"
"createcase_body","Create a new case board with this name.",Vytvořte novou desku případů s tímto názvem.,,,,"11:49 05/09/2022"
"noactivecase_title","No Active Case",Žádný aktivní případ,,,,"11:49 05/09/2022"
"noactivecase_body","There is no active case selected. Would you like to create a new one?",Není vybrán žádný aktivní případ. Chcete vytvořit nový?,,,,"11:49 05/09/2022"
"renamecase_title","Rename Case",Přejmenování případu,,,,"11:49 05/09/2022"
"renamecase_body","Rename this case.",Přejmenujte tento případ.,,,,"11:49 05/09/2022"
"closecase_title","Close Case?",Uzavřený případ?,,,,"11:49 05/09/2022"
"closecase_body","Are you sure you want to close this case? You'll lose all pinned information on your board.",Určitě chcete tento případ uzavřít? Přijdete o všechny připnuté informace na nástěnce.,,,,"11:49 05/09/2022"
"citydelete_title","Delete City?",Vymazat město?,,,,"11:49 05/09/2022"
"citydelete_body","Are you sure you want to delete this city?",Opravdu chcete toto město smazat?,,,,"11:49 05/09/2022"
"charactername_title","Rename Character",Přejmenování postavy,,,,"11:49 05/09/2022"
"charactername_body","Enter your character name.",Zadejte jméno své postavy.,,,,"11:49 05/09/2022"
"cityname_title","Rename City",Přejmenování města,,,,"11:49 05/09/2022"
"cityname_body","Enter your city name.",Zadejte název města.,,,,"11:49 05/09/2022"
"sharecode_title","Edit Share Code",Upravit kód sdílení,,,,"11:49 05/09/2022"
