"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","—","—","—"
"map","Toggle Map",Přepnout mapu,,,,"11:49 05/09/2022"
"map_detail","Used to help navigate between locations",Slouží k navigaci mezi místy,,,,"11:49 05/09/2022"
"locate on map","Locate on Map",Vyhledat na mapě,,,,"11:49 05/09/2022"
"plot route","Plot Route",Trasa pozemku,,,,"11:49 05/09/2022"
"auto travel","Auto Travel",Auto Travel,,,,"11:49 05/09/2022"
"editor_elevator","Place elevators. Rotate them by selecting once placed",Umístěte výtahy. Po umístění je výběrem otočte,,,,"11:49 05/09/2022"
"editor_stairwell","Place stairs. Rotate them by selecting once placed",Umístění schodů. Po umístění je výběrem otočte.,,,,"11:49 05/09/2022"
"editor_secondaryentrance","Place secondary entrances",Umístění sekundárních vchodu,,,,"11:49 05/09/2022"
"editor_mainentrance","Place main entrance",Místo hlavního vchodu,,,,"11:49 05/09/2022"
"editor_rotatefloor","Rotate a node to face a different direction",Otočení uzlu do jiného směru,,,,"11:49 05/09/2022"
"editor_designatewalls","Designate wall tiles",Určení obkladů na stěnu,,,,"11:49 05/09/2022"
"editor_designateaddress","Designate addresses",Určení adres,,,,"11:49 05/09/2022"
"editor_designatefloor","Designate floor/ceiling",Označení podlahy/stropu,,,,"11:49 05/09/2022"
"editor_notool","Deselect tool",Nástroj pro zrušení výběru,,,,"11:49 05/09/2022"
"editor_forceroom","Force the current room to be something in particular","Vynutit, aby se aktuální místnost stala něčím konkrétním",,,,"11:49 05/09/2022"
"mapdrag","Resize Map",Změna velikosti mapy,,,,"11:49 05/09/2022"
"mapdrag_detail","Drag to resize the map",Změna velikosti mapy tažením,,,,"11:49 05/09/2022"
"mapfloordown","Move Down a Floor",Přesun o patro níže,,,,"11:49 05/09/2022"
"mapfloordown_detail","Move the map view down a floor.",Přesunutí zobrazení mapy o patro níže.,,,,"11:49 05/09/2022"
"mapfloorup","Move Up a Floor",Přesun o patro výš,,,,"11:49 05/09/2022"
"mapfloorup_detail","Move the map view up a floor.",Přesuňte zobrazení mapy o patro výš.,,,,"11:49 05/09/2022"
"openlocationasevidence","Open Current Location Folder",Otevřít složku Aktuální umístění,,,,"11:49 05/09/2022"
"openlocationasevidence_detail","Open a folder containing information on your current location.",Otevřete složku obsahující informace o vaší aktuální poloze.,,,,"11:49 05/09/2022"
"centreonplayer","Center on Player",Střed na hráče,,,,"11:49 05/09/2022"
"centreonplayer_detail","Center the map on your current position.",Vycentrujte mapu na aktuální polohu.,,,,"11:49 05/09/2022"
"cash","Money",Peníze,,,,"11:49 05/09/2022"
"cash_detail","How much money you have.",Kolik máte peněz.,,,,"11:49 05/09/2022"
"togglearrow","Toggle Direction Arrow",Přepínání směrové šipky,,,,"11:49 05/09/2022"
"togglearrow_detail","Toggle the direction arrow you see in first person, showing you where to go. You can always press and hold tab to view the map when not in this screen.","Přepnete směrovou šipku, kterou vidíte v první osobě a která vám ukazuje, kam máte jít. Když nejste na této obrazovce, můžete vždy stisknout a podržet kartu a zobrazit mapu.",,,,"11:49 05/09/2022"
"accept job","Accept Job",Přijmout práci,,,,"11:49 05/09/2022"
"take item","Take Item",Vezměte si položku,,,,"11:49 05/09/2022"
"pinwindow","Pin/Unpin",Pripnuti/Odepnuti,,,,"11:49 05/09/2022"
"pinwindow_detail","Pin/unpin this evidence item to/from the case board.",Pripnete/odpojte tento důkazní prostředek k desce kufříku.,,,,"11:49 05/09/2022"
"openapartment","Open Apartment Folder",Otevřít složku Apartmán,,,,"11:49 05/09/2022"
"openapartment_detail","Open a folder containing information on your apartment.",Otevřete složku s informacemi o svém bytě.,,,,"11:49 05/09/2022"
"stickynote","New Sticky Note",Nová samolepící poznámka,,,,"11:49 05/09/2022"
"sticknote_detail","Create a sticky note to add to the case board. You can write whatever you want on it.","Vytvořte samolepící poznámku, kterou přidáte na nástěnku případu. Můžete na něj napsat, co chcete.",,,,"11:49 05/09/2022"
"sync","Sync Disks",Sync disky,,,,"11:49 05/09/2022"
"sync_detail","Sync disks are DNA based upgrades you can acquire and equip to gain extra ability.","Sync disky jsou vylepšení založená na DNA, která můžete získat a vybavit, abyste získali další schopnosti.",,,,"11:49 05/09/2022"
"locate on map detail","Locate this location on the map...",Najdete toto místo na mape...,,,,"11:49 05/09/2022"
"plot route detail","Plot a route to this location...",Naplánujte trasu do této lokality...,,,,"11:49 05/09/2022"
"nocase","Select No Case",Vyberte možnost Bez obalu,,,,"11:49 05/09/2022"
"nocase_detail","Deselect case to go off duty",Zrušení výběru případů pro přechod mimo službu,,,,"11:49 05/09/2022"
