"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"building","Building","Budova",,"2",,"11:49 05/09/2022"
"house","House","Dum",,"2",,"11:49 05/09/2022"
"suites","Suites","Apartma",,"3",,"11:49 05/09/2022"
"heights","Heights","Vyskova",,"2",,"11:49 05/09/2022"
"grange","Grove","Haj",,"1",,"11:49 05/09/2022"
"center","Center","Centrum",,"1",,"11:49 05/09/2022"
"parks","Parks","Parky",,"1",,"11:49 05/09/2022"
"view","View","Vyhled",,"2",,"11:49 05/09/2022"
"city hall","Radnice","City Hall",,,,"11:49 05/09/2022"
"the fathoms zone scarlet",,"The Fathoms Zone Scarlet",,,,"11:49 08/02/2024"
"the fathoms zone amber",,"The Fathoms Zone Amber",,,,"11:49 08/02/2024"
"the fathoms zone indigo",,"The Fathoms Zone Indigo",,,,"11:49 08/02/2024"
"the fathoms zone azure",,"The Fathoms Zone Azure",,,,"11:49 08/02/2024"
"the fathoms zone midnight",,"The Fathoms Zone Midnight",,,,"11:49 08/02/2024"
"the fathoms zone obsidian",,"The Fathoms Zone Obsidian",,,,"11:49 08/02/2024"
"the fathoms zone bronze",,"The Fathoms Zone Bronze",,,,"11:49 08/02/2024"
"the fathoms zone violet",,"The Fathoms Zone Violet",,,,"11:49 08/02/2024"
