"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"building","Building","Budova",,"2",,"11:49 05/09/2022"
"house","House",Dům,,"2",,"11:49 05/09/2022"
"suites","Suites",Apartmá,,"3",,"11:49 05/09/2022"
"heights","Heights",Výšková,,"2",,"11:49 05/09/2022"
"grange","Grove",Háj,,"1",,"11:49 05/09/2022"
"center","Center","Centrum",,"1",,"11:49 05/09/2022"
"parks","Parks","Parky",,"1",,"11:49 05/09/2022"
"view","View",Výhled,,"2",,"11:49 05/09/2022"
