"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"suites","Suites","Apartma",,"3",,"11:49 05/09/2022"
"heights","Heights","Vyskova",,"1",,"11:49 05/09/2022"
"grange","Grove","Haj",,"2",,"11:49 05/09/2022"
"center","Center","Stredisko",,"1",,"11:49 05/09/2022"
"parks","Parks","Parky",,"1",,"11:49 05/09/2022"
"view",,"Vyhled",,"2",,"11:49 05/09/2022"
"cascade",,"Kaskady",,"1",,"11:49 05/09/2022"
"deluxe",,"Luxusni",,"1",,"11:49 05/09/2022"
