"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"new","New",Nový,,"1",,"11:49 05/09/2022"
"port","Port",Přísta,,"2",,"11:49 05/09/2022"
"little","Little",Malý,,"1",,"11:49 05/09/2022"
"neo","Neo","Neo",,"1",,"11:49 05/09/2022"
"old","Old",Starý,,"2",,"11:49 05/09/2022"
"north","North",Severní,,"1",,"11:49 05/09/2022"
"south","South",Jižní,,"1",,"11:49 05/09/2022"
"east","East",Východní,,"1",,"11:49 05/09/2022"
"west","West",Zapadní,,"1",,"11:49 05/09/2022"
"great","Great",Great,,"1",,"11:49 05/09/2022"
"greater","Greater",Větší,,"1",,"11:49 05/09/2022"
"lesser","Lesser",Menší,,"1",,"11:49 05/09/2022"
"fort","Fort","Pevnost",,"2",,"11:49 05/09/2022"
