"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"arcade","Arcade",Arkáda,,"1",,"11:49 05/09/2022"
"alley","Alley",Ulička,,"1",,"11:49 05/09/2022"
"branch","Branch",Pobočka,,"1",,"11:49 05/09/2022"
"brook","Brook",Potok,,"1",,"11:49 05/09/2022"
"byway","Byway",Objízdná trasa,,"1",,"11:49 05/09/2022"
"camp","Camp",Tábor,,"1",,"11:49 05/09/2022"
"center","Center",Středisko,,"1",,"11:49 05/09/2022"
"club","Club",Klub,,"1",,"11:49 05/09/2022"
"common","Common",Společně,,"1",,"11:49 05/09/2022"
"corner","Corner",Rohové stránky,,"1",,"11:49 05/09/2022"
"course","Course",Kurz,,"1",,"11:49 05/09/2022"
"dale","Dale",Dále,,"1",,"11:49 05/09/2022"
"divide","Divide",Rozdělit,,"1",,"11:49 05/09/2022"
"drive","Drive",Disk,,"1",,"11:49 05/09/2022"
"estate","Estate",Pozůstalost,,"1",,"11:49 05/09/2022"
"flat","Flat",Ploché,,"1",,"11:49 05/09/2022"
"forge","Forge",Kovárna,,"1",,"11:49 05/09/2022"
"fork","Fork",Vidlice,,"1",,"11:49 05/09/2022"
"fort","Fort",Pevnost,,"1",,"11:49 05/09/2022"
"gate","Gate",Brána,,"1",,"11:49 05/09/2022"
"gateway","Gateway",Brána,,"1",,"11:49 05/09/2022"
"haven","Haven",Haven,,"1",,"11:49 05/09/2022"
"heights","Heights",Výšky,,"1",,"11:49 05/09/2022"
"hollow","Hollow",Povinnost,,"1",,"11:49 05/09/2022"
"key","Key",Klíč,,"1",,"11:49 05/09/2022"
"landing","Landing",Přistání,,"1",,"11:49 05/09/2022"
"lane","Lane",Pruh,,"1",,"11:49 05/09/2022"
"light","Light",Světlo,,"1",,"11:49 05/09/2022"
"loaf","Loaf",Bochník,,"1",,"11:49 05/09/2022"
"lock","Lock",Zámek,,"1",,"11:49 05/09/2022"
"lodge","Lodge",Lodge,,"1",,"11:49 05/09/2022"
"manor","Manor",Panství,,"1",,"11:49 05/09/2022"
"mews","Mews",Mews,,"1",,"11:49 05/09/2022"
"mill","Mill",Mlýn,,"1",,"11:49 05/09/2022"
"mission","Mission",Mise,,"1",,"11:49 05/09/2022"
"neck","Neck",Krk,,"1",,"11:49 05/09/2022"
"orchard","Orchard",Ovocný sad,,"1",,"11:49 05/09/2022"
"passage","Passage",Pasáž,,"1",,"11:49 05/09/2022"
"path","Path",Cesta,,"1",,"11:49 05/09/2022"
"pathway","Pathway",Cesta,,"1",,"11:49 05/09/2022"
"rest","Rest",Odpočinek,,"1",,"11:49 05/09/2022"
"route","Route",Trasa,,"1",,"11:49 05/09/2022"
"row","Row",Radek,,"1",,"11:49 05/09/2022"
"rue","Rue",Rue,,"1",,"11:49 05/09/2022"
"run","Run",Spustit,,"1",,"11:49 05/09/2022"
"terrace","Terrace",Terasa,,"1",,"11:49 05/09/2022"
"throughway","Throughway",Průjezd,,"1",,"11:49 05/09/2022"
"trace","Trace",Stopa,,"1",,"11:49 05/09/2022"
"track","Track",Trať,,"1",,"11:49 05/09/2022"
"trail","Trail",Stezka,,"1",,"11:49 05/09/2022"
"trailer","Trailer",Přívěs,,"1",,"11:49 05/09/2022"
"view","View",Zobrazit,,"1",,"11:49 05/09/2022"
"village","Village",Vesnice,,"1",,"11:49 05/09/2022"
"ville","Ville",Ville,,"1",,"11:49 05/09/2022"
"walk","Walk",Procházka,,"1",,"11:49 05/09/2022"
"wall","Wall",Stěna,,"1",,"11:49 05/09/2022"
"way","Way",Cesta,,"1",,"11:49 05/09/2022"
"well","Well",Dobře,,"1",,"11:49 05/09/2022"
"wynd",,Úzká ulička,,"1",,"11:49 05/09/2022"
"court",,Soud,,"1",,"11:49 05/09/2022"
"place",,Místo,,"1",,"11:49 05/09/2022"
