"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"boottext","B>Access>SpeedBootLoader[Alpha5.49]\nRegisterShortcut[SpeedBootLoader]=SBL>crunch\nComplete\n\nSBL.VerifyTarget[SignetOS>System>Access>BootOS]\nTargetVerified!\nSBL>LoadBootTools[0451]>crunch\nSuccessfulReference!\n\nSBL>ReadProgress>crunch\n\nWelcome to Indigno Systems Signet OS...\nPlease check your user manual for detailed loading procedure\nLoading login application...\n...20%\n...40%\n...60%\n...80%\n...100%\n","B>Access>SpeedBootLoader[Alpha5.49]\nRegisterShortcut[SpeedBootLoader]=SBL>crunch\nComplete\n\nSBL.VerifyTarget[SignetOS>System>Access>BootOS]\nTargetVerified!\nSBL>LoadBootTools[0451]>crunch\nSuccessfulReference!\n\nSBL>ReadProgress>crunch\n\nVitejte v systemu Indigno Systems Signet OS...\nPodrobný postup načítání naleznete v uživatelské příručce\Načítání přihlašovací aplikace...\n...20%\n...40%\n...60%\n...80%\n...100%\n",,,,"11:49 05/09/2022"
"bootstart","Initializing Boot Sequence","Inicializace zaváděcí sekvence",,,,"11:49 05/09/2022"
"vmail","VMail","VMail",,,,"11:49 05/09/2022"
"re:","RE:","RE:",,,,"11:49 05/09/2022"
"you","You","Vy",,,,"11:49 05/09/2022"
"re","RE","RE",,,,"11:49 05/09/2022"
"to","To","pro",,,,"11:49 05/09/2022"
"from",,"od",,,,"11:49 05/09/2022"
"surveillance","Surveillance","Dohled",,,,"11:49 05/09/2022"
"print","Print","Tisk",,,,"11:49 05/09/2022"
"cam","Cam","Kamera",,,,"11:49 05/09/2022"
"sentry","Sentry","Strážný",,,,"11:49 05/09/2022"
"on","On","Zapnuto",,,,"11:49 05/09/2022"
"off","Off","Vypnuto",,,,"11:49 05/09/2022"
"sabotage","Sabotage","Sabotáž",,,,"11:49 05/09/2022"
"noreplyvmail","<Unknown>","<Neznámý>",,,,"11:49 05/09/2022"
"pestcontrol","Pest Control","Hubení škůdců",,,,"11:49 05/09/2022"
"flairquotes","Flair Quotes","Flair citaty",,,,"11:49 05/09/2022"
"randomspamvmail","<No Reply>","<Žádná odpověď>",,,,"11:49 05/09/2022"
"corpkaizen","Kaizen6","Kaizen6",,,,"11:49 05/09/2022"
"login","Log Off","Odhlásit se",,,,"11:49 05/09/2022"
"bookgrubs","Book Grubs","Book Grubs",,,,"11:49 05/09/2022"
"corpelgen","El-Gen","El-Gen",,,,"11:49 05/09/2022"
"corpstarch","Starch Kola","Starch Kola",,,,"11:49 05/09/2022"
"corpdove","Dove","Holubice",,,,"11:49 05/09/2022"
"corpindigo","Kensington Indigo","Kensington Indigo",,,,"11:49 05/09/2022"
"corpcandor","Candor","Candor",,,,"11:49 05/09/2022"
"profile","Profile","Profil",,,,"11:49 05/09/2022"
"database","Database","Databáze",,,,"11:49 05/09/2022"
"database search","Database Search","Vyhledávání v databázi",,,,"11:49 05/09/2022"
"employeedatabase","Employee Database","Databáze zaměstnanců",,,,"11:49 05/09/2022"
"govdatabase","Gov Database","Databáze Gov",,,,"11:49 05/09/2022"
"resdientsdatabase","Residents Database","Databáze obyvatel",,,,"11:49 05/09/2022"
"security","Security","Zabezpečení",,,,"11:49 05/09/2022"
"security systems","Security Systems","Bezpečnostní systémy",,,,"11:49 05/09/2022"
"illegalactivities","Illegal Activities","Nezákonné činnosti",,,,"11:49 05/09/2022"
"nobody","nobody","nikdo",,,,"11:49 05/09/2022"
"everybody","everybody","všichni",,,,"11:49 05/09/2022"
"nonresidents","Non-Residents","Nerezidenti",,,,"11:49 05/09/2022"
"notplayer","Not Player","Není hráč",,,,"11:49 05/09/2022"
"yesterday","Yesterday","Včera",,,,"11:49 05/09/2022"
"today","Today","Dnes",,,,"11:49 05/09/2022"
"salesrecords","Sales Records","Záznamy o prodeji",,,,"11:49 05/09/2022"
"displaying page","Displaying page","Zobrazení stránky",,,,"11:49 05/09/2022"
"vacuum mail","Vacuum Mail","Potrubní pošta",,,,"13:11 07/09/2022"
"exit","Exit","Exit",,,,"13:11 07/09/2022"
"employee database","Employee Database","Databáze zaměstnanců",,,,"13:11 07/09/2022"
"corpkeylog v7","CorpKeyLog V7","CorpKeyLog V7",,,,"13:11 07/09/2022"
"save to tape","Save to Tape","Uložit na kazetu",,,,"13:12 07/09/2022"
"sales records","Sales Records","Záznamy o prodeji",,,,"13:13 07/09/2022"
"select user","Select User","Vybrat uživatele",,,,"15:30 30/09/2022"
"enter passcode","Enter Passcode","Zadejte přístupový kód",,,,"15:30 30/09/2022"
"system profile","System Profile","Systémový profil",,,,"14:13 12/10/2022"
"ǉ","Ǉ","Ǉ",,,,"17:09 16/12/2022"
"unknown","Unknown","Neznámý",,,,"15:25 19/01/2023"
"citizens database","","Databáze občanů","",,"","12:34 14/11/2023"
