"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[Zobrazeny retezec ve hre]","[Alternativni zobrazeny retezec, napr. prezdivka]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","-","-","— ","— ","— "
"lobby","Lobby",Hala,,"1",,"11:34 19/10/2022"
"retailinformal","Shop",Obchod,,"1",,"11:34 19/10/2022"
"privateoffice","Private Office",Soukromá kancelář,,"1",,"11:34 19/10/2022"
"kitchen","Kitchen",Kuchyně,,"1",,"11:34 19/10/2022"
"bathroom","Bathroom",Koupelna,,"1",,"11:34 19/10/2022"
"officespace","Office",Kancelář,,"1",,"11:34 19/10/2022"
"reception","Reception",Recepce,,"1",,"11:34 19/10/2022"
"livingroom","Living Room",Obývací pokoj,,"1",,"11:34 19/10/2022"
"hallway","Hallway",Chodba,,"1",,"11:34 19/10/2022"
"bedroom","Bedroom",Ložnice,,"1",,"11:34 19/10/2022"
"cupboard","Cupboard",Skříň,,"1",,"11:34 19/10/2022"
"study","Study",Studovna,,"1",,"11:34 19/10/2022"
"utility","Utility Room",Užitková místnost,,"1",,"11:34 19/10/2022"
"showerroom","Shower Room",Sprchový kout,,"1",,"11:34 19/10/2022"
"diningroom","Dining Room",Jídelna,,"1",,"11:34 19/10/2022"
"backstreet","Backstreet",Zadní ulice,,"1",,"11:34 19/10/2022"
"storeroom","Storeroom",Skladiště,,"1",,"11:34 19/10/2022"
"yard","Yard",Dvůr,,"1",,"11:34 19/10/2022"
"diner","Diner",Jídelna,,"1",,"11:34 19/10/2022"
"bar","Bar",Bar,,"1",,"11:34 19/10/2022"
"industrial","industrial",průmyslové,,,,"11:34 19/10/2022"
"apartmentmasterbedroom","Bedroom",Ložnice,,,,"11:34 19/10/2022"
"apartmentkitchen","Kitchen",Kuchyně,,,,"11:34 19/10/2022"
"apartmentlivingroom","Living Room",Obývací pokoj,,,,"11:34 19/10/2022"
"apartmentbathroom","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"apartmentcloset","Closet",Skříň,,,,"11:34 19/10/2022"
"eaterydiningroom","Bar",Bar,,,,"11:34 19/10/2022"
"eaterykitchen","Kitchen",Kuchyně,,,,"11:34 19/10/2022"
"apartmentshowerroom","Shower Room",Sprchový kout,,,,"11:34 19/10/2022"
"apartmentstudy","Study",Studie,,,,"11:34 19/10/2022"
"street","Street",Ulice,,,,"11:34 19/10/2022"
"informal","informal",neformální,,,,"11:34 19/10/2022"
"null","Null",Null,,,,"11:34 19/10/2022"
"atrium","Atrium",Atrium,,,,"11:34 19/10/2022"
"rooftop","Rooftop",Střecha,,,,"11:34 19/10/2022"
"controlroom","Control Room",Řídící místnost,,,,"11:34 19/10/2022"
"park","Park",Park,,,,"11:34 19/10/2022"
"path","Path",Cesta,,,,"11:34 19/10/2022"
"businessbackroom","Backroom",Zázemí,,,,"11:34 19/10/2022"
"americandiner","Diner",Diner,,,,"11:34 19/10/2022"
"breakroom","Break Room",Odpočívárna,,,,"11:34 19/10/2022"
"bathroomunisex","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"office","Office",Kancelář,,,,"11:34 19/10/2022"
"alley","Alley",Ulička,,,,"11:34 19/10/2022"
"bathroommale","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"workplacecanteen","Canteen",Jídelna,,,,"11:34 19/10/2022"
"industrialfloor","Industrial Floor",Průmyslová podlaha,,,,"11:34 19/10/2022"
"businessstoreroom","Storeroom",Skladiště,,,,"11:34 19/10/2022"
"launderette","Launderette",Prádelna,,,,"11:34 19/10/2022"
"bathroomfemale","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"housefrontage","Street",Ulice,,,,"11:34 19/10/2022"
"corporatelobby","Lobby",Hala,,,,"11:34 19/10/2022"
"corporatecorridoor","Corridor",Koridor,,,,"11:34 19/10/2022"
"utilitycupboardcommon","Utility Cupboard",Užitková skříň,,,,"11:34 19/10/2022"
"industrialstoreroom","Storeroom",Skladiště,,,,"11:34 19/10/2022"
"industrialoffice","Industrial Office",Průmyslová kancelář,,,,"11:34 19/10/2022"
"buildingbathroommale","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"buildingbathroomfemale","Bathroom",Koupelna,,,,"11:34 19/10/2022"
"powerroom","Power Room",Power Room,,,,"11:34 19/10/2022"
"rooftopvent","Vent",Ventilace,,,,"11:34 19/10/2022"
"apartmentsecondbedroom","Bedroom",Ložnice,,,,"11:34 19/10/2022"
"apartmentthirdbedroom","Bedroom",Ložnice,,,,"11:34 19/10/2022"
"apartmentutilityroom","Utility Room",Užitková místnost,,,,"11:34 19/10/2022"
"apartmentreceptionroom","Reception",Recepce,,,,"11:34 19/10/2022"
"bathroomemployees","Bathroom",Koupelna,,,,"11:34 19/10/2022"
